# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,Heat pump AMU,EHP00 172 Boiler,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*u,,,,,,"B509","29",,,IGN:2,,,
*uhwc,,,,,"25","B509","29",,,IGN:2,,,
*w,,,,,,"B509","0E",,,,,,
*whwc,,,,,"25","B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*ws,#service,,,,,"B509","0E",,,,,,
*wc,#control,,,,,"B509","0E",,,,,,
*[airtowater],,HeatpumpType,,,,1,,,,,,,
*[brinetowater],,HeatpumpType,,,,2,,,,,,,
*[watertowater],,HeatpumpType,,,,3,,,,,,,
*[airtobrinetowater],,HeatpumpType,,,,5,,,,,,,
*[SW],scan,,,SW,,,,,,,,,
# ##### EHP: #####,,,,,,,,,,,,,
r,,CompStartsHwc,Compressor_Commutations_DHW,,,,"A800",,,cntstarts,,,Number of commutations of
r,,CompStartsHc,Compressor_Commutations_CH,,,,"A900",,,cntstarts,,,Number of commutations of
r,,SourceStarts,Brine_Fan_Commutations,,,,"AC00",,,cntstarts,,,Number of commutations of
r,,Hc1PumpStarts,CH1_P_Commutations,,,,"AD00",,,cntstarts,,,Number of commutations of
r,,HwcPumpStarts,DHW_P_Commutations,,,,"AE00",,,cntstarts,,,Number of commutations of
r,,BackupStartsHwc,Backup_Commutations_DHW,,,,"AF00",,,cntstarts,,,Number of commutations of
r,,BackupStartsHc,Backup_Commutations_CH,,,,"B000",,,cntstarts,,,Number of commutations of
r,,HwcHcValveStarts,V_DHW_CH_Commutations,,,,"B300",,,cntstarts,,,Number of commutations of
r,,CompCutPressHighCount,Compressor_Cut_HP_No,,,,"B400",,,ULG,,,shows how often the compressor has been stopped by high pressure switch
r,,CompCutPressLowCount,Compressor_Cut_LP_No,,,,"B500",,,ULG,,,shows how often the compressor has been stopped by low pressure switch
r,,CompCutTempCount,Compressor_Cut_T_No,,,,"B600",,,ULG,,,shows how often the compressor has been stopped due to outlet temperature exceeding
# ##### EHP: Measurements Switches Actors IOs #####,,,,,,,,,,,,,
# ***** Heat source *****,,,,,,,,,,,,,
r;ws;u,,YieldTotal,EarnedEnvironmentEnergy,,,,"BC00",,,energy4,,,sum of earned environmental energy in kWh
r;u,,SourceTempInput,T_Brine_Warm,,,,"0F00",,,tempsensor,,,Brine inlet temperature sensor
[watertowater]r;u,,SourceTempOutput,OutletTemperature,,,,"0800",,,tempsensor,,,heat source outlet temperature for water to water machines
[brinetowater]r;u,,SourceTempOutput,BrineOutlet,,,,"0800",,,tempsensor,,,heat source outlet temperature for brine to water machines
[airtowater]r;u,,SourceTempOutput,AirOutlet,,,,"0800",,,tempsensor,,,heat source outlet temperature for air to water machines
[airtobrinetowater]r;u,,SourceTempOutput,BrineOutlet,,,,"0800",,,tempsensor,,,heat source outlet temperature for brine to water machines
[brinetowater]r,,SourcePress,P_Brine,,,,"1600",,,presssensor,,,Brine pressure sensor
