# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,V8100,VR 81,V81 225,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
# ##### general #####,,,,,,,,,,,,,
r,,DisplayedRoomTemp,DisplayedRoomTemp,,,,"1B00",,,temp,,,displayed room temperature
r,,RoomTemp,RaumtemperaturIst,,,,"0000",,,tempsensor,,,raw value current room temperature and sensorstate (without any correction)
r,,DesiredHcRoomTempDesired,DesiredHCRoomSetPoint,,,,"1D00",,,temp,,,current room setpoint
r,,HcRoomTempDesiredAdjustable,HCRoomSetPointAdjustable,,,,"1E00",,,yesno,,,room temperature setpoint is currently adjustable
r,,HcActiveSpecialFunction,HCActiveSpecialFunction,,,,"1F00",,,UCH,,,"if unequal zero a special function (e.g. holidays, floor pavement drying …) has been activated"
r;w,,OperatingMode430,OperatingMode430,,,,"0400",,,UCH,0=off;1=manual;2=auto,,operation mode of the heating circuit for 430
# ##### extra #####,,,,,,,,,,,,,
r,,SelectedHc,SelectedHeatCircuit,,,,"1C00",,,UCH,,,number of heating circuit to which this remote control is assigned
r;w,,RoomTempOffset,RaumtemperaturIstOffset,,,,"0200",,,temp,,,room temperature correction
# ##### developer's info #####,,,,,,,,,,,,,
r,,RoomTempOffsetSelfWarming,RaumTempOffsetEigenErwaerm,,,,"0100",,,temp,,,room temperature intrinsic heating offset
r,,StackeBUSTaskMax,MaxStackeBUSTask,,,,"0C00",,,UCH,,,maximum number of bytes needed for the eBUS task stack
r,,StackMainTaskMax,MaxStackMainTask,,,,"0D00",,,UCH,,,maximum number of bytes needed for the main task stack
r,,StackLifeCheckTaskMax,MaxStackLifeCheckTask,,,,"0E00",,,UCH,,,maximum number of bytes needed for the life check task stack
r,,Variant,Variant,,,,"0F00",,,UIN;UIN,,,identifier for the variant
r,,eBUSCRC,eBUS_CRC,,,,"1000",,,UCH,,,last calculated eBUS CRC
r,,eBUSFifoDiffCntMax,eBUSFifoDiffCntMax,,,,"1100",,,UCH,,,max. eBUS-fifo level
r,,EEpromMaxInkonsCnt,EEpromMaxInkonsCnt,,,,"1300",,,UIN,,,EEPROM inconsistency counter
r,,POCResetCnt,POCResetCnt,,,,"1400",,,UIN,,,power on resets
r,,WDResetCnt,WDResetCnt,,,,"1500",,,UIN,,,watchdog resets
r,,LVResetCnt,LVResetCnt,,,,"1600",,,UIN,,,low voltage resets
r,,CMResetCnt,CMResetCnt,,,,"1700",,,UIN,,,clock monitor resets
r,,COMErrorCnt,COMErrorCnt,,,,"1800",,,UIN,,,eBUS-communication errors
r,,VariantDKRefreshCnt,VariantDKRefreshCnt,,,,"1900",,,UCH,,,counts how often variant ID has been corrected
r,,FiFoResetCnt,FiFoResetCnt,,,,"1A00",,,UCH,,,counter how often eBUS Fifo was cleared
