# type (r[1-9];w;u),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*r,ochsner,,,,15,0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*w,ochsner,,,,15,0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,temperature,outside,Außentemperatur,,,,00800040,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,temperature,water,Warmwasser Temperatur,,,,00840040,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,temperature,buffer,Vorlauftemperatur,,,,00e00040,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,status,,,,,77800008,,,parameter,,,,status,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,outside,,,,,77810008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,outsideavg,,,,,77820008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,room,,,,,77830008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,roomnominal,,,,,77840008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,flow,,,,,77850008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,flownominal,,,,,77860008,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heating,humidity,,,,,77870008,,,parameter,,,,humidity,,UIN,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,boiler,status,,,,,7980000e,,,parameter,,,,status,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,boiler,tb,,,,,7981000e,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,boiler,nominal,,,,,7982000e,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,tpo,,,,,7a800010,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,tpm,,,,,7a810010,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,flow,,,,,7a820010,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,nominal,,,,,7a830010,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,heating,,,,,7a840010,,,parameter,,,,percentage,,SIN,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,boiler,,,,,7a850010,,,parameter,,,,percentage,,SIN,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,buffer,status,,,,,7a860010,,,parameter,,,,status,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,mode,,,,,02b50040,,,parameter,,,,status,,UCH,0=Abgeschaltet;1=Heizbetrieb;2=Vorlaufzeit Heizbetrieb;3=Extern gesperrt;4=Kühlbetrieb;5=Vorlaufzeit Kühlbetrieb;6=Vorlaufzeit Abtaubetrieb;7=Abtaubetrieb;8=Störung;9=Abtropfen;10=DT Ueberwachung;11=Abtau Vorheizung;12=Abtauen 1;13=Abtauen 2;14=Abtauen 3;15=Alarm;16=Störung;17=Blockiert;21=TWVmax Abschaltung;22=TWVsoll Abschaltung;23=TWEmax Abschaltung;24=TWAmin Abschaltung;25=TKAmin Abschaltung;26=Bivalenzabschaltung;27=Warmwasser Ladesperre;28=Minimale Auszeit;29=Minimale Einzeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,status,,,,,7d800002,,,parameter,,,,status,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,twv,,,,,7d810002,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,nominal,,,,,7d820002,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,twr,,,,,7d830002,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,tqa,,,,,7d840002,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,tqe,,,,,7d850002,,,parameter,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,cycles,,,,,7d860002,,,command,,,,,,IGN,,,,value1,,UCH,,,,value2,,UCH,,,,value3,,UCH,,,,value4,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,hours,,,,,7d870002,,,command,,,,,,IGN,,,,value1,,UCH,,,,value2,,UCH,,,,value3,,UCH,,,,value4,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,volume1,,,,,7d880002,,,parameter,,,,volume,,UIN,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,volume2,,,,,7d890002,,,parameter,,,,volume,,UIN,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,heatkwh,,,,,7d8a0002,,,parameter,,,,kwh,,UIN,10,kW/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,heatmwh,,,,,7d8b0002,,,parameter,,,,mwh,,UIN,,MW/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,heatpump,coolkwh,,,,,7d8c0002,,,parameter,,,,kwh,,UIN,10,kW/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
