# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*r,ehp00,,,,08,B509,0D,,,,,,,,,,,,
*w,ehp00,,,,08,B509,0E,,,,,,,,,,,,
*u,ehp00,,,,08,B509,29,,,IGN:2,,,,,,,,,
r;w,,BivalentTemp,Bivalenztemperatur,,,,6500,,,temp,,,,,,,,,
r;w,,Bleeding,Entlüften,,,,1300,,,yesno,,,,,,,,,
r2,,BrinePress,Druck Solekreis,,,,1600,,,presssensor,,,,,,,,,
r;u,,BrinePressSwitch,Soledruckschalter,,,,2600,,,errorok,,,,,,,,,
r;w,,BrinePumpCoolingRunTime,Kühlung Laufzeit Solepumpe,,,,7D01,,,hoursum,,,,,,,,,
r,,BrinePumpPower,Solepumpe Leistung,,,,AC01,,,pumppow,,,,,,,,,
r;w,,BrinePumpPreRunTime,Vorlaufzeit Quellenpumpe,,,,7600,,,minutes,,,,,,,,,
r;u,,BrinePumpState,Solepumpe Status,,,,1900,,,onoff,,,,,,,,,
r,,Brine2PumpState,Externe Quellenpumpe Status,,,,1A00,,,onoff,,,,,,,,,
r,,SwitchCool,Umschaltventil Kühlung,,,,1C00,,,onoff,,,,,,,,,
r;u,,BrineTempInput,T3 Sole Temperatur Vorlauf - von Quelle,,,,0F00,,,tempsensor,,,,,,,,,
r1;u,,BrineTempOutput,T8 Sole Temperatur Rücklauf - zur Quelle,,,,0800,,,tempsensor,,,,,,,,,
r,,cpInput,Zirkulationspumpe Eingang,,,,0B00,,,onoff,,,,,,,,,
r,,cpState,Zirkulationspumpe Status,,,,0C00,,,onoff,,,,,,,,,
r;w,,Code1,Code 1,,,,9700,,,code,,,,,,,,,
r;w,,Code2,Code 2,,,,9800,,,code,,,,,,,,,
r;w,,CodeValid,Code 1 und 2 gültig,,,,2400,,,yesno,,,,,,,,,
r,,Starts,Kompressor Starts,,,,AA00,,,cntstarts,,,,,,,,,
r;w,,StartsHeating,Kompressor Starts Heizung,,,,A900,,,cntstarts,,,,,,,,,
r;w,,StartsHotWater,Kompressor Starts Warmwasser,,,,A800,,,cntstarts,,,,,,,,,
r;w,,StartsBrine,Quellenpumpe Starts,,,,AC00,,,cntstarts,,,,,,,,,
r;w,,CompressorNumberStarts,Kompressor Starts pro Stunde,,,,7400,,,UCH,,,,,,,,,
r;u,,CompressorState,Kompressor Status,,,,1D00,,,onoff,,,,,,,,,
r1;u,,CompressorTempInput,T1 Kompressor Temperatur Eintritt,,,,0200,,,tempsensor,,,,,,,,,
r1;u,,CompressorTempOutput,T2 Kompressor Temperatur Austritt,,,,0400,,,tempsensor,,,,,,,,,
r,,Date,Datum,,,,2900,,,date,,,,,,,,,
r,,DeicingState,Enteisung Status,,,,CE01,,,yesno,,,,,,,,,
r,,DeicingWaitTime,Enteisung Wartezeit zur nächsten Enteisung,,,,7000,,,seconds,,,,,,,,,
r;w,,StartDeicing,Start Enteisung,,,,7100,,,yesno,,,,,,,,,
r1,,EvaporatorTemp,Verdampfer Temperatur,,,,0500,,,tempsensor,,,,,,,,,
r1;u,,ExpansionValveInputTemp,TEV Temperatur Eintritt,,,,0D00,,,tempsensor,,,,,,,,,
r;u,,FlowTemp,VF2 Vorlauftemperatur IST,,,,0300,,,tempsensor,,,,,,,,,
r1,,FlowTempIntern,T6 interne Vorlauftemperatur IST,,,,0900,,,tempsensor,,,,,,,,,
r;w,,FreezeProtectionTempMin,Einfrierschutz T81,,,,7A01,,,temps,,,,,,,,,
r,,HeatPumpState,Wärmepumpe Status,,,,D000,,,UCH,,,,,,,,,
r;u,,HeatCircuitPumpState,Heizkreispumpe Status,,,,1700,,,onoff,,,,,,,,,
r1,,HeatSystemPress,Heizanlagendruck,,,,1200,,,presssensor,,,,,,,,,
r;w,,Hysteresis,Kompressor Hysterese,,,,7D00,,,temp,,,,,,,,,
r;u,,InitialCurrentLimitation,Anlaufstrombegrenzung,,,,3F00,,,onoff,,,,,,,,,
r,,Integral,Energieintegral,,,,8000,,,integral,,,,,,,,,
r;w,,IntegralStartValue,Energieintegral Startwert,,,,7C00,,,integral,,,,,,,,,
r,,MixerPosition,Mischer Position -100 - +100,,,,0E00,,,spercent,,,,,,,,,
r;w,,NoiseReductionFactor,Lautstärken Reduktion Faktor,,,,2401,,,UCH,,,,,,,,,
r;w,,NoiseReductionState,Lautstärken Reduktion Status,,,,A901,,,yesno,,,,,,,,,
r,,Overheating,Überhitzung,,,,8D00,,,temp,,,,,,,,,
r;u,,PhaseOrder,Drehfeld Status,,,,5701,,,phaseok,,,,,,,,,
r;u,,PhaseState,Phasen Status,,,,8800,,,phase,,,,,,,,,
r,,PowerCutOff,EVU Sperrzeit - Stromunterbrechung,,,,1100,,,yesno,,,,,,,,,
u,,NextPredictedPowerCutOff,Nächste voraussichtliche EVU Sperrzeit - Stromunterbrechung,,,,D300,,,time,,,,,,,,,
r,,hydraulicsSchema,Hydraulikplan (intentionally read only),,,,6000,,,UCH,,,,,,,,,
r,,electricSchema,Elektroplan (intentionally read only),,,,8700,,,UCH,,,,,,,,,
r,,PumpState,Pumpen Status,,,,1800,,,onoff,,,,,,,,,
r;w,,ReturnTempMax,Heizkreis Rücklauftemperatur MAX,,,,7300,,,temp,,,,,,,,,
r2;u,,ReturnTempIntern,T5 interne Rücklauftempertur IST,,,,0A00,,,tempsensor,,,,,,,,,
r;w,,RunTime,Kompressor Laufzeit Summe,,,,9A00,,,hoursum,,,,,,,,,
r;w,,RunTimeHeating,Kompressor Laufzeit Heizung,,,,9B00,,,hoursum,,,,,,,,,
r;w,,RunTimeHotWater,Kompressor Laufzeit Warmwasser,,,,9C00,,,hoursum,,,,,,,,,
r;w,,RunTimeBrine,Quellenpumpe Laufzeit,,,,9D00,,,hoursum,,,,,,,,,
r;w,,RunTimeBrine2,Quellenpumpe2 Laufzeit,,,,9E00,,,hoursum,,,,,,,,,
r;w,,ServiceMode,Servicezeit,,,,6600,,,yesno,,,,,,,,,
r;u,,SoftwareState,Software Status,,,,CF00,,,ULG,,,,,,,,,
r,,SwitchValve,Umschaltventil,,,,1000,,,switchvalve,,,,,,,,,
r,,TempOutside,Aussentemperatur,,,,0600,,,tempsensor,,,,,,,,,
r;w,,TempSpreadMax,Zulässige Temperaturspreizung T6 zu T7,,,,6E00,,,temp,,,,,,,,,
r,,Time,Uhrzeit,,,,2800,,,time,,,,,,,,,
r,,Undercooling,Unterkühlung,,,,8E00,,,temp,,,,,,,,,
r2;u,,VaporPressHigh,Hochdruck Kältekreis,,,,1400,,,presssensor,,,,,,,,,
r2;u,,VaporPressLow,Niederdruck Kältekreis,,,,1500,,,presssensor,,,,,,,,,
r;u,,VaporPressostate,Kältekreis Über/Unterdruck Sicherheitsabschaltung,,,,2500,,,errorok,,,,,,,,,
r,,Weekday,Wochentag,,,,2A00,,,day,,,,,,,,,
u,,ActualEnvironmentPower,Energiebezug aus Umgebung,,,,BA00,,,power,,,,,,,,,
u,,ActualEnvironmentPowerPercentage,Energiebezug aus Umgebung,,,,BB00,,,percent0,,,,,,,,,
r;u;w,,YieldEnvironmentEnergy,Energieertrag Umgebung,,,,BC00,,,energy4,,,,,,,,,
r;w,,calBrineTempInput,Kalibrierung Quelle Eintritt,,,,CD00,,,calibration,,,,,,,,,
r;w,,calBrineTempOutput,Kalibrierung Quelle Austritt,,,,C900,,,calibration,,,,,,,,,
r;w,,calCompressorTempInput,Kalibrierung Kompressor Eintritt,,,,C600,,,calibration,,,,,,,,,
r;w,,calCompressorTempOutput,Kalibrierung Kompressor Austritt,,,,C700,,,calibration,,,,,,,,,
r;w,,calFlowTemp,Kalibrierung Vorlauftemperatur VF1,,,,CA00,,,calibration,,,,,,,,,
r;w,,calFlowTempVF2,Kalibrierung VF2 Temperatur,,,,C500,,,calibration,,,,,,,,,
r;w,,calHotWaterTemp,Kalibrierung Warmwassertemperatur,,,,C400,,,calibration,,,,,,,,,
r;w,,calOutsideTemp,Kalibrierung Aussentemperatur,,,,C300,,,calibration,,,,,,,,,
r;w,,calReturnTemp,Kalibrierung Rücklauftemperatur RF1,,,,CB00,,,calibration,,,,,,,,,
r;w,,calTankTempBottom,Kalibrierung Speicher Bodentemperatur,,,,3401,,,calibration,,,,,,,,,
r;w,,calTankTempTop,Kalibrierung Speicher Kopftemperatur,,,,3301,,,calibration,,,,,,,,,
r,,ehStarts,Zusatzheizung Starts,,,,B100,,,cntstarts,,,,,,,,,
r;w,,ehElectricHeaterModeHeat,Zusatzheizung für Heizung,,,,6300,,,ehmode,,,,,,,,,
r;w,,ehElectricHeaterModeHotWater,Zusatzheizung für Warmwasser,,,,6400,,,ehmode,,,,,,,,,
r;u,,ehElectricHeaterState,Zusatzheizung Status,,,,5F00,,,onoff,,,,,,,,,
r;w,,ehElectricHeaterType,Zusatzheizung Typ,,,,9200,,,ehtype,,,,,,,,,
r;w,,ehHysteresis,Zusatzheizung Hysterese,,,,7E00,,,temp,,,,,,,,,
r;w,,ehIntegralStartValue,Zusatzheizung Energieintegral Startwert,,,,7F00,,,integral,,,,,,,,,
r;w,,ehRunTime,Zusatzheizung Laufzeit Summe,,,,A100,,,hoursum,,,,,,,,,
r;w,,ehRunTimeHeating,Zusatzheizung Laufzeit Heizung,,,,A200,,,hoursum,,,,,,,,,
r;w,,ehRunTimeHotWater,Zusatzheizung Laufzeit Warmwasser,,,,A300,,,hoursum,,,,,,,,,
r;u,,hwFlowTemp,VF1 Bufferspeicher Kopftemperatur,,,,0100,,,tempsensor,,,,,,,,,
r;w,,hwHotWaterTempMax,Warmwasser Termperatur MAX,,25,,8200,,,temp,,,,,,,,,
r;w,,hwHotWaterTempMin,Warmwasser Termperatur MIN,,25,,8300,,,temp,,,,,,,,,
r;w,,hwLegionellaProtectionActive,Legionellenfunktion aktivert,,25,,4000,,,yesno,,,,,,,,,
r;w,,hwLegionellaProtectionDay,Legionellenfunktion Wochentag,,25,,7C01,,,day,,,,,,,,,
r;w,,hwLegionellaProtectionTime,Legionellenfunktion Zeitpunkt,,25,,6700,,,time2,,,,,,,,,
r;w,,hwOperatingMode,Betriebsart,,25,,2B00,,,hwmode,,,,,,,,,
r;u,,hwReturnTemp,RF1 Bufferspeicher Bodentemperatur,,,,0700,,,tempsensor,,,,,,,,,
r,,hwTankTemp,Speichertemperatur IST,,,,0000,,,tempsensor,,,,,,,,,
u,,hwTankTemp,Speichertemperatur IST,,25,,0000,,,tempsensor,,,,,,,,,
r;w,,hwTankTypePipe,Speichertyp ist Rohr,,25,,CD01,,,yesno,,,,,,,,,
*r,ehp00,,,,50,B509,0D,,,,,,,,,,,,
*w,ehp00,,,,50,B509,0E,,,,,,,,,,,,
r;w,,mcCoolingOperatingMode,Kühlung Betriebsart,,,,8C01,,,mcmode,,,,,,,,,
r;w,,mcDesiredTemp,Solltemperatur,,,,3200,,,temp1,,,,,,,,,
r;w,,mcDesiredTempLow,Absenktemperatur,,,,3300,,,temp1,,,,,,,,,
r;w,,mcFlowTempMin,Vorlauftemperatur MIN,,,,3000,,,temp0,,,,,,,,,
r;w,,mcFlowTempMax,Vorlauftemperatur MAX,,,,3100,,,temp0,,,,,,,,,
r;w,,mcFloorProtectionTempLimit,Fußbodenschutz Temp > VF2,,,,7B01,,,temp0,,,,,,,,,
r;w,,mcFloorScreedDryingDay,Estrichtrocknung Tag,,,,3B00,,,days,,,,,,,,,
r;w,,mcFlowTempDesired,Vorlauftemperatur Soll,,,,4600,,,temp1,,,,,,,,,
r;w,,mcHeatingCircuitType,Heizkreistyp,,,,3C00,,,mctype,,,,,,,,,
r;w,,mcHeatingCurve,Heizkurve,,,,3500,,,uin100,,,,,,,,,
r;w,,mcOperatingMode,Betriebsart,,,,2B00,,,mcmode,,,,,,,,,
r;w,,mcOutsideTempLimitShutdown,Abschaltgrenze Aussentemperatur,,,,3600,,,temp0,,,,,,,,,
r;w,,mcPreHeatingTimeMax,Voraufheizung MAX,,,,3800,,,hours,,,,,,,,,
r,,mcPumpPower,Pumpen Leistung,,,,BA01,,,pumppow,,,,,,,,,
r,,mcPumpState,Pumpen Status,,,,B901,,,pumpstate,,,,,,,,,
*r,ehp00,,,,50,B513,04,,,IGN:2,,,,,,,,,
r,,mcDesiredTempBounds,Solltemperatur Grenzen,,,,3200,,,temp1;skip,,,,bounds,,temp1;skip;temp1;skip;temp1;skip,,,min.;max;Standard
r,,mcDesiredTempLowBounds,Absenktemperatur Grenzen,,,,3300,,,temp1;skip,,,,bounds,,temp1;skip;temp1;skip;temp1;skip,,,min.;max;Standard
r,,mcFlowTempMinBounds,Vorlauftemperatur MIN Grenzen,,,,3000,,,temp0;skip,,,,bounds,,temp0;skip;temp0;skip;temp0;skip,,,min.;max;Standard
r,,mcFlowTempMaxBounds,Vorlauftemperatur MAX Grenzen,,,,3100,,,temp0;skip,,,,bounds,,temp0;skip;temp0;skip;temp0;skip,,,min.;max;Standard
r,,mcFloorProtectionTempLimitBounds,Fußbodenschutz Temp > VF2 Grenzen,,,,7B01,,,temp0;skip,,,,bounds,,temp0;skip;temp0;skip;temp0;skip,,,min.;max;Standard
r,,mcFloorScreedDryingDayBounds,Estrichtrocknung Tag Grenzen,,,,3B00,,,days;skip,,,,bounds,,days;skip;days;skip;days;skip,,,min.;max;Standard
r,,mcFlowTempDesiredBounds,Vorlauftemperatur Soll Grenzen,,,,4600,,,temp1;skip,,,,bounds,,temp1;skip;temp1;skip;temp1;skip,,,min.;max;Standard
r,,mcHeatingCircuitTypeBounds,Heizkreistyp Grenzen,,,,3C00,,,mctype;skip,,,,bounds,,mctype;skip;mctype;skip;mctype;skip,,,min.;max;Standard
r,,mcHeatingCurveBounds,Heizkurve Grenzen,,,,3500,,,uin100,,,,bounds,,uin100;uin100;uin100,,,min.;max;Standard
r,,mcOperatingModeBounds,Betriebsart Grenzen,,,,2B00,,,mcmode;skip,,,,bounds,,mcmode;skip;mcmode;skip;mcmode;skip,,,min.;max;Standard
r,,mcOutsideTempLimitShutdownBounds,Abschaltgrenze Aussentemperatur Grenzen,,,,3600,,,temp0;skip,,,,bounds,,temp0;skip;temp0;skip;temp0;skip,,,min.;max;Standard
r,,mcPreHeatingTimeMaxBounds,Voraufheizung MAX Grenzen,,,,3800,,,hours;skip,,,,bounds,,hours;skip;hours;skip;hours;skip,,,min.;max;Standard
*r,ehp00,,,,50,B504,,,,,,,,,,,,,
*w,ehp00,,,,50,B505,09,,,,,,,,,,,,
r,,mcTTMonday,Zeitfenster Montag,,,,02,,,slot1-3;daysel,,,,,,,,,
w,,mcTTMonday,Zeitfenster Montag,,,,01,,,slot1-3;daysel,,,,,,,,,
r,,mcTTTuesday,Zeitfenster Dienstag,,,,03,,,slot1-3;daysel,,,,,,,,,
w,,mcTTTuesday,Zeitfenster Dienstag,,,,02,,,slot1-3;daysel,,,,,,,,,
r,,mcTTWednesday,Zeitfenster Mittwoch,,,,04,,,slot1-3;daysel,,,,,,,,,
w,,mcTTWednesday,Zeitfenster Mittwoch,,,,03,,,slot1-3;daysel,,,,,,,,,
r,,mcTTThursday,Zeitfenster Donnerstag,,,,05,,,slot1-3;daysel,,,,,,,,,
w,,mcTTThursday,Zeitfenster Donnerstag,,,,04,,,slot1-3;daysel,,,,,,,,,
r,,mcTTFriday,Zeitfenster Freitrag,,,,06,,,slot1-3;daysel,,,,,,,,,
w,,mcTTFriday,Zeitfenster Freitrag,,,,05,,,slot1-3;daysel,,,,,,,,,
r,,mcTTSaturday,Zeitfenster Samstag,,,,07,,,slot1-3;daysel,,,,,,,,,
w,,mcTTSaturday,Zeitfenster Samstag,,,,06,,,slot1-3;daysel,,,,,,,,,
r,,mcTTSunday,Zeitfenster Sonntag,,,,08,,,slot1-3;daysel,,,,,,,,,
w,,mcTTSunday,Zeitfenster Sonntag,,,,07,,,slot1-3;daysel,,,,,,,,,
*r,ehp00,,,,25,B504,,,,,,,,,,,,,
*w,ehp00,,,,25,B505,09,,,,,,,,,,,,
r,,hwTTMonday,Warmwasser Zeitfenster Montag,,,,02,,,slot1-3;daysel,,,,,,,,,
w,,hwTTMonday,Warmwasser Zeitfenster Montag,,,,01,,,slot1-3;daysel,,,,,,,,,
r,,hwTTTuesday,Warmwasser Zeitfenster Dienstag,,,,03,,,slot1-3;daysel,,,,,,,,,
w,,hwTTTuesday,Warmwasser Zeitfenster Dienstag,,,,02,,,slot1-3;daysel,,,,,,,,,
r,,hwTTWednesday,Warmwasser Zeitfenster Mittwoch,,,,04,,,slot1-3;daysel,,,,,,,,,
w,,hwTTWednesday,Warmwasser Zeitfenster Mittwoch,,,,03,,,slot1-3;daysel,,,,,,,,,
r,,hwTTThursday,Warmwasser Zeitfenster Donnerstag,,,,05,,,slot1-3;daysel,,,,,,,,,
w,,hwTTThursday,Warmwasser Zeitfenster Donnerstag,,,,04,,,slot1-3;daysel,,,,,,,,,
r,,hwTTFriday,Warmwasser Zeitfenster Freitag,,,,06,,,slot1-3;daysel,,,,,,,,,
w,,hwTTFriday,Warmwasser Zeitfenster Freitag,,,,05,,,slot1-3;daysel,,,,,,,,,
r,,hwTTSaturday,Warmwasser Zeitfenster Samstag,,,,07,,,slot1-3;daysel,,,,,,,,,
w,,hwTTSaturday,Warmwasser Zeitfenster Samstag,,,,06,,,slot1-3;daysel,,,,,,,,,
r,,hwTTSunday,Warmwasser Zeitfenster Sonntag,,,,08,,,slot1-3;daysel,,,,,,,,,
w,,hwTTSunday,Warmwasser Zeitfenster Sonntag,,,,07,,,slot1-3;daysel,,,,,,,,,
*r,ehp00,,,,23,B504,,,,,,,,,,,,,
*w,ehp00,,,,23,B505,09,,,,,,,,,,,,
r,,cpTTMonday,Zirkulationspumpe Zeitfenster Montag,,,,02,,,slot1-3;daysel,,,,,,,,,
w,,cpTTMonday,Zirkulationspumpe Zeitfenster Montag,,,,01,,,slot1-3;daysel,,,,,,,,,
r,,cpTTTuesday,Zirkulationspumpe Zeitfenster Dienstag,,,,03,,,slot1-3;daysel,,,,,,,,,
w,,cpTTTuesday,Zirkulationspumpe Zeitfenster Dienstag,,,,02,,,slot1-3;daysel,,,,,,,,,
r,,cpTTWednesday,Zirkulationspumpe Zeitfenster Mittwoch,,,,04,,,slot1-3;daysel,,,,,,,,,
w,,cpTTWednesday,Zirkulationspumpe Zeitfenster Mittwoch,,,,03,,,slot1-3;daysel,,,,,,,,,
r,,cpTTThursday,Zirkulationspumpe Zeitfenster Donnerstag,,,,05,,,slot1-3;daysel,,,,,,,,,
w,,cpTTThursday,Zirkulationspumpe Zeitfenster Donnerstag,,,,04,,,slot1-3;daysel,,,,,,,,,
r,,cpTTFriday,Zirkulationspumpe Zeitfenster Freitrag,,,,06,,,slot1-3;daysel,,,,,,,,,
w,,cpTTFriday,Zirkulationspumpe Zeitfenster Freitrag,,,,05,,,slot1-3;daysel,,,,,,,,,
r,,cpTTSaturday,Zirkulationspumpe Zeitfenster Samstag,,,,07,,,slot1-3;daysel,,,,,,,,,
w,,cpTTSaturday,Zirkulationspumpe Zeitfenster Samstag,,,,06,,,slot1-3;daysel,,,,,,,,,
r,,cpTTSunday,Zirkulationspumpe Zeitfenster Sonntag,,,,08,,,slot1-3;daysel,,,,,,,,,
w,,cpTTSunday,Zirkulationspumpe Zeitfenster Sonntag,,,,07,,,slot1-3;daysel,,,,,,,,,
