# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*r,pmw00,,,,0A,B509,0D,,,,,,,,,,,,
*w,pmw00,,,,0A,B509,0E,,,,,,,,,,,,
*u,pmw00,,,,0A,B509,29,,,IGN:2,,,,,,,,,
r1;w,,Ntc1,Ntc1 Sensor,,,,0000,,,tempsensor,,,,,,,,,
r1;w,,Ntc2,Ntc2 Sensor,,,,0100,,,tempsensor,,,,,,,,,
r1;w,,Ntc3,Ntc3 Sensor,,,,0200,,,tempsensor,,,,,,,,,
r;w,,Vortex,"Wirbel, Bypass?",,,,0300,,,UIN,,hz,,,,,,,
r;w,,cpPower,Zirkulationspumpe Leistung,,,,0400,,,percent0,,,,,,,,,
r;w,,PumpDutyCycle,Pumpe Einschaltdauer,,,,0500,,,percent0,,,,,,,,,
r;w,,MixerPosition,Mischer Position max. 220 Schritte,,,,0600,,,UIN,,,,,,,,,
r;w,,ElectricHeater,Elektrische Zusatzheizung,,,,0800,,,yesno,,,,,,,,,
r;w,,HeatDemand,Heizanforderung,,,,0900,,,temp,,,,,,,,,
r;w,,OperatingMode,Betriebsart,,,,0A00,,,UCH,0=off;1=on;2=auto;3=manual,,,,,,,,
r;w,,TappingSetpointManual,Zapfsollwert manuell,,,,0B00,,,temp,,,,,,,,,
r;w,,TappingSetpointAuto,Zapfsollwert automatisch,,,,0C00,,,temp,,,,,,,,,
r;w,,TappingSetpointActual,Zapfsollwert aktuell,,,,0E00,,,temp,,,,,,,,,
r;w,,LegionellaProtectionDay,Legionellenfunktion Wochentag,,,,1000,,,day,,,,,,,,,
r;w,,LegionellaProtectionTime,Legionellenfunktion Zeitpunkt,,,,1100,,,time2,,,,,,,,,
r;w,,StartParty,Modus Party,,,,1200,,,onoff,,,,,,,,,
r;w,,StartHoliday,Modus Urlaub,,,,1300,,,onoff,,,,,,,,,
r,,FlowRate,Volumenstrom,,,,4600,,,D2C,,l/min,,,,,,,
r;w,,VPMType,VPM Typ,,,,4B00,,,UCH,1=VPM20/25;2=VPM30/35,,,,,,,,
*r,pmw00,,,,0A,B504,,,,,,,,,,,,,
*w,pmw00,,,,0A,B505,09,,,,,,,,,,,,
r,,mcTTMonday,Zeitfenster Montag,,,,02,,,slot1-3;daysel,,,,,,,,,
w,,mcTTMonday,Zeitfenster Montag,,,,01,,,slot1-3;daysel,,,,,,,,,
r,,mcTTTuesday,Zeitfenster Dienstag,,,,03,,,slot1-3;daysel,,,,,,,,,
w,,mcTTTuesday,Zeitfenster Dienstag,,,,02,,,slot1-3;daysel,,,,,,,,,
r,,mcTTWednesday,Zeitfenster Mittwoch,,,,04,,,slot1-3;daysel,,,,,,,,,
w,,mcTTWednesday,Zeitfenster Mittwoch,,,,03,,,slot1-3;daysel,,,,,,,,,
r,,mcTTThursday,Zeitfenster Donnerstag,,,,05,,,slot1-3;daysel,,,,,,,,,
w,,mcTTThursday,Zeitfenster Donnerstag,,,,04,,,slot1-3;daysel,,,,,,,,,
r,,mcTTFriday,Zeitfenster Freitrag,,,,06,,,slot1-3;daysel,,,,,,,,,
w,,mcTTFriday,Zeitfenster Freitrag,,,,05,,,slot1-3;daysel,,,,,,,,,
r,,mcTTSaturday,Zeitfenster Samstag,,,,07,,,slot1-3;daysel,,,,,,,,,
w,,mcTTSaturday,Zeitfenster Samstag,,,,06,,,slot1-3;daysel,,,,,,,,,
r,,mcTTSunday,Zeitfenster Sonntag,,,,08,,,slot1-3;daysel,,,,,,,,,
w,,mcTTSunday,Zeitfenster Sonntag,,,,07,,,slot1-3;daysel,,,,,,,,,
*r,pmw00,,,,12,B504,,,,,,,,,,,,,
*w,pmw00,,,,12,B505,09,,,,,,,,,,,,
r,,cpTTMonday,Zirkulationspumpe Zeitfenster Montag,,,,02,,,slot1-3;daysel,,,,,,,,,
w,,cpTTMonday,Zirkulationspumpe Zeitfenster Montag,,,,01,,,slot1-3;daysel,,,,,,,,,
r,,cpTTTuesday,Zirkulationspumpe Zeitfenster Dienstag,,,,03,,,slot1-3;daysel,,,,,,,,,
w,,cpTTTuesday,Zirkulationspumpe Zeitfenster Dienstag,,,,02,,,slot1-3;daysel,,,,,,,,,
r,,cpTTWednesday,Zirkulationspumpe Zeitfenster Mittwoch,,,,04,,,slot1-3;daysel,,,,,,,,,
w,,cpTTWednesday,Zirkulationspumpe Zeitfenster Mittwoch,,,,03,,,slot1-3;daysel,,,,,,,,,
r,,cpTTThursday,Zirkulationspumpe Zeitfenster Donnerstag,,,,05,,,slot1-3;daysel,,,,,,,,,
w,,cpTTThursday,Zirkulationspumpe Zeitfenster Donnerstag,,,,04,,,slot1-3;daysel,,,,,,,,,
r,,cpTTFriday,Zirkulationspumpe Zeitfenster Freitrag,,,,06,,,slot1-3;daysel,,,,,,,,,
w,,cpTTFriday,Zirkulationspumpe Zeitfenster Freitrag,,,,05,,,slot1-3;daysel,,,,,,,,,
r,,cpTTSaturday,Zirkulationspumpe Zeitfenster Samstag,,,,07,,,slot1-3;daysel,,,,,,,,,
w,,cpTTSaturday,Zirkulationspumpe Zeitfenster Samstag,,,,06,,,slot1-3;daysel,,,,,,,,,
r,,cpTTSunday,Zirkulationspumpe Zeitfenster Sonntag,,,,08,,,slot1-3;daysel,,,,,,,,,
w,,cpTTSunday,Zirkulationspumpe Zeitfenster Sonntag,,,,07,,,slot1-3;daysel,,,,,,,,,
