# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*r,uih00,,,,15,B509,0D,,,,,,,,,,,,
*w,uih00,,,,15,B509,0E,,,,,,,,,,,,
r,,HydraulicMap,Hydraulikplan (intentionally read only),,,,2900,,,UCH,,,,,,,,,
r;w,,Language,Sprache,,,,2600,,,UCH,,,,,,,,,
r;w,,HolidayPeriod,Ferien Zeitraum,,,,4300,,,holiday,,,,,,,,,
r;w,,HolidayRoomSetTemp,Ferien Solltemperatur,,,,2200,,,temp,,,,,,,,,
r;w,,Password,Kennwort,,,,2C00,,,code,,,,,,,,,
r,,DesiredTemp,Solltemperatur,,,,0500,,,temp,,,,,,,,,
r1,,FlowTempSensor,Vorlauftemperatur Ist,,,,0200,,,tempsensor,,,,,,,,,
r;w,,HeatingTimeMaxHotWaterRequest,Heizzeit MAX bei Warmwasseranforderung,,,,4D00,,,,,min,,,,,,,
r;w,,LoadingTimeMaxHeatRequest,Ladezeit MAX bei Heizanforderung,,,,4C00,,,,,min,,,,,,,
r;w,,TempIncrease,Temperaturüberhöhung,,,,2F00,,,temp,,,,,,,,,
r;w,,PreTurnOffTime,Vorabschaltzeit,,,,2D00,,,UCH,,min,,,,,,,
r;w,,FrostProtectionDelayTime,Frostschutzverzögerung,,,,2E00,,,hours,,,,,,,,,
r;w,,TempErrorDetectTime,Temperaturfehlererkennung,,,,3300,,,hours,,,,,,,,,
r;w,,NameHeatCircuit2,Name Heizkreis 2,,,,4108,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit4,Name Heizkreis 4,,,,4118,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit5,Name Heizkreis 5,,,,4120,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit6,Name Heizkreis 6,,,,4128,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit7,Name Heizkreis 7,,,,4130,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit8,Name Heizkreis 8,,,,4138,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit9,Name Heizkreis 9,,,,4140,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit10,Name Heizkreis 10,,,,4148,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit11,Name Heizkreis 11,,,,4150,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit12,Name Heizkreis 12,,,,4158,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit13,Name Heizkreis 13,,,,4160,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit14,Name Heizkreis 14,,,,4168,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit15,Name Heizkreis 15,,,,4170,,,STR:10,,,,,,IGN:1,,,
r;w,,NameHeatCircuit16,Name Heizkreis 16,,,,4178,,,STR:10,,,,,,IGN:1,,,
r;w,,PhoneNumber1,Telefonnummer 1,,,,4200,,,STR:9,,,,,,,,,
r;w,,PhoneNumber2,Telefonnummer 2,,,,4208,,,STR:9,,,,,,,,,
r;w,,HeatBufferAvailable,Bufferspeicher vorhanden,,,,5C00,,,yesno,,,,,,,,,
