# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,sol00,VR 68,sol 210 500+600,,,,,,,,,,
*r,sc,,,,"EC","B509","0D",,,,,,
*w,sc,,,,"EC","B509","0E",,,,,,
*wi,sc#install,,,,"EC","B509","0E",,,,,,
# ##### SOLAR: Solar #####,,,,,,,,,,,,,
r,,SP1,SP1,,,,"0000",,,tempsensor,,,value and sensorstate of upper tank temperature sensor SP1
r,,SP2,SP2,,,,"0100",,,tempsensor,,,value and sensorstate of lower tank temperature sensor SP2
r,,D1Temp,TD1,,,,"0200",,,tempsensor,,,value and sensorstate of middle tank temperature sensor TD1
r,,SolarGain,SolarGain,,,,"0300",,,tempsensor,,,value and sensorstate of the solar gain sensor
r,,Col,KOL,,,,"0400",,,tempsensor,,,value and sensorstate of the collector sensor
r,,CollPump,Kollektorpumpe,,,,"0600",,,onoff,,,collector pump's state
r,,SolarCollPumpDcIntegrator,SolarCollPumpDcIntegrator,,,,"1900",,,SIN,,,integral part of the solar collector pump's control if duty ratio control is active
r;wi,,TempDifferenceOn,Einschaltdifferenz,,,,"2400",,,temp0,,,solar difference control's switch on temperature
r;wi,,TempDifferenceOff,Ausschaltdifferenz,,,,"2500",,,temp0,,,solar difference control's switch off temperature
r;wi,,MaximalTemp,Maximaltemperatur,,,,"2600",,,temp0,,,Maximale Speichertemperatur für Solarladung
r,,SolarCollPumpED,ED Kollektorpumpe,,,,"2800",,,percent0,,,percentage of 'pump is on' during one minute (if duty ratio control is enabled)
r,,RuntimeCollPump,Laufzeit Kollektorpumpe,,,,"2A00",,,hoursum2,,,accumulated runtime of the collector pump
r;wi,,FlowRate,Volumenstrom,,,,"2D00",,,SIN,10,l/min,chosen flow rate of the collector pump (to calculate solar gain)
r;wi,,ScProtectionLimit,Abschaltgrenze Schutzfunktion,,,,"3000",,,desiredtemp,,,Switch off temperature for collector protection
r,,ScProtectionHysteresis,Hysterese Schutzfunktion,,,,"3100",,,desiredtemp,,,temperature hysteresis for activating solar pump after collector protection
r;wi,,KickFunction,KickFunction,,,,"3200",,,onoff,,,enable kick function
r,,SumSolarGain,SumSolarGain,,,,"3300",,,energy4,,,accumulated solar gain
r;wi,,EDFunction,EDFunktion,,,,"3400",,,onoff,,,enable duty ratio control
r;w,,ResetSolarGain,Rücksetzen Solarertrag,,,,"3500",,,yesno,,,reset solar gain
r,,SolarOperationMode,Betriebsart Solarkreis,,,,"3600",,,onoff,,,Betriebsart des Solarkreises
r,,ColKickPumpTime,Länge Kollektorkick,,,,"3B00",,,seconds0,,,time pump is running when collector kick function is activated
r,,ColKickTempDelta,ColKickTempDelta,,,,"3C00",,,temp0,,,temperature difference necessary for activating the pump kick
r,,ProtectionLimitOffTime,ProtectionLimitOFFTime,,,,"3E00",,,seconds0,,,time for which KOL temperature has to exceed the protection temperature to enter solar circuit protection mode
r,,SumSolarGainDayBefore,SumSolarGain_day_before,,,,"4C00",,,energy4,,,sum of yesterday's solar gain
r;wi,,EnableScProtection,Solarkreisschutzfunktion,,,,"5900",,,yesno,,,enable solar circuit protection
r,,FrostProtectionEnabled,Solarkreis Frostschutzfunktion,,,,"5A00",,,yesno,,,set TRUE to enable solar frost protection
r,,FrostProtectionLimit,Grenze für Solarkreisschutzfunktion,,,,"5B00",,,temps2,,,temperature level for activating solar frost protection
# ##### SOLAR: Generell #####,,,,,,,,,,,,,
r,,D2Temp,TD2,,,,"0800",,,tempsensor,,,value and sensorstate of the system's return flow sensor TD2
r,,PumpAntiLockingFlags,PumpAntiLockingFlags,,,,"0900",,,UIN,,,each set bit represents a pump that has not run in the last 24h
r,,MultifunctionOutput,Multifunktionsausgang,,,,"0A00",,,onoff,,,Output of multifunction relay
r,,Time,Zeit,,,,"0C00",,,time,,,Aktuelle Uhrzeit
r,,Date,Datum,,,,"0D00",,,date,,,Aktuelles Datum
r,,Weekday,Wochentag,,,,"0E00",,,bday,,,Aktueller Wochentag
r,,InitCircuit,InitCircuit,,,,"1800",,,yesno,,,true if DHW and CP circuits are in init phase
r;wi,,MAPreferredStorage,MAPreferredStorage,,,,"3700",,,UCH,,,"1 <=> preferred storage is storage with SP1/SP2 sensors, 2 <=> preferred storage is storage with SP3/TD1 sensors"
r;wi,,OMultifunction,O_Multifunction,,,,"3A00",,,UCH,,,"multifunction relay: 0 = 2nd storage, 1 = differential control"
r,,SystemMode,Systemmodus,,,,"3D00",,,onoff,,,"0 = heatpump; 1 = 430 system, must be cyclicly written by the CI"
r;wi,,TempDifferenceOnTD12,Einschaltdifferenz TD1/TD2,,,,"4200",,,temp0,,,temperature difference for the multifunction-output relay to switch on
r;wi,,TempDifferenceOffTD12,Ausschaltdifferenz TD1/TD2,,,,"4300",,,temp0,,,temperature difference for the multifunction-output relay to switch off
r,,QuickVetoStart,Quick Veto start,,,,"4500",,,yesno,,,Signal for starting quick veto (will be reset after quick veto has been started)
r,,IsInHolidayMode,Ferienprogramm aktiv,,,,"4800",,,yesno,,,holiday mode
r,,LpZpMaPort,Rückmeldung ZP,,,,"5400",,,onoff,,,multifunction-output port replay
r,,Hc1PumpKol1PP1Port,Hk1P_Kol1P_P1_Port,,,,"5500",,,onoff,,,collector 1 pump port replay
r,,Hc2aLegPumpP2Port,Rückmeldung P2,,,,"5700",,,onoff,,,legionella pump port replay
r,,Hc2zPort,Hk2z_Port,,,,"5800",,,onoff,,,Port replay
