# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,47000,VRC 470,470 260 420+520,,,,,,,,,,
*r,470,,,,"15","B509","0D",,,,,,
*w,470,,,,"15","B509","0E",,,,,,
*wi,470#install,,,,"15","B509","0E",,,,,,
# ##### Generell #####,,,,,,,,,,,,,
r,,DisplayedRoomTemp,Raumtemperatur Ist,,,,"8000",,,temp,,,Aktuelle Raumtemperatur
r,,RoomTemp,Raumisttemp.,,,,"0000",,,tempsensor,,,raw value current room temperature and sensorstate (without any correction)
r,,OutsideTemp,Außentemp. Sensor,,,,"6200",,,tempsensor,,,Außentemperatur und Sensorstatus
r,,Weekday,Wochentag,,,,"5F00",,,bday,,,Aktueller Wochentag
r;w,,Time,Zeit,,,,"6000",,,time,,,Aktuelle Uhrzeit
r;w,,Date,Datum,,,,"6100",,,date,,,Aktuelles Datum
r,,StatusDcf,Status DCF,,,,"0200",,,dcfstate,,,status of the DCF signal (0x00 = no DCF-Signal detected / no RTC value; 0x01 = DCF-signal detected; 0x02 = DCF-signal is being interpreted; 0x03 = DCF-data valid; 0x04 = RTC-data is valid)
r,,DisplayedHc1RoomTempDesired,Angezeigte Raumtemperatur Soll Heizkreis 1,,,,"9600",,,temp1,,,0= >5°Ccurrently displayed room temperature setpoint
r,,GlobalSystemOff,GlobalSystemOFF,,,,"0100",,,onoff,,,"activation of operation mode ""system off"""
r;w,,Hc1OPMode,Betriebsart Heizkreis 1,,,,"2F00",,,UCH,,,"operation mode of the first heating circuit (0 = off, 1 = manual, 2 = auto, 3 = on, 4 = night, 5 = summer)"
r;w,,Hc1NightTemp,Absenktemperatur Heizkreis 1,,,,"3000",,,temp1,,,Absenktemperatur des 1. Heizkreises
r;w,,Hc1DayTemp,HC1_DaySetTemp,,,,"2700",,,temp1,,,day setpoint
r,,Hc1QuickVetoTemp,Quick Veto Temperatur Heizkreis 1,,,,"3C00",,,temp1,,,manual override setpoint of the first heating circuit
r,,Hc1SFMode,HC1_SFMode,,,,"5D00",,,UCH,,,"0 = _SFNothing,1 = _SFParty,2 = _SFOneDayBankHoliday,3 = _SFOneDayHoliday,4 = _SFHolidayPeriod,5 = _SFBankHolidayPeriod,6 = _SFQuickVeto,7 = _SFOneTimeVentilation,8 = _SFWhisperMode,9 = _SFLoadOnceDHW"
r;w,,HolidayRoomTemp,Urlaub Raumtemperatur Soll,,,,"4000",,,D1C,,,"4.5=frostprotect room setpoint during holidays (4,5 = frost protection)"
r;w,,Hc1HolidayStartPeriod,HC1HolidayStartPeriod,,,,"1100",,,date,,,first heating circuit's start date of holidays
r;w,,Hc1HolidayEndPeriod,HC1HolidayEndPeriod,,,,"1200",,,date,,,first heating circuit's end date of holidays
r;w,,Hc1BankHolidayStartPeriod,HC1BankHolidayStartPeriod,,,,"2100",,,date,,,first heating circuit's start date of bank holidays
r;w,,Hc1BankHolidayEndPeriod,HC1BankHolidayEndPeriod,,,,"2200",,,date,,,first heating circuit's end date of bank holidays
r;w,,HcName1,aaucHcNames_HK1,,,,"3F00",,,STR:10,,,labelling of the first heating circuit
r;w,,HcName2,aaucHcNames_HK2,,,,"3F08",,,STR:10,,,labelling of the second heating circuit
r,,HwcOPMode,Betriebsart Warmwasserkreis,,,,"4200",,,UCH,,,"0 = off, 1 = on, 2 = auto, 3 = auto sunday, 4 = party, 6 = one time tank loading, 7 = holiday"
r;w,,HwcTempDesired,DHW_DesiredTemp_DK,,,,"4400",,,temp1,,,setpoint of domestic hot water circuit
r;w,,SummerWinterTimeAdjust,Sommer/Winterzeit Umstellung,,,,"5300",,,onoff,,,enable automatic switching over to daylight saving's time (when a DCF receiver is connected to the BMU the value is set fix to ON)
r,,DisplayedHwcStorageTemp,DisplayedDHWTankTemperature,,,,"9E00",,,temp1,,,display of the storage's temperature in C4 (also in case of an SP1error)
r,,HwcActualTempDesired,DHW_ActualDesired_Setpoint_DK,,,,"8600",,,temp1,,,Aktuell für Regelung berechneter Wert
r,,Hc2TempDesiredB50418,HC2_Desired_TempB50418,,,,"3200",,,D1C,,,current flow temperature setpoint of the second heating circuit
r,,Hc2OPMode,HC2_OPMode,,,,"1B00",,,UCH,,,"operation mode of the second heating circuit (0 = off, 1 = manual, 2 = auto, 3 = on, 4 = night, 5 = summer)"
r,,Hc2SFMode,HC2_SFMode,,,,"1C00",,,UCH,,,"0 = _SFNothing,1 = _SFParty,2 = _SFOneDayBankHoliday,3 = _SFOneDayHoliday,4 = _SFHolidayPeriod,5 = _SFBankHolidayPeriod,6 = _SFQuickVeto,7 = _SFOneTimeVentilation,8 = _SFWhisperMode,9 = _SFLoadOnceDHW"
r;w,,Hc2HolidayStartPeriod,HC2HolidayStartPeriod,,,,"2300",,,date,,,second heating circuit's start date of holidays
r;w,,Hc2HolidayEndPeriod,HC2HolidayEndPeriod,,,,"2400",,,date,,,second heating circuit's end date of holidays
r;w,,Hc2BankHolidayStartPeriod,HC2BankHolidayStartPeriod,,,,"2500",,,date,,,second heating circuit's start date of bank holidays
r;w,,Hc2BankHolidayEndPeriod,HC2BankHolidayEndPeriod,,,,"2600",,,date,,,second heating circuit's end date of bank holidays
r;wi,,TestVarActivateFunction,TestVarActivateFunction,,,,"0B00",,,UCH,,,0=All SF_OFF1/2=1DayHolON/OFF13/4=1DayBankON/OFF15/6=1DayHolON/OFF27/8=1DayBankON/OFF29/10=1xDHWLoadON/OFF11/12=QVetoON/OFF113/14=QVetoON/OFF215/16=PartyON/OFF117/18=PartyON/OFF219/20=Ventil.ON/OFF121/22=Ventil.ON/OFF223/24=SystemOff_ON/OFF
# ##### extra #####,,,,,,,,,,,,,
r;wi,,RoomTempCorrection,Raumtemperatur-Abgleich,,,,"5700",,,calibrations,,,Korrekturwert der Raumtemperaturanzeige
r;wi,,OutsideTempOffset,Außentemperatur-Abgleich,,,,"5800",,,calibrations,,,Korrekturwert für die Außentemperatur
r;wi,,FrostOverRideTime,Frostschutz-Verzögerung,,,,"1A00",,,hours,,,delay before frost protection is activated
r,,OpModeEffect,OpModeEffect,,,,"B800",,,UCH,,,"selection which heating circuit is affected by changing parameters in the basic display (0 = HC1, 1 = HC2, 2 = both)"
r;wi,,Hc1HeatCurve,Heizkurve Heizkreis 1,,,,"3100",,,curve,,,heating curve of the first heating circuit
r;wi,,Hc1AutoOffMode,HC1_AutoOFF_Mode,,,,"4D00",,,UCH,0=frostprotection;1=lowering;2=disabled,,operation during the lowering time
r;wi,,Hc1RoomTempSwitchOn,Raumtemperaturschalter Heizkreis 1,,,,"3400",,,UCH,0=off;1=modulating;2=thermostat,,room temperature modulation of the first heating circuit
r;wi,,Hc1MinimalFlowTempDesired,Minimale Vorlauftemperatur Soll Heizkreis 1,,,,"3500",,,temp1,,,minimum flow temperature setpoint (end emphasis) of the first heating circuit
r;wi,,Hc1HcType,Typ Heizkreis 1,,,,"3A00",,,UCH,0=disabled;1=burner circuit,,type of the first heating circuit
