# template name,type / templates,divider / values,unit,comment
#ebus specification types:,,,,
cntstarts,BCD:3,,,Anlaufzähler
cntminutes,BCD,,min,Betriebsstunden
cnthours,BCD:3,,h,Betriebsstunden
cntfuel,BCD:4,,,Brennstoffmenge
unit,UCH,0=all;1=l;2=m³,,Einheit
fueltype,UCH,0=any;1=oil;2=gas,,Brennstoffart
countertype,UCH,0=starts;1=hours 1;2=hours 2;3=hours 3;4=hours 4;5=modulation;16=amount,,Zählerart
opdatacyclic,UCH,0x55=stop;0xaa=start,,zyklische Übertragung
opdatatransfer,UCH,0=stop;1=cyclic;2=event;3=single;3=cyclic and event,,Übertragung
opdataheat,UCH,0x00=off;0x01=none;0x55=hotwater;0xaa=heating;0xcc=emissioncheck;0xdd=tüv;0xee=controlstop;0x66=hotwater in controlstop;0xbb=hotwater in heating;0xee=controlstop in stage,,Wärmeanforderung
opdataaction,UCH,0x00=none;0x01=stop pump;0x02=start pump;0x03=stop consumer;0x04=start consumer,,
desiredtemp,UCH,,°C,Solltemperatur
outsidetemp,SCH,,°C,Außentemperatur
percent,D2C,,%,
percent0,UCH,,%,
percent1,D1C,,%,
percent2,D2B,,%,
percents,SCH,,%,
temp,D2C,,°C,Temperatur
temp0,UCH,,°C,Temperatur
temp1,D1C,,°C,Temperatur
temp2,D2B,,°C,Temperatur
press,D2B,,bar,Druck
btime,BTI,,,Uhrzeit
bdate,BDA,,,Datum
bday,BDY,,,Wochentag
id,STR:5,,,Geräte-ID
version,PIN,,,Version
skip,IGN:1,,,
,,,,
#vaillant types:,,,,
temps,SCH,,°C,Temperatur
temps2,SIN,,°C,Temperatur
press,FLT,,bar,Druck
date,HDA:3,,,Datum
day,BDY,,,Wochentag
daysel,UCH,0=selected;1=Mo-Fr;2=Sa-So;3=Mo-So,,
days,UCH,,,Tage
time,VTI,,,Zeit
time2,VTM,,,Zeit
minutes,ULG,120,min,Minuten
minutes0,UCH,,min,Minuten
minutes2,UIN,,min,Minuten
hoursum,ULG,,h,Stunden
hoursum2,UIN,,h,Stunden
hours,UCH,,h,Stunden
hours1,D1C,,h,Stunden
hour,UCH,,h,Stunde
seconds,ULG,2,s,Sekunden
seconds0,UCH,,s,Sekunden
seconds2,UIN,,s,Sekunden
seconds4,ULG,,s,Sekunden
calibration,D2C,,K,
calibration0,UCH,,K,
calibration1,D1C,,K,
calibrations,SCH,2,K,
integral,SIN,,°min,
mcmode,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,
mctype,UCH,0=uninitialized;1=mixer;2=fixed;3=3;4=4,,
hwcmode,UCH,0=disabled;1=on;2=off;3=auto,,
status,UCH,,,
onoff,UCH,0=off;1=on,,
yesno,UCH,0=no;1=yes,,
errorok,UCH,0=ok;1=error,,
sensor,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
tempsensor,temp;sensor,,,
presssensor,press;sensor,,,
pressm,ULG,,mbar,Druck
pressm2,UIN,,mbar,Druck
uin100,UIN,100,,
curve,UIN,100,,Heizkurve
phase1,BI0,0=missing;1=present,,
phase2,BI1,0=missing;1=present,,
phase3,BI2,0=missing;1=present,,
phase,phase1;phase2;phase3,,,
code,PIN,,,
from,TTM,,,von
to,TTM,,,bis
slot,from;to,,,Slot von/bis
slot1-3,slot;slot;slot,,,Slots 1 - 3
backtype,UCH,0=not present;1=external heat;2=external water;3=external heat and water; 4=internal heat and water,,
backmode,UCH,0=no backup;1=with backup;2=only backup,,
power,UCH,,kW,
energy,UIN,,kWh,
energy4,ULG,,kWh,
cntstarts,ULG,,,
cntstarts2,UIN,,,
pumppow,UCH,0=0;1=1;2=2;3=3;4=4;5=5;6=6;7=off,,
pumpstate,UCH,0=ok;1=error;2=none,,
dcfstate,UCH,0=nosignal;1=ok;2=sync;3=valid,,
phaseok,UCH,0=error;7=ok,,
switchvalve,UCH,0=heat;1=water,,
hfrom,HDA:3,,,Ferienzeitraum von
hto,HDA:3,,,Ferienzeitraum bis
holiday,hfrom;hfrom;hto;hto,,,Ferienzeitraum 1 von; 2 von; 1 bis; 2 bis
hpstatus,UCH,0=off;3=heat;6=standby;7=otshutdown;8=water,,
frequency,UIN,,Hz,
