# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,AMU Wärmepumpe,EHP00 172 327+427 Mixer circuit,,,,,,,,,,
*r,mc,,,,"50","B509","0D",,,,,,
*w,mc,,,,"50","B509","0E",,,,,,
*wi,mc#install,,,,"50","B509","0E",,,,,,
# ##### MK: Parameter und Informationen #####,,,,,,,,,,,,,
r;w,,OperatingMode,Betriebsart,,,,"2B00",,,mcmode,,,"Betriebsmodus Heizen (Auto, Eco, Heizen, Absenken, Aus)"
r;wi,,CfgHeatSinkType,Kreis Typ,,,,"3C00",,,mctype,,,Einstellung des Typs für den Heizkreis.- Brennerkreis: Hydraulikplan 1 und 3.- Mischerkreis: Hydraulikplan 2 und 4.- Festwert: Fest eingestellte Vorlauf-Solltemperatur für Tag und für Nacht.
r;w,,TempDesired,Raumsolltemperatur,,,,"3200",,,temp1,,,Raumsolltemperatur
r;w,,TempDesiredLow,Absenktemperatur,,,,"3300",,,temp1,,,Absenktemperatur
r;w,,HeatingCurve,Heizkurve,,,,"3500",,,curve,,,Die Heizkurve stellt das Verhältnis zwischen Außentemperatur und Vorlaufsolltemperatur dar. Die Einstellung erfolgt für jeden Heizkreis separat.
r;w,,OtShutdownLimit,Außentemp. Abschaltgrenze,,,,"3600",,,desiredtemp,,,AT-Abschaltgrenze: Temperaturgrenze für Abschaltung des Heizbetriebs (Sommer-Funktion).
r;wi,,FlowTempMin,Min. Vorlauftemp.,,,,"3000",,,temp0,,,BMR:Minimum Flow Temperature for circuit
r;w,,FlowTempDesired,Vorlaufsolltemperatur,,,,"4600",,,temp1,,,BMR:flow temperature that is actually desired by circuit
r;wi,,FlowTempMax,Max. Vorlauftemp.,,,,"3100",,,temp0,,,BMR:Maximum Flow Temperature for circuit
r;wi,,HcMaxPreHeating,Max. Voraufheizung,,,,"3800",,,hours,,,"Um die Trägheit der Fußbodenheizung zu berücksichtigen, können Sie eine Voraufheizung vor Beginn der programmierten Heizzeit manuell einstellen."
r;wi,,FloorProtectionLimit,Fußbodenschutz,,,,"7B01",,,desiredtemp,,,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.
r;wi,,FloorPavingDryingDay,Estrichtrocknung Tag,,,,"3B00",,,UCH,,,"Sie können den Anfangstag für die Estrichtrocknung wählen, die Temperatur für die Vorlaufsolltemperatur wird automatisch gemäß Estrich trocknungsfunktion aufgerufen."
