# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,AMU Wärmepumpe,EHP00 172 327+427 AirToWater,,,,,,,,,,
*r,ehp,,,,"08","B509","0D",,,,,,
*u,ehp,,,,"08","B509","29",,,IGN:2,,,
*w,ehp,,,,"08","B509","0E",,,,,,
*wi,ehp#install,,,,"08","B509","0E",,,,,,
*ws,ehp#service,,,,"08","B509","0E",,,,,,
# ##### EHP: #####,,,,,,,,,,,,,
r,,SourceHours,Brine_Fan_Hours,,,,"9D00",,,hoursum,,,operating hours of Fan_Brine
r,,Source2PumpHours,Brine2_P_Hours,,,,"9E00",,,hoursum,,,operating hours of Sk2P
r,,CompStartsHwc,Compressor_Commutations_DHW,,,,"A800",,,cntstarts,,,Number of commutations of
r,,CompStartsHc,Compressor_Commutations_CH,,,,"A900",,,cntstarts,,,Number of commutations of
r,,SourceStarts,Brine_Fan_Commutations,,,,"AC00",,,cntstarts,,,Number of commutations of
r,,Hc1PumpStarts,CH1_P_Commutations,,,,"AD00",,,cntstarts,,,Number of commutations of
r,,HwcPumpStarts,DHW_P_Commutations,,,,"AE00",,,cntstarts,,,Number of commutations of
r,,BackupStartsHwc,Backup_Commutations_DHW,,,,"AF00",,,cntstarts,,,Number of commutations of
r,,BackupStartsHc,Backup_Commutations_CH,,,,"B000",,,cntstarts,,,Number of commutations of
r,,HwcHcValveStarts,V_DHW_CH_Commutations,,,,"B300",,,cntstarts,,,Number of commutations of
r,,CompCutPressHighCount,Compressor_Cut_HP_No,,,,"B400",,,ULG,,,shows how often the compressor has been stopped by high pressure switch
r,,CompCutPressLowCount,Compressor_Cut_LP_No,,,,"B500",,,ULG,,,shows how often the compressor has been stopped by low pressure switch
r,,CompCutTempCount,Compressor_Cut_T_No,,,,"B600",,,ULG,,,shows how often the compressor has been stopped due to outlet temperature exceeding
r;u,,ActualEnvironmentPower,ActualEnvironmentPower,,,,"BA00",,,power,,,only for graphic display: the environmental power that is actually displayed in kW
r;u,,ActualEnvironmentPowerPercentage,ActualEnvironmentPowerPercentage,,,,"BB00",,,percent0,,,only for graphic display: amount of filling of the big energy arrow
# ##### EHP: Messwerte  Schalter  Aktoren und sonstige IOs #####,,,,,,,,,,,,,
# ***** Wärmequelle *****,,,,,,,,,,,,,
r;ws;u,,YieldEnvironmentEnergy,Energieertrag,,,,"BC00",,,energy4,,,Gesamtsumme Energieertrag
r;u,,SourceTempInput,Quellentemperatur,,,,"0F00",,,tempsensor,,,"Quellentemperatur: Wärmequellentemperatur am Eintritt zurWärmepumpe, T3."
r,,SourceTempOutput,Fortlufttemperatur,,,,"0800",,,tempsensor,,,Fortlufttemperatur
r,,Source,Lüfter,,,,"1900",,,onoff,,,Lüfter
r,,SourceSwitch,Kontakt Lüfter,,,,"2600",,,errorok,,,"Motorschutzthermostat des Lüfters (ok = geschlossen, offen =Überhitzung der Motorwicklung)."
# ***** Wärmeerzeuger *****,,,,,,,,,,,,,
r,,CompPressHigh,Hochdruck Kältekr.,,,,"1400",,,presssensor,,,Hochdruck Kältekr.: Anzeige Kältemitteldruck Kompressorausgang.
r,,CompPressLow,Niederdr. Kältekr.,,,,"1500",,,presssensor,,,Niederdruck Kältekr.: Anzeige Kältemitteldruck Kompressoreingang.
r,,Superheat,Überhitzung,,,,"8D00",,,temp,,,Überhitzung des Kältemittels berechnet aus T2 und Niederdrucksensor.
r,,Subcooling,Unterkühlung,,,,"8E00",,,temp,,,Unterkühlung des Kältemittels berechnet aus T4 und Hochdrucksensor.
r,,Integral,Energie-Integral,,,,"8000",,,integral,,,Das Energie-Integral ist die aufsummierte Differenz zwischen Vorlauftemperatur IST und Vorlauftemperatur SOLL pro Minute. Bei einem bestimmten Wärmedefizit startet die Wärmepumpe.
r,,TempInput,Kompressor Eintritt,,,,"0200",,,tempsensor,,,Anzeige Temperaturfühler T1. Kompressoreinlasstemperatur
r,,TempOutput,Kompressor Austritt,,,,"0400",,,tempsensor,,,Anzeige Temperaturfühler T2. Kompressorauslasstemperatur
r,,EvaporatorTemp,Verdampfertemperatur,,,,"0500",,,tempsensor,,,Verdampfertemp: Temperatur am Austritt des Verdampfers T7
r,,PressSwitch,Pressostate,,,,"2500",,,errorok,,,Hochdruck- und Niederdruck-Pressostat:ok = Pressostat ist in Ordnungoffen = Hochdruck- oder Niederdruck-Pressostat haben den Kältekreis abgeschaltet.
r,,Comp,Kompressor,,,,"1D00",,,onoff,,,Status Kompressor: AN/AUS.
r,,Backup,Zusatzheizung,,,,"5F00",,,onoff,,,Status Zusatzheizer
r,,CoolValve,V_Cool,,,,"1C00",,,onoff,,,Status 4-Wege-Ventil. Es kann zwei Zustände einnehmen:– Heizen (Normalbetrieb)– Abtauen (Abtaubetrieb)
# ***** Wärmesenke Heizung *****,,,,,,,,,,,,,
r,,HcFlowTemp,Vorlauftemp. IST,,,,"0900",,,tempsensor,,,Aktuelle Vorlauftemperatur T6 - interner Vorlauffühler
r,,HcReturnTemp,Rücklauftemp. IST,,,,"0A00",,,tempsensor,,,Aktuelle Rücklauftemperatur T5 - interner Rücklauffühler
r,,HcPress,Heizanlagendruck,,,,"1200",,,presssensor,,,Heizanlagendruck (Drucksensor Heizkreis).
r,,Hc1Pump,Heizkreispumpe,,,,"1700",,,onoff,,,Status Heizkreispumpe: AN/AUS.
r;u,,StorageTempTop,Vorlauffühler VF1,,,,"0100",,,tempsensor,,,Pufferspeicher-Kopftemperaturfühler VF1
r;u,,StorageTempBottom,Rücklauffühler RF1,,,,"0700",,,tempsensor,,,Pufferspeicher-Bodentemperatur fühler RF1
r;u,,FlowTemp,Vorlauftemp. IST,,,,"0300",,,tempsensor,,,Aktuelle Vorlauftemperatur VF2
r,,Mixer1DutyCycle,Mischerstatus,,,,"0E00",,,percents,,,"Status des Mischers; -100:Geschlossen, 0:Keine Ansteuerung, +100:offen. Achtung: die Anzeige -100 oder +100 für Auffahren oder Schließen des Mischers wird zeitversetzt um ca. 10–15 Sekunden angezeigt und ist daher nur bedingt aussagekräftig."
r,,Hc2Pump,Pumpenstatus,,,,"1800",,,onoff,,,"Pumpenstatus zeigt an, ob die externe Keizkreispumpe an- oder ausgeschaltet ist (AN/AUS)."
# ***** Wärmesenke Warmwasser *****,,,,,,,,,,,,,
r,,HwcTemp,Speichertemp. IST,,,,"0000",,,tempsensor,,,Speichertemp. IST: Temperatur im Warmwasserspeicher.
r,,CirPump,Zirkulationspumpe,,,,"0C00",,,onoff,,,ZP: = Status der Zirkulationspumpe (AN/AUS).
r,,HwcHcValve,UV1,,,,"1000",,,onoff,,,"Umschaltventil Heizen/Warmwasser, UV1."
r,,HwcSwitch,1xZP,,,,"0B00",,,onoff,,,Status des 1xZP Eingangs.
# ***** Spannungsversorgung *****,,,,,,,,,,,,,
r,,PowerCut,Stromunterbrechung,,,,"1100",,,yesno,,,"Status Stromunterbrechung durch Ansteuerung des EVUKontaktes (Sperrzeit durch Versorgungsnetzbetreiber): „nein“ = keine Sperrzeit, „ja“ = Sperrzeit aktiv, Ansteuerung z. B. über Rundsteuerempfänger/ Rundsteuersignal."
r,,PhaseStatus,Phasen Status,,,,"8800",,,phase,,,Status der 3 Phasen. 0 = Phase fehlt1 = Phase ist da
r,,PhaseOrder,Drehfeld Status,,,,"5701",,,phaseok,,,"Drehfeld Status: angezeigt wird, ob die Drehfeld richtung in Ordnung ist (OK/Fehler)."
r,,ICLOut,Anlaufstrombegr.,,,,"3F00",,,onoff,,,Anlaufstrombegrenzer Ausgang
# ***** Sonstige I/Os *****,,,,,,,,,,,,,
r,,OutsideTemp,Aussentemperatursensor,,,,"0600",,,tempsensor,,,Meßwert des externen Außentemperaturfühlers
r,,SourcePort,Fan_Brine_Port,,,,"3701",,,onoff,,,port feedback; only needed by UI in actuator test
r,,Hc1PumpPort,CH1_P_Port,,,,"3801",,,onoff,,,port feedback; only needed by UI in actuator test
r,,Injection,Injection,,,,"1F00",,,onoff,,,injection
# ##### EHP: Parameter und Informationen #####,,,,,,,,,,,,,
# ***** Grunddaten *****,,,,,,,,,,,,,
r,,Date,Datum,,,,"2900",,,date,,,Aktuelles Datum
r,,CompDemand,Kompressoranforderung,,,,"5400",,,yesno,,,shows that regulation wants to start the heat source
r,,Weekday,Wochentag,,,,"2A00",,,bday,,,Aktueller Wochentag
r,,Time,Zeit,,,,"2800",,,time,,,Aktuelle Zeit
r,,HeatPumpStatus,Wärmepumpenstatus,,,,"D000",,,hpstatus,,,contains the status of the heatpump shown to the installer. Values do not fit here. Please ask R&D for values.
# ***** Zusatzheizer *****,,,,,,,,,,,,,
r;wi,,BackupType,Zusatzheizung,,,,"9200",,,backtype,,,"Zusatzheizung: Eingestellt wird, ob und wo eine Zusatzheizung hydraulisch angebunden ist:- intern (Elektro-Zusatzheizung in der Wärmepumpe)- WW + HK: externe Zusatzheizung WW&Heizung- keine Zusatzheizung- WarmW: externe Zusatzheizung WW"
r;wi,,BivalentTemp,Bivalenz Punkt,,,,"6500",,,temp,,,Bivalenzpunkt: Nur unterhalb dieser Außen temperatur ist die Zusatzheizung zur Nach erwärmung im Heizbetrieb freigeschaltet.
r;wi,,BackupHysteresis,Hysterese Zus. Hzg.,,,,"7E00",,,temp,,,"Hysterese Zus.Hzg.: Falls die Differenz zwischen Vorlauf-Sollund Vorlauf-Isttemperatur den eingestellten Wert überschreitet,wird die Zusatzheizung eingeschaltet.(Nur bei Hydraulikplan 1 und 3)"
r;wi,,BackupIntegral,Energieint. Start,,,,"7F00",,,integral,,,"Energieint. Start: Wenn das Energie-Integral kleiner als dereingestellte Wert plus der in Menü C8 „Kompressor-Einstellung“eingestellte Wert „Kompr.Start in“ ist, dann startet dieWärmepumpe.Beispiel: -600°min plus -60°min => Start bei -660°min."
r;wi,,BackupModeHc,Betrieb Heizung,,,,"6300",,,backmode,,,"Einstellen der Zusatzheizung.Heizung:- ohne ZH = ZH gesperrt.- mit ZH = ZH freigeschaltet, abhängig vom Bivalenzpunkt oder Energie-Integral in C8 „Zusatzheizung 1“- nur ZH = Heizbetrieb nur durch Zusatzheizung, z. B. bei Notbetrieb"
r;wi,,BackupModeHwc,Betrieb Warmwasser,,,,"6400",,,backmode,,,Speicher:- ohne ZH = ZH gesperrt- mit ZH = Zusatzheizung liefert das von der Wärmepumpe nicht leistbare Temperaturniveau (> 58 °C Speichertemperatur)- nur ZH = Warmwasser-Erwärmung nur durch Zusatzheizung.
r;ws,,BackupPowerCut,Backup_Power_Cut,,,,"8600",,,yesno,,,Diese Einstellung erlaubt den Zusatzheizerbetrieb während einer EVU Sperrzeit als Kompressorersatz. Nur anwendbar bei Elektroplan zwei.
# ***** Kompressor Einstellungen *****,,,,,,,,,,,,,
r;wi,,CompHysteresis,Komp. Hysterese,,,,"7D00",,,temp,,,Komp. Hysterese (nur bei Hydraulikplan 1 und 3):Zwangsweise Einschalten des Kompressors bei:Vorlauftemperatur IST < Vorlauftemperatur Soll - HystereseZwangsweise Ausschalten des Kompressors bei:Vorlauftemperatur IST > Vorlauftemperatur Soll + Hyst
r;wi,,CompIntegral,Energieint. Start,,,,"7C00",,,integral,,,Komp. Start in: Einstellen der Gradminuten bis Kompressorstart.
r;wi,,NumberCompStarts,Kompressor Start/h,,,,"7400",,,UCH,,,Komp. Start/h: max. mögliche Kompressorstarts pro Std. (3-5).
r;wi,,ReturnTempMax,Max. Rücklauf Temp HK,,,,"7300",,,temp,,,Max. Rücklauf-Temp. HK: Einstellen des Limits der Rücklauftemperatur für Kompressor betrieb. Diese Funktion soll einen unnötigen kurzzeitigen Kom pressorbetrieb vermeiden.
r;ws,,OverpressureThresholdAW,Hochdruck Abschaltgrenze,,,,"FA00",,,pressm,,,Hochdruck Abschaltgrenze bei Luft/Wasser Maschinen
# ***** Betriebsdaten *****,,,,,,,,,,,,,
r,,CompHoursHc,Compressor_Hours_CH,,,,"9B00",,,hoursum,,,operating hours of compressor for CH mode
r,,CompHours,Betrieb Kompress,,,,"9A00",,,hoursum,,,Bisherige Betriebsstunden des Kompressors.
r,,CompHoursHwc,Compressor_Hours_DHW,,,,"9C00",,,hoursum,,,operating hours of compressor for DHW mode
r,,CompStarts,Kompressor Starts,,,,"AA00",,,cntstarts,,,Anzahl der Kompressorstarts.
r,,BackupHours,Betrieb Zus.Heiz,,,,"A100",,,hoursum,,,Bisherige Betriebsstunden der Zusatzheizung.
r,,BackupHoursHc,Backup_Hours_CH,,,,"A200",,,hoursum,,,operating hours of Backup Heater for CH
r,,BackupHoursHwc,Backup_Hours_DHW,,,,"A300",,,hoursum,,,operating hours of Backup Heater for DHW
r,,BackupStarts,Zusatzhzg. Starts,,,,"B100",,,cntstarts,,,Anzahl der Starts der Zusatzheizung.
# ***** Installationsmenü *****,,,,,,,,,,,,,
r;ws,,ApplianceCode,Wärmepumpen Typ,,,,"4301",,,UCH,,,appliance code
r;ws,,ElectricWiringDiagram,Elektroplan,,,,"8700",,,UCH,,,represents the electrical installation (plan 1...3)
# ***** Diverse *****,,,,,,,,,,,,,
