# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,OMU00,OMU_no_serial,OMU00 252 118+218+222,,,,,,,,,,
*r,omu,,,,"E0","B509","0D",,,,,,
*w,omu,,,,"E0","B509","0E",,,,,,
*wi,omu#install,,,,"E0","B509","0E",,,,,,
# ##### Parameter und Informationen #####,,,,,,,,,,,,,
r,,ODUSourceInput,ODU_air_inlet,,,,"0500",,,tempsensor,,,air inlet sensor on ODU
r,,SourceInputSensorOffset,AirInletSensor_Offset,,,,"4A00",,,temp,,,calibration value for air inlet sensor
r,,Parametersandinformation_ODUSourceInput,ODU_brine_Warm,,,,"0600",,,tempsensor,,,brine_warm sensor on ODU
r,,Parametersandinformation_SourceInputSensorOffset,Brine_warmSensor_Offset,,,,"4B00",,,temp,,,calibration value for brine sensor
r,,FanSpeedIs,Fan_Speed_Is,,,,"3900",,,UCH,-10,/min,actual fan speed
r,,FanIsRunning,FanIsRunning,,,,"3B00",,,yesno,,,fan started successful
r,,DeiceRequest,DeiceRequest,,,,"1B00",,,yesno,,,defrosting requested
r;wi,,ManualDeiceRequest,ManualDeiceRequest,,,,"1A00",,,yesno,,,start manual defrosting
r,,DeicingActive,DeicingActive,,,,"2C00",,,yesno,,,defrosting is active
r,,defroster,defroster,,,,"1100",,,onoff,,,defroster is running
r,,CleaningRequest,CleaningRequest,,,,"2D00",,,yesno,,,problems in air flow detected
r,,DeiceError,DeiceError,,,,"1C00",,,yesno,,,timeout while defrost process
r,,PollutionDetect,PollutionDetect,,,,"1D00",,,yesno,,,unusual low brine temperaure at high air inlet temperature
r,,FanError,FanError,,,,"2E00",,,yesno,,,fan did not start
r,,STBError,STBError,,,,"2F00",,,yesno,,,defroster STB was interrupted
r,,STBOK,STB_OK,,,,"3800",,,yesno,,,STB is closed
r,,BadWeather,BadWeather,,,,"3100",,,yesno,,,too cold to start compressor
r,,HotSummer,HotSummer,,,,"3C00",,,yesno,,,air inlet too hot to run compressor
r,,NoiseReduction,NoiseReduction,,,,"3500",,,yesno,,,noise reduction is active
r,,DeiceTimeMax,MaxDeiceTime,,,,"4500",,,minutes2,,,"max. deicing time. By exceeding this value, message unsuccessful deicing is released"
r,,DeicePeriodMin,MinDeicePeriod,,,,"4600",,,minutes2,,,"Min. time between deicings. If time is shorter, something is wrong"
r;wi,,DeicefinishTemp,TDeicefinish,,,,"2900",,,temp,,,stops automatic defrosting process
r;wi,,DeltaTMax,MaxDeltaT,,,,"2800",,,temp,,,start defrost process when temperature difference between air and brine is above this setpoint
r;wi,,DeiceOnTemp,TDeiceOn,,,,"2700",,,temp,,,above this air temperature ice is quite unusual
r;wi,,OnlyFanTemp,TOnlyFan,,,,"2600",,,temp,,,"above this air temperature, the defroster is not used for defrosting, only fan"
r;wi,,DeiceWFanHyst,DeiceWFanHyst,,,,"2400",,,temp,,,remaining temperature difference to air inlet while fan defrosting
r;wi,,DeiceRequestHyst,DeiceRequestHyst,,,,"2300",,,temp,,,for stable frost detection
r,,SpeedTempMin,MinSpeedTemp,,,,"5800",,,temp,,,temperature for minimum speed
r,,SpeedTempMax,MaxSpeedTemp,,,,"5700",,,temp,,,temperature for maximum speed
r,,FanSpeedMax,MaxFanSpeed,,,,"3F00",,,percent0,,,"maximum allowed fan speed, set by look-up-table according to IDU power"
r;w,,NoiseReductionFactor,NoiseReductionFactor,,,,"4000",,,percent0,,,noise reduction factor to reduce fan speed
r;wi,,SourceMAXTemp,T_AirMAX,,,,"4300",,,temp,,,maximum allowed air inlet temperature
# ##### testing #####,,,,,,,,,,,,,
r,,ZustandOAWLogic,ZustandOAWLogic,,,,"2A00",,,UIN,,,"Output of ""OAW_control"" statemachine"
r,,IDUApplianceCode,IDU_appliance_code,,,,"3E00",,,UCH,,,"appliance code, copy from AMU"
r,,FrostProtection,FrostProtection,,,,"4100",,,temp,,,copy from AMU: frost protection
r,,CompActive,CompressorActive,,,,"1700",,,onoff,,,compressor is running or pre or post running
r,,CompDemand,CompressorDemand,,,,"3200",,,yesno,,,compressor wants to start or is running
r,,DeicingReleased,DeicingReleased,,,,"3300",,,yesno,,,compressor is not running
r,,SourceOK,BrineOK,,,,"3400",,,yesno,,,brine pressure is ok and pump is running
r,,FanMode,FanMode,,,,"3600",,,yesno,,,future use
r,,SyncHeaterDeicing,SyncHeaterDeicing,,,,"4700",,,yesno,,,synchronize heater while deicing
r,,SyncDeicing,SyncDeicing,,,,"4900",,,yesno,,,synchronize deicing process
r;wi,,OAWControlPumpPWM,OAW_Control_Pump_PWM,,,,"3700",,,UIN,,,reserved
r,,TestFan,Test_Fan,,,,"3A00",,,UCH,,,
r,,Pumin,Pumin,,,,"3D00",,,UCH,,,reserved
r,,RelayStarts,RelayCommutations,,,,"4D00",,,ULG,,,reserved
r,,CheckByte,CheckByte,,,,"5500",,,UCH,,,factory EOL test
r,,LEDBlinkProgram,LEDBlinkProgram,,,,"5600",,,UIN,,,LED error message
r,,TestHeater,Test_Heater,,,,"4800",,,UCH,,,reserved
r,,ODUReady,ODUReady,,,,"2B00",,,yesno,,,start-up test of ODU was successful
r,,SourceTempMin,T_AirMin,,,,"2500",,,temp,,,minimum allowed air temperature
r,,FanStartSpeed,FanStartSpeed,,,,"2200",,,UIN,,,reserved
r,,Free2,Free2,,,,"2100",,,UIN,,,reserved
r,,FanstableTime,FanstableTime,,,,"2000",,,UIN,,,reserved
r,,OffsetFanSpeed,OffsetFanSpeed,,,,"1F00",,,UIN,,,reserved
r,,RelaisOut,RelaisOut,,,,"1E00",,,onoff,,,reserved
r,,PumpSpeedControl,PumpSpeedControl,,,,"1900",,,UIN,,,reserved
r,,fanPWM,fan_PWM,,,,"1400",,,UIN,,,PWM value from hardware
# ##### statistics #####,,,,,,,,,,,,,
r,,FanRuntimeMinutes,FanRuntimeMinutes,,,,"4C00",,,ULG,,min,fan run time
r,,HeaterRuntimeMinutes,HeaterRuntimeMinutes,,,,"4E00",,,ULG,,min,defroster run time
r,,HeaterStarts,HeaterCommutations,,,,"4F00",,,ULG,,,defroster cycles
r,,DeicingStarts,DeicingCommutations,,,,"5100",,,ULG,,,deicing cycles
r,,DeicingRuntimeMinutes,DeicingRuntimeMinutes,,,,"5200",,,ULG,,min,deicing run time
r,,DeiceErrorStarts,DeiceErrorCommutations,,,,"5300",,,ULG,,,deice error cycles
r,,STBErrorStarts,STBErrorCommutations,,,,"5000",,,ULG,,,STB cycles
r,,PowerOnStarts,PowerOnCommutations,,,,"5400",,,ULG,,,power on cycles
