# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,RC C ,VR 90/3,0020040079 162 501+601+617+632,,,,,,,,,,
*r,rcc4,,,,"1C","B509","0D",,,,,,
*w,rcc4,,,,"1C","B509","0E",,,,,,
*wi,rcc4#install,,,,"1C","B509","0E",,,,,,
r;wi,,RoomTemp,Raum-IST-Temp. Korrektur [K],,,,"0000",,,tempsensor,,,
r;wi,,OutsideTemp,Aussentemperatusrsensor (AF),,,,"0100",,,tempsensor,,,
r;wi,,FlowTemp,Vorlauffühler 1,,,,"0200",,,tempsensor,,,
r;wi,,StatusDcf,,,,,"0300",,,dcfstate,,,
r;wi,,FlowTempDesired,Anlagensollwert [°C],,,,"0500",,,temp,,,
r;wi,,SolarYieldSum,Solarertrag,,,,"0600",,,UIN,,,
r;wi,,EditKeyPress,,,,,"0700",,,yesno,,,
r;wi,,MenuKeyPress,,,,,"0800",,,yesno,,,
r;wi,,IncrementalEncoder1Value,,,,,"0900",,,SCH,,,
r;wi,,IncrementalEncoder2Value,,,,,"0A00",,,SCH,,,
r;wi,,AdressSwitch,,,,,"0B00",,,UCH,,,
r;wi,,EmvTestActive,,,,,"0C00",,,yesno,,,
r;wi,,IsInHelpControl,,,,,"0D00",,,yesno,,,
r;wi,,IsInHoliday1,,,,,"0E00",,,yesno,,,
r;wi,,ChimneySweepSource,,,,,"0F00",,,UCH,,,
r;wi,,SavingTimeOffset,,,,,"1000",,,UCH,,,
r;wi,,StartEepromUpdate,,,,,"1100",,,yesno,,,
r;wi,,EepromUpdateActive,,,,,"1200",,,yesno,,,
r;wi,,FactoryTestActive,,,,,"1300",,,yesno,,,
r;wi,,DisablePowerSave,,,,,"1400",,,yesno,,,
r;wi,,EnableExtraDisplays,,,,,"1500",,,UCH,,,
r;wi,,ExtraDisplayNumber,,,,,"1600",,,UCH,,,
r;wi,,SystemType,,,,,"1700",,,UCH,,,
r;wi,,MixerDetected,,,,,"1800",,,UCH,,,
r;wi,,BoilerDetected,,,,,"1900",,,UCH,,,
r;wi,,RemoteDetected,,,,,"1A00",,,UCH,,,
r;wi,,AccessoriesDetected,,,,,"1B00",,,UCH,,,
r;wi,,BoilerCount,Anzahl Heizgeräte,,,,"1C00",,,UCH,,,
r;wi,,ScCount,,,,,"1D00",,,UCH,,,
r;wi,,HydraulicMap,Hydraulikplan,,,,"1E00",,,UCH,,,
r;wi,,RoomTempOffset,Raum-IST-Temp. Korrektur [K],,,,"1F00",,,temp,,,
r;wi,,RoomTempOffsetSelfWarming,Temp. Überhöhung [K],,,,"2000",,,temp,,,
r;wi,,OutsideTempOffset,Aussentemp. Korrektur [K],,,,"2100",,,temp,,,
r;wi,,RoomTempHoliday,Ferien Solltemperatur [°C],,,,"2200",,,temp,,,
r;wi,,BoilerSwitchHyster,Kesselschalthyst. [K],,,,"2300",,,temp,,,
r;wi,,BoilerTempMax,Maximaltemperatur [°C],,,,"2400",,,temp,,,
r;wi,,BoilerTempMin,Minimaltemperatur [°C],,,,"2500",,,temp,,,
r;wi,,LanguageVariant,Sprache,,,,"2600",,,UCH,,,
r;wi,,CountryVariant,,,,,"2700",,,UCH,,,
r;wi,,StartPowerVantage,,,,,"2800",,,UCH,,,
