# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,sol00,VR 68,sol 210 315+415,,,,,,,,,,
*r,hwc,,,,"A0","B509","0D",,,,,,
*w,hwc,,,,"A0","B509","0E",,,,,,
*wi,hwc#install,,,,"A0","B509","0E",,,,,,
# ##### DHW: Generell #####,,,,,,,,,,,,,
r;w,,TempDesired,Solltemperatur,,,,"1300",,,temp1,,,desired temperature (day temperature) for DHW
r;wi,,LegioStartDay,Starttag Legionellenschutz,,,,"4E00",,,UCH,0=Mon;1=Tue;2=Wed;3=Thu;4=Fri;5=Sat;6=Sun;7=off;8=Mon-Sun,,Start day for legio protection
r;wi,,LegioStartTime,Startzeit Legionellenschutz,,,,"4F00",,,UCH,,,Start time for legio protection
r,,SolarGainPressLowDelay,SolarGain_LP_Delay,,,,"5D00",,,yesno,,,Parameter: Set TRUE for LP delay in case of solar gain
# ##### DHW: Warmwasser #####,,,,,,,,,,,,,
r,,LegionellaPump,Legionellenpumpe,,,,"0700",,,onoff,,,Legionella pump
r;w,,OperatingMode,Betriebsart,,,,"0F00",,,mcmode,,,"Operating mode of DHW circuit (Auto=1,Manual,Off)"
r,,FlowTempDesired,Vorlaufsolltemperatur,,,,"1600",,,temp1,,,Vorlaufsolltemperatur berechnet von VR68
r,,HwcLegioProtectionMaxTimer,Legionellenschutz max. Timer,,,,"1A00",,,minutes0,,,Maximal time the legio protection state is hold (indepent of reached temperature)
r,,HwcLoadingRequest,Ladeanforderung,,,,"1C00",,,yesno,,,Flag: Loading request to the energy manager for DHW
r,,HwcLoadingEnabled,Ladefreigabe,,,,"1D00",,,yesno,,,Flag: Loading enabled by the energy manager
r,,ActualTempDesired,Akt. Solltemperatur,,,,"1F00",,,temp1,,,"Current tank setpoint. Depends on the programmed period and current time, operating mode …"
r,,HwcLegioTempOkTimer,Max. Rücklauftemperatur,,,,"2000",,,temp0,,,Time for which the temperature for legio protection should be hold
r;wi,,HwcLaggingTime,WP Nachlaufzeit WW,,,,"2200",,,minutes0,,,Lagging time after tank loading
r,,QuickVetoTempDesired,Quick Veto Sollwert,,,,"4600",,,temp,,,DHW setpoint in case of quick veto
r;w,,ManualStorageTempDesired,Manueller Speichersollwert,,,,"4700",,,temp,,,DHW setpoint in case of manual mode
r,,LegionellaProtectionActive,LegionellaProtectionActive,,,,"4900",,,yesno,,,Flag: Legionella protection active
r,,IsInQuickVeto,Quick Veto aktiv,,,,"4B00",,,yesno,,,Flag: Quick veto active
r;wi,,HwcTempOffset,T_DHWOffset,,,,"5000",,,desiredtemp,,,Offset between desired temperature and setpoint
r,,HwcLoadingHysteresis,Hystereses Speicherladung,,,,"5C00",,,desiredtemp,,,"Parameter: Hysteresis for DHW tank loading, if there is no special hysteresis (legionella, frost protection...)."
