# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,V6100,VR 61,V61 219 418+518,,,,,,,,,,
*r,v61,,,,"50","B509","0D",,,,,,
*w,v61,,,,"50","B509","0E",,,,,,
*wi,v61#install,,,,"50","B509","0E",,,,,,
# ##### Generell #####,,,,,,,,,,,,,
r,,Flow1Sensor,VF1 Sensor,,,,"0000",,,tempsensor,,,second heating circuit's flow temperature and sensorstate
r,,CirPump,Zirkulationspumpe,,,,"0100",,,onoff,,,control state of the circulation respectively loading pump (functionality of the pump depends on the configuration)
r,,Mixer1DutyCycle,Mischerstatus,,,,"0200",,,percents,,,"Geschwindigkeit mit der der Mischer verfahren wird (negative Werte = Mischer wird geschlossen, positive Werte = Mischer wird geöffnet)"
r,,Mixer1State,Status Mischer HK1,,,,"0300",,,UCH,,,mixer's state
r;w,,InternalOperatingMode,Interne Betriebsart,,,,"3100",,,UCH,0=off;1=manual;2=auto,,operation mode of the second heating circuit
r;w,,TempDesiredLow,Absenksollwert,,,,"1300",,,temp1,,,Absenktemperatur des 2. Heizkreises
r,,Hc2QuickVetoTemp,HK2 Quick Veto Temp.,,,,"3200",,,temp1,,,manual override setpoint of the second heating circuit
r,,Hc2QuickVetoActive,HK2 Quick Veto aktiv,,,,"3300",,,yesno,,,manual override of the second heating circuit enabled
r;w,,Hc2ManualOPRoomTempDesired,HK2 Raumsoll Manuell,,,,"3400",,,temp1,,,room setpoint in operation mode manual of the second heating circuit
# ##### extra #####,,,,,,,,,,,,,
r,,Hc2CircuitType,HK2 Kreisart,,,,"1E00",,,UCH,0=disabled;1=mixing;2=zone,,type of the second heating circuit
r;wi,,FlowTempMin,Min. Vorlauftemp.,,,,"1000",,,temp1,,,lower limitation of the second heating circuit's flow temperature
r;wi,,FlowTempMax,Max. Vorlauftemp.,,,,"1100",,,temp1,,,upper limitation of the second heating circuit's flow temperature
r;wi,,HeatingCurve,Heizkurve,,,,"1500",,,curve,,,heating curve of the second heating circuit
r,,HcFlowIncrease,Temperaturüberhöhung,,,,"1900",,,calibration1,,,excess temperature (flow temperature's setpoint is increased by this value to keep the mixing valve in its control range)
r,,BoilerCircuitPump,Brennerkreispumpe,,,,"2000",,,onoff,,,first heating circuit (burner circuit) pump's state
r,,FlowTempDesired,Vorlaufsolltemperatur,,,,"2200",,,temp1,,,flow temperature setpoint of the second heating circuit
r;wi,,Hc2RoomControlMode,HK2 Raumreglertyp,,,,"3500",,,UCH,0=off;1=modulating;2=thermostat,,room temperature modulation of the second heating circuit
r;wi,,Hc2SummerOffset,HK2 Offset Sommerbetrieb,,,,"3700",,,calibration1,,,"summer offset of the second heating circuit (if outside temperature > room setpoint + summer offset => heating is OFF; applies to comfort and night setback setpoint; no influence if room temperature modulation is set to ""thermostat"")"
r,,Hc2PumpAlPort,Rückmeldung HK2-P,,,,"4300",,,onoff,,,second heating circuit (mixer circuit) pump's state
r,,FloorPavingDryingTemp,Estrichtrocknungstemperatur,,,,"0400",,,temp1,,,flow temperature setpoint for the current day of floor pavement drying
r;wi,,FloorPavingDryingDay,Estrichtrocknung Tag,,,,"1A00",,,UCH,,,Aktiver Tag der estrichtrocknungsfunktion
# ##### Informationen für Entwickler #####,,,,,,,,,,,,,
r,,Time,Zeit,,,,"0900",,,time,,,Aktuelle Uhrzeit
r,,Date,Datum,,,,"0A00",,,date,,,Aktuelles Datum
r,,Weekday,Wochentag,,,,"0B00",,,bday,,,Aktueller Wochentag
r,,HcPreHeatingActive,Voraufheizung aktiv,,,,"2A00",,,UCH,,,bit-array where a set bit indicates that preheating is active for the corresponding heating circuit
r,,ActualTempDesired,Akt. Solltemperatur,,,,"2F00",,,temp1,,,current setpoint for the second heating circuit considering all basic conditions passed to the control algorithms
r,,MonitorEEpromInkonsiNumber,MonitorEEpromInkonsiNumber,,,,"4600",,,HEX:8,,,identification of the last eight EEPROM inconsistencies
r,,Hc1PumpKol1PP1Port,Hk1P_Kol1P_P1_Port,,,,"4200",,,onoff,,,first heating circuit pump's state
r,,Hc2aLegPumpP2Port,Rückmeldung P2,,,,"4400",,,onoff,,,port: open mixer
r,,Hc2zPort,Hk2z_Port,,,,"4500",,,onoff,,,port: close mixer
r,,DisplayedRoomTempDesired,DisplayedRoomSetpoint,,,,"4700",,,temp,,,
r,,Hc2pDemand,Hk2pDemand,,,,"4800",,,onoff,,,
r,,SfState,SfState,,,,"4900",,,UCH,,,"0 = _SfsNone, 1 = _SfsForceConsumption, 2 = _SfsFloorPavingDrying, 3 = _SfsSummerSwitchOff, 4 =_SfsTankFilling"
r,,FrostProtState,FrostProtState,,,,"4A00",,,UCH,,,"0 = _Fps_NoFrost, 1 = _Fps_Delay, 2 = _Fps_PumpKick, 3 = _Fps_KickOff, 4 = _Fps_Active"
r,,PsTempDesired,PsSetpoint,,,,"4B00",,,temp,,,
