# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,PMS00,VPM 20 S,0020071488 243,,,,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,,,,
*w,,,,,,"B509","0E",,,,,,,,,
*wi,#install,,,,,"B509","0E",,,,,,,,,
# ##### Generell #####,,,,,,,,,,,,,,,,
r,,Ntc1RawData,NTC 1 Rohdaten,,,,"0000",,,UIN,,,,,,
r,,Ntc2RawData,NTC 2 Rohdaten,,,,"0100",,,UIN,,,,,,
r,,Ntc3RawData,NTC 3 Rohdaten,,,,"0200",,,UIN,,,,,,
r,,Ntc4RawData,NTC 4 Rohdaten,,,,"0300",,,UIN,,,,,,
r,,Ntc1Sensor,NTC 1 Sensor,,,,"0500",,,tempsensor,,,Temperature in solar flow (from solar collector),,,
r,,Ntc2Sensor,NTC 2 Sensor,,,,"0600",,,tempsensor,,,Temperature in solar back flow (to solar collector),,,
r,,Ntc3Sensor,NTC 3 Sensor,,,,"0700",,,tempsensor,,,Temperature in buffer flow (to buffer),,,
r,,Ntc4Sensor,NTC 4 Sensor,,,,"0800",,,tempsensor,,,Temperature in buffer back flow (from buffer),,,
r;wi,,SolarPumpRelay,Relais Solarpumpe,,,,"0F00",,,onoff,,,Solar pump relay: 0: OFF; 1: ON,,,
r;wi,,SolarPumpPower,Leistung Solarpumpe,,,,"1000",,,power,,,Performance of solar pump: (7 - 100 %),,,
r;wi,,BufferPumpPower,Leistung Pufferpumpe,,,,"1100",,,power,,,Performance of buffer pump: (15 - 100%),,,
r,,MonitorMatlabLast5minSolarAverage,MonitorMatlab_Last5minSolarAverage,,,,"1700",,,SIN,,,,,,
r,,CurrentSolarTempDesired,Solar Zieltemperatur,,,,"1800",,,UIN,,°C,Temperature target in solar flow at sensor Ntc1Sensor,,,
r,,CurrentVPMLoadingMode,Aktuelle Betriebsart,,,,"1900",,,UCH,,,1 = Warmwasser (autonom)2 = Heizung (autonom)3 = +10K (autonom)4 = Schwimmbad5 = Warmwasser6 = Heizung7 = +10K,,,
r,,RunTimePump1Minutes,Laufzeit Pumpe 1,,,,"1A00",,,minutes0,,,Laufzeit der Solarpumpe (Minuten Anteil),,,
r,,RunTimePump1Hours,Laufzeit Pumpe 1,,,,"1B00",,,hoursum2,,,Laufzeit der Solarpumpe (Stunden Anteil),,,
r,,ExternalHwcRequest,Externe Warmwasseranforderung,,,,"1C00",,,onoff,,,0: No request; 1: Request,,,
r,,ExternalHcRequest,Externe Heizungsanforderung,,,,"1D00",,,onoff,,,0: No request; 1: Request,,,
r,,ExternalHwcTempDesired,Externer Warmwassersollwert,,,,"1E00",,,desiredtemp,,,Requested temperature for DHW,,,
r,,ExternalHcTempDesired,Externer Heizungssollwert,,,,"1F00",,,desiredtemp,,,Requested temperature for CH,,,
r,,CurrentASCStateforExternals,CurrentASCStateforExternals,,,,"2000",,,UCH,,,1:OFF 2: Proofing 3:DHWLoading 4:CHLoading 5:Overtemperature,,,
r,,CurrentASCStateforASI,CurrentASCStateforASI,,,,"2100",,,UCH,,,1: Standby 2:Proofing 3:StorageLoading 4:Error_System_blocked,,,
r,,DateAndTimeIsSet,DateAndTimeIsSet,,,,"2200",,,onoff,,,0: Date and Time is not set; 1: Date and Time is set,,,
r;wi,,Time,Zeit,,,,"2300",,,time,,,,,,
r;wi,,Date,Datum,,,,"2400",,,date,,,,,,
r,,BufferControlPress,P_BufferControl,,,,"2500",,,SIN,,,,,,
r,,IBufferControl,I_BufferControl,,,,"2600",,,SIN,,,,,,
r,,DBufferControl,D_BufferControl,,,,"2700",,,SIN,,,,,,
r,,SolarControlPress,P_SolarControl,,,,"2800",,,SIN,,,,,,
r,,ISolarControl,I_SolarControl,,,,"2900",,,SIN,,,,,,
r,,DSolarControl,D_SolarControl,,,,"2A00",,,SIN,,,,,,
r,,MonitorBufferPIDValue,MonitorBufferPIDValue,,,,"2B00",,,SIN,,,,,,
r,,MonitorSolarPIDValue,MonitorSolarPIDValue,,,,"2C00",,,SIN,,,,,,
r,,FlowSensorFrequency,FlowSensorFrequency,,,,"2D00",,,UIN,,,,,,
r,,CurrentFlow,Volumenstrom,,,,"2E00",,,UIN,,ml / min,Flow thru buffer circuit if loading the storage,,,
r,,Variante,Variante,,,,"3000",,,UCH,,,1: VMS 302: VPM 20 S3: VPM 60 S,,,
r,,CurrentSystemMode,Aktueller Systemmodus,,,,"3300",,,UCH,,,1 : Autonomer Modus3 : Regler Modus,,,
r,,InternalHwcTempDesired,InternalDHWSetpoint,,,,"3500",,,UCH,,,Temperature target for DHW loading if solar module is in stand alone appliccation without external control,,,
r,,InternalHcTempDesired,InternalCHSetpoint,,,,"3600",,,UCH,,,Temperature target for CW loading if solar module is in stand alone appliccation without external control,,,
r,,ASIDetected,ASIDetected,,,,"3800",,,onoff,,,,,,
r;wi,,CountryZone,Land,,,,"3900",,,UCH,,,Standort der für den Sonnenkalender herangezogen wird. Siehe Anleitung,,,
r,,RequestForExternalDateTimeSetting,Status Datum/Uhrzeit,,,,"3A00",,,onoff,,,0: Time and Date is set; 1: Time and Date is not set,,,
r;wi,,SolarYieldCurrentDay,Heutiger Solarertrag,,,,"3B00",,,energy,,,Accumulated solar gain from 00:00 to 24:00 if time is set,,,
r,,PowerOnCounter,Netz ein Zähler,,,,"3F00",,,UIN,,,,,,
r,,RTCLowVoltageCounter,RTCLowVoltageCounter,,,,"4000",,,UIN,,,,,,
r,,ForceStartSolarPumpKick,Pumpenkick erzwingen,,,,"4700",,,onoff,,,Startet die Kollektorpumpe für maximal 5 Minuten um die Kollektortemperatur zu überprüfen.0 = aus1 = ein,,,
r,,MonitorMatlabState,MonitorMatlabState,,,,"4800",,,UCH,,,main states: 201: Waiting; 209: Loading; 41: Night Modus,,,
r,,CurrentBufferTempDesired,Puffer Zieltemperatur,,,,"4900",,,SIN,,,Zieltemperatur für den Pufferkreis am Ntc 3 Sensor,,,
r,,RunTimeBufferPumpMinutes,Laufzeit Pufferpumpe,,,,"4B00",,,minutes0,,,Laufzeit der Pufferpumpe (Minuten Anteil),,,
