# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment

r,hmu,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
# START Unbekannte Meldungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# r,hmu,unknownMPoll60sB507h,,,08,B507,0900,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von CTLV2 an HMU,,,,,,,,,,,,,,,,,,
#r,hmu,unknownMPoll60sB511h,,,08,B511,00,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von CTLV2 an HMU,,,,,,,,,,,,,,,,,,

*r,,,,,,B51A,,,,IGN:1,,,,,,,,,,,,,,,,,,,,,
#r,,unknownPoll60sB51Ah2,,,08,,32,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownPoll60sB51Ah3,,,08,,33,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownPoll60sB51Ah4,,,08,,34,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownPoll60sB51Ah5,,,08,,35,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownPoll60sB51Ah6,,,08,,36,,,HEX:*,,,Unbekannte Abfrage alle 60 Sekunden von VWZ an HMU,,,,,,,,,,,,,,,,,,

*r,,,,,,B51A,04,,,,,,,,,,,,,,,,,,,,,,,,
#r,,unknownB51Ah2634,,,08,,2634,,,HEX:*,,,Unbekannte Abfrage an VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownB51Ah0532,,,08,,0532,,,HEX:*,,,Unbekannte Abfrage an VWZ an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownB513h0528,,,08,B513,0528,,,HEX:*,,,Unbekannte Abfrage an CTLV2 an HMU,,,,,,,,,,,,,,,,,,
#r,,unknownB509h2802,,,08,B509,2802,,,HEX:*,,,Unbekannte Abfrage an VWZ an HMU,,,,,,,,,,,,,,,,,,
# END Unbekannte Meldungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

r,,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
r,,HeatpumpLoadSensor,,,08,B507,0931,,,percent1,,,Wärmepumpen-Lastsensor (Prozent),,,,,,,,,,,,,,,,,,

# Values an VWZ AI Plus Test Menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#(Test der WP-Eintrags Installateur-Ebene/Test Menue/Sensor-Test),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,B514,05,,,IGN:2,,,,,,,,,,,,,,,,,,,,,
# alle Nachrichten entfernt die ffff erzeugten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

r,,BuildingCircuitPumpPower,,,,,0103FFFF,,,percent3,,percent,Pumpenleistung des Gebäudekreislaufs (Prozent des Maximums),,,,,,,,,,,,,,,,,,
r,,ThreeWayValveStatus,,,,,0203FFFF,,,UCH,0=Heizung;1=Warmwasser,,Dreiwegeventil (Heizung/Wasser),,,,,,,,,,,,,,,,,,
r,,Fan1Sensor,,,,,1103FFFF,,,percent3,,,Gebläsedrehzahl 1 (Prozent der max.),,,,,,,,,,,,,,,,,,
r,,Fan2Sensor,,,,,1203FFFF,,,percent3,,,Gebläsedrehzahl 2 (Prozent der max.),,,,,,,,,,,,,,,,,,
r,,CondensateTrayHeaterStatus,,,,,1303FFFF,,,onoff,,,Kondensatwannenheizung (ein/aus)),,,,,,,,,,,,,,,,,,
r,,4PortValveStatus,,,,,1403FFFF,,,onoff,,,Vierwegeventil (ein/aus)),,,,,,,,,,,,,,,,,,
r,,ElectronicExpansionValveSensor,,,,,1503FFFF,,,percent3,,,Position EEV (Prozent),,,,,,,,,,,,,,,,,,
r,,HeatingCoilCompressorStatus,,,,,1703FFFF,,,onoff,,,Heizschlangenkompressor (an/aus),,,,,,,,,,,,,,,,,,
r,,SupplyTemp,,,,,2803FFFF,,,temps2,10,°C,Vorlauftemperatur (°C),,,,,,,,,,,,,,,,,,
r,,ReturnTemp,,,,,2903FFFF,,,temps2,10,°C,Rücklauftemperatur (°C),,,,,,,,,,,,,,,,,,
r,,HeatingWaterPressure,,,,,2A03FFFF,,,UIN,10,bar,HeizungswasserDruck (bar),,,,,,,,,,,,,,,,,,
r,,HeatingFlowSensor,,,,,2B03FFFF,,,UIN,,l/h,Aktueller Heizwasserdurchsatz (liter/hour),,,,,,,,,,,,,,,,,,
r,,WarmWaterTemp,,,,,2C03FFFF,,,temps2,10,°C,SWW Temperatur des Tanks (°C),,,,,,,,,,,,,,,,,,
r,,MaximumUnderfloorHeatingS20Status,,,,,2E03FFFF,,,UCH,0=offen;1=geschlossen,,,,,,,,,,,,,,,,,,,,
r,,AirInletTemp,,,,,3003FFFF,,,temps2,10,°C,Lufteintrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,CompressorOutletTemp,,,,,3703FFFF,,,temps2,10,°C,Verdichter-Austrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,CompressorInletTemp,,,,,3803FFFF,,,temps2,10,°C,Verdichter-Eintrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,ElectronicExpansionValveOutletTemp,,,,,3903FFFF,,,temps2,10,°C,ElektronischesExpansionsventilAustrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,CondensorOutletTemp,,,,,3B03FFFF,,,temps2,10,°C,Verflüssiger-Austrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,HighPressureSensor,,,,,3F03FFFF,,,UIN,10,bar,Hoher Druck (bar),,,,,,,,,,,,,,,,,,
r,,LowPressureSensor,,,,,4003FFFF,,,UIN,10,bar,Niedriger Druck (bar),,,,,,,,,,,,,,,,,,
r,,HighPressureStatus,,,,,4303FFFF,,,UCH,0=offen;1=geschlossen,,Hochdruckschalter (offen/geschlossen),,,,,,,,,,,,,,,,,,
r,,OutdoorTemp,,,,,4503FFFF,,,temps2,10,°C,Außentemperatur (°C),,,,,,,,,,,,,,,,,,
r,,SystemTemp,,,,,4603FFFF,,,temps2,10,°C,Temperatur des Systems (°C),,,,,,,,,,,,,,,,,,
r,,DCFSignalStatus,,,,,4703FFFF,,,dcfstate,,,DCF Signalstaerke,,,,,,,,,,,,,,,,,,
r,,EnergySupplyCompanyBlockingS21Status,,,,,4803FFFF,,,UCH,0=offen;1=geschlossen,,,,,,,,,,,,,,,,,,,,
r,,EvaporationTemp,,,,,5503FFFF,,,temps2,10,°C,Verdampfungstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,CondensationTemp,,,,,5603FFFF,,,temps2,10,°C,Kondenswassertemperatur (°C),,,,,,,,,,,,,,,,,,
r,,OverheatingTargetTemp,,,,,5703FFFF,,,temps2,10,K,Ueberheizung Zieltemperatur (K),,,,,,,,,,,,,,,,,,
r,,OverheatingActualTemp,,,,,5803FFFF,,,temps2,10,K,Ueberheizung Isttemperatur (K),,,,,,,,,,,,,,,,,,
r,,SubcoolingTargetTemp,,,,,5903FFFF,,,temps2,10,K,Unterkuehlung Zieltemperatur (K),,,,,,,,,,,,,,,,,,
