# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,70000,CTLV2,700 110,,,,,,,,,,

# ##### Generell #####,,,,,,,,,,,,,
*r,,,,,,B524,02000000,,,IGN:4,,,
*w,,,,,,B524,02010000,,,,,,
*wi,#install,,,,,B524,02010000,,,,,,
r;w,,ContinuosHeatingMode,Durchgehendes Heizen,,,,0200,,,tempv,,,"-26=off, when the outside temperature falls below this threshold temperature the continuous heating function is started (off <=> function is disabled)"
r;w,,FrostOverRideMode,Frostschutz-Verzoegerung,,,,0300,,,hoursum2,,,delay before frost protection is activated
r;w,,ManualCoolingMode,Manuell kuehlen,,,,0600,,,UIN,,,"Anzahl Tage manueller Kuehlung (max. 99, 0=aus, Temperatur via z1CoolingTemp)"
r;wi,,GlobalSystemOffMode,Global System Aus,,,,0700,,,yesno,,,Zum Ausschalten des Systems
r;w,,WarmwasserParallelLoadingMode,Parallele Ladung Warmwasserkreis,,,,0A00,,,onoff,,,Heizbetrieb und Speicherladung parallel
r;w,,MaxRoomHumiditySensor,maxRoomHumidity,,,,0E00,,,UIN,,,maximale Raumluftfeuchte
r;w,,AdaptHeatCurve,Adaptive Heizkurve,,,,1400,,,yesno,,,automatic correction of configured heat curve
r;w,,MaxCylinderChargeTimeMode,maximale Speicherladezeit,,,,1700,,,minutes2,,,maximum cylinder charging time
r;w,,WarmwasserLockTimeStatusMode,lockTimeWarmwasser,,,,1800,,,minutes2,,,Sperrzeit WW-Bedarf
r;w,,PumpAdditionalTimeMode,pumpAdditionalTime,,,,1B00,,,minutes2,,,Ladepumpe Nachlaufzeit
r;w,,CylinderChargeHystMode,hystCylinderCharge,,,,2700,,,calibrationv,,,Hysterese Speicherladung
r;w,,CylinderChargeOffsetMode,offsetCylinderCharge,,,,2900,,,calibrationv,,,Speicherlad. Offset
r;w,,MaintenanceDate,naechste Wartung,,,,2C00,,,date,,,Datum naechste Wartung
r;w,,Date,Datum,,,,3400,,,date,,,Aktuelles Datum
r;w,,Time,Zeit,,,,3500,,,HTI,,,Aktuelle Uhrzeit
r;w,,HydraulicSchemeMode,Systemschema,,,,3600,,,UIN,,,Systemschema
#r;w,,Unknown38,(konstant 21),,,,3800,,,tempv,,,unknown value
r,,WaterPressureSensor,Wasserdruck,,,,3900,,,pressv,,,Wasserdruck
r;w,,SolarYieldTotal,TotalSolarYield,,,,3D00,,,energy4,,,Solarertrag gesamt
r;w,,YieldTotal,TotalEnvironmentalYield,,,,3E00,,,energy4,,,Umweltertrag gesamt
r;w,,VentilationDayMode,SollLueftung,,,,4200,,,UIN,,,Lueftergeschwindigkeit tagsueber
r;w,,VentilationNightMode,Absenklueftung,,,,4300,,,UIN,,,Lueftergeschwindigkeit nachts
r;w,,WarmwasserMaxFlowTempDesired,WarmwasserMaxFlowTempDesired,,,,4600,,,tempv,,,maximum flow temperature setpoint of Warmwasser
r,,SystemFlowTemp,Systemvorlauf,,,,4B00,,,tempv,,,Systemvorlauf
r;w,,MultiRelaySettingStatus,Multifunktionsausgang,,,,4D00,,,mamode,,,
r;w,,PrFuelSummeHeizungThisMonth,ThisMonthsFConSummeptionHeizung,,,,4E00,,,energy4,,,Aktueller Monat Brennstoffverbrauch Heizung
r;w,,PrEnergySummeHeizungThisMonth,ThisMonthsEConSummeptionHeizung,,,,4F00,,,energy4,,,Aktueller Monat Stromverbrauch Heizung
r;w,,PrEnergySummeWarmwasserThisMonth,ThisMonthsEConSummeptionWarmwasser,,,,5000,,,energy4,,,Aktueller Monat Stromverbrauch Warmwasser
r;w,,PrFuelSummeWarmwasserThisMonth,ThisMonthsFConSummeptionWarmwasser,,,,5100,,,energy4,,,Aktueller Monat Brennstoffverbrauch Warmwasser
r;w,,PrFuelSummeHeizungLastMonth,LastMonthsFConSummeptionHeizung,,,,5200,,,energy4,,,Letzter Monat Brennstoffverbrauch Heizung
r;w,,PrEnergySummeHeizungLastMonth,LastMonthsEConSummeptionHeizung,,,,5300,,,energy4,,,Letzter Monat Stromverbrauch Heizung
r;w,,PrEnergySummeWarmwasserLastMonth,LastMonthsEConSummeptionWarmwasser,,,,5400,,,energy4,,,Letzter Monat Stromverbrauch Warmwasser
r;w,,PrFuelSummeWarmwasserLastMonth,LastMonthsFConSummeptionWarmwasser,,,,5500,,,energy4,,,Letzter Monat Brennstoffverbrauch Warmwasser
r;w,,PrFuelSummeHeizung,TotalFConSummeptionHeizung,,,,5600,,,energy4,,,Brennstoffverbrauch Heizung gesamt
r;w,,PrEnergySummeHeizung,TotalEConSummeptionHeizung,,,,5700,,,energy4,,,Stromverbrauch Heizung gesamt
r;w,,PrEnergySummeWarmwasser,TotalEConSummeptionWarmwasser,,,,5800,,,energy4,,,Stromverbrauch Warmwasser gesamt
r;w,,PrFuelSummeWarmwasser,TotalFConSummeptionWarmwasser,,,,5900,,,energy4,,,Brennstoffverbrauch Warmwasser gesamt
r;w,,PrEnergySumme,TotalEConSummeption,,,,5C00,,,energy4,,,Dieses Jahr Stromverbrauch gesamt
r;w,,PrFuelSumme,TotalFConSummeption,,,,5D00,,,energy4,,,Dieses Jahr Brennstoffverbrauch gesamt
#r;w,,Unknown67,(VR70 konfig 1),,,,6700,,,tempv,,,unknown value
#r;w,,Unknown68,(VR70 konfig 1),,,,6800,,,tempv,,,unknown value
r;w,,OpModeEffectMode,OpModeEffect,,,,6900,,,zonesel,,,selection which heating circuit is affected by changing parameters in the basic display
r;w,,Installer1,Installationsfirma Teil 1,,,,6C00,,,shortname,,,installer's name
r;w,,Installer2,Installationsfirma Teil 2,,,,6D00,,,shortname,,,installer's name
r;w,,PhoneNumber1,Telefonnummer,,,,6F00,,,shortphone,,,installer's telephone number
r;w,,PhoneNumber2,Telefonnummer,,,,7000,,,shortphone,,,installer's telephone number
r;w,,HolidayStartPeriod,HolidayStartPeriod,,,,7100,,,hfrom,,,start date of holidays
r;w,,HolidayEndPeriod,HolidayEndPeriod,,,,7200,,,hto,,,end date of holidays
r,,DisplayedOutsideTemp,Aussentemperatur,,,,7300,,,tempv,,,Aussentemperatur
r;w,,SFMode,SFMode,,,,7400,,,sfmode,,,
r;w,,KeyCodeforConfigMenu,Passwort fuer das Konfigurationsmenue,,,,7600,,,UIN,,,000-999; code for the installer's menues
r;w,,OpMode,OpMode,,,,7b00,,,opmode,,,operation mode of all/configured zone(s) matching OpModeEffect
r;w,,OpModeCooling,,,,,7c00,,,opmode,,,Betriebsart fuer Kuehlung aller/konfigurierter Zonen
r;w,,OpModeVentilation,,,,,1600,,,opmode,,,Betriebsart fuer Lueftung aller/konfigurierter Zonen
r;w,,HolidayTemp,HolidayTemp,,,,8200,,,tempv,,,holiday setpoint
r;w,,BankHolidayStartPeriod,BankHolidayStartPeriod,,,,8300,,,hfrom,,,start date of bank holidays
r;w,,BankHolidayEndPeriod,BankHolidayEndPeriod,,,,8400,,,hto,,,end date of bank holidays
#r;w,,Unknown85,(konstant 0/inf),,,,8500,,,tempv,,,unknown value
r;w,,OutsideTempAvg,mittlere Aussentemperatur,,,,9500,,,tempv,,,gerundete mittlere Aussentemperatur (alle 3h aktualisiert)
r,,MaintenanceDueStatus,Wartung faellig,,,,9600,,,yesno,,,zeigt an ob die Wartung faellig ist
r,,WarmwasserStorageTempTop,"Temp.fuehler WW, oben",,,,9D00,,,tempv,,,"Temp.fuehler WW, oben"
r,,WarmwasserStorageTempBottom,"Temp.fuehler WW, unten",,,,9E00,,,tempv,,,"Temp.fuehler WW, unten"
r,,HeizungStorageTempTop,"Temp.fuehler Hz, oben",,,,9F00,,,tempv,,,"Temp.fuehler Hz, oben"
r,,HeizungStorageTempBottom,"Temp.fuehler Hz, unten",,,,A000,,,tempv,,,"Temp.fuehler Hz, unten"

# ##### Warmwasserkreis #####,,,,,,,,,,,,,
*r,,,,,,B524,02000100,,,IGN:4,,,
*w,,,,,,B524,02010100,,,,,,
r;w,,WarmwasserOpMode,WarmwasserOpMode,,,,0300,,,opmode,,,operation mode of Warmwasser
r;w,,WarmwasserTempDesired,gewuenschte Temperatur Warmwasserkreis,,,,0400,,,tempv,,,setpoint of domestic hot water circuit
r,,WarmwasserStorageTemp,WarmwasserStorageTemp,,,,0500,,,tempv,,,Speicheristtemperatur
r,,WarmwasserFlowTemp,WarmwasserFlowTemp,,,,0800,,,tempv,,,desired flow temp for Warmwasser
r;w,,WarmwasserHolidayStartPeriod,WarmwasserHolidayStartPeriod,,,,0900,,,hfrom,,,start date of holidays
r;w,,WarmwasserHolidayEndPeriod,WarmwasserHolidayEndPeriod,,,,0A00,,,hto,,,end date of holidays
r;w,,WarmwasserBankHolidayStartPeriod,WarmwasserHolidayStartPeriod,,,,0B00,,,hfrom,,,start date of bank holidays
r;w,,WarmwasserBankHolidayEndPeriod,WarmwasserHolidayEndPeriod,,,,0C00,,,hto,,,end date of bank holidays
r;w,,WarmwasserSFMode,WarmwasserSFMode,,,,0D00,,,sfmode,,,

# ##### Heizkreis 1 #####,,,,,,,,,,,,,
*r,,,,,,B524,02000200,,,IGN:4,,,
*w,,,,,,B524,02010200,,,,,,
r,,Hc1CircuitType,CircuitType Heizkreis 1,,,,0200,,,mctype;IGN:1,,,
#r;w,,Hc1Unknown04,(konstant 30) Temperatur Heizkreis 1,,,,0400,,,tempv,,,unknown value for Hc1
r,,Hc1ActualFlowTempDesired,ActualFlowTempDesired Heizkreis 1,,,,0700,,,tempv,,,current flow temperature setpoint of Hc1
r,,Hc1FlowTemp,FlowTemp Heizkreis 1,,,,0800,,,tempv,,,current flow temperature of Hc1
#r;w,,Hc1Unknown09,(konstant 60) Temperatur,,,,0900,,,tempv,,,unknown value for Hc1
r;w,,Hc1ExcessTemp,ExcessTemp Heizkreis 1,,,,0B00,,,calibrationv,,,excess temperature of Hc1 (flow temperature's setpoint is increased by this value to keep the mixing valve in its control range)
#r;w,,Hc1Unknown0c,(konstant 65) Temperatur Heizkreis 1,,,,0C00,,,tempv,,,unknown value for Hc1
#r;w,,Hc1Unknown0d,(konstant 65) Temperatur Heizkreis 1,,,,0D00,,,tempv,,,unknown value for Hc1
r;w,,Hc1AutoOffMode,AutoOffMode Heizkreis 1,,,,0E00,,,offmode,,,operation of Hc1 during the lowering time; no influence if room temperature modulation is set to thermostat
r;w,,Hc1HeatCurve,Heizkurve Heizkreis 1,,,,0F00,,,EXP,,,heating curve of Hc1
r;w,,Hc1MaxFlowTempDesired,MaxFlowTempDesired Heizkreis 1,,,,1000,,,tempv,,,maximum flow temperature setpoint (end emphasis) of Hc1
#r;w,,Hc1Unknown11,(konstant 20) Temperatur Heizkreis 1,,,,1100,,,tempv,,,unknown value for Hc1
r;w,,Hc1MinFlowTempDesired,MinFlowTempDesired Heizkreis 1,,,,1200,,,tempv,,,minimum flow temperature setpoint (end emphasis) of Hc1
r;w,,Hc1SummerTempLimit,AT-Abschaltgrenze Heizkreis 1,,,,1400,,,tempv,,,if outside temperature > Summer limit => heating is OFF;applies to comfort and night setback setpoint
r;w,,Hc1RoomTempSwitchOn,RoomTempSwitchOn Heizkreis 1,,,,1500,,,rcmode,,,room temperature modulation of Hc1
