# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,UI,Bedienteil VRS 620/3,0020040141 162,,,,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,,,,
*w,,,,,,"B509","0E",,,,,,,,,
*wi,#install,,,,,"B509","0E",,,,,,,,,
# ##### Hauptdaten #####,,,,,,,,,,,,,,,,
r,,OutsideTemp,Aussentemperatur,,,,"0100",,,tempsensor,,,Außentemperatur,,,
r,,FlowTemp,Vorlauftemp. IST,,,,"0200",,,tempsensor,,,Systemtemperatur in der hydraulischen Weiche oder am gemeinsamen Vorlauf (VF1),,,
r,,SystemTempGradient,SystemTempGradient,,,,"8C00",,,temp,,,gradient of the system temperature (VF1),,,
r,,FlowTempDesired,Vorlauftemp. SOLL,,,,"0500",,,temp,,,Ermittelte Vorlaufsolltemperatur für das System,,,
r,,StateEM,Status Energiemanger,,,,"4B00",,,UCH,0=off;1=heat;2=water;3=wateroverrun,,Status des Energiemanagers,,,
r,,HydraulicMap,Hydraulikplan,,,,"1E00",,,UCH,,,Hydraulikplan. Dies ist nor eine Kopie des Wertes von der Grundleiterplatte. Bitte den Wert bei der Grundleiterplatte ändern. Ein Neustart des Systems muß danach erfolgen damit dieser Wert aktualisiert wird.,,,
r;w,,PreShutDownTime,Vorabschaltzeit,,,,"2D00",,,minutes0,,,,,,
r;w,,FrostOverRideTime,Frostschutz-Verzögerung,,,,"2E00",,,hours,,,,,,
r;w,,TempIncrease,Temperaturüberhöhung,,,,"2F00",,,temp,,,,,,
r;w,,ContinuousHeatingLimit,AT Durchheizen,,,,"6400",,,SCH,,,"-128=off, Unterhalb der hier eingestellten Temperatur wird die Nachtabsenkung unterdrückt. Die Kreise arbeiten mit dem eingestellten Tagsollwert weiter.",,,
# ##### Systemkomponenten #####,,,,,,,,,,,,,,,,
r,,MixerDetected,Erkannte VR60,,,,"1800",,,UCH,,,detected VR60 (bit counted),,,
r,,BoilerDetected,Entdeckte Buskoppler,,,,"1900",,,UCH,,,"detected bus coppler e.g. VR30,31,32 (bit counted)",,,
r,,RemoteDetected,Erkannte Fernbediengeräte,,,,"1A00",,,UCH,,,detected VR80 or VR90 (bit counted),,,
r,,ActoStorModulDetected,ActoStorModulDetected,,,,"5A00",,,UCH,,,detected VLR (bit counted),,,
r,,AscBigModulDetected,AscBigModulDetected,,,,"7F00",,,UCH,,,detected VPM-S (bit counted),,,
r,,AscSmallModulDetected,AscSmallModulDetected,,,,"8000",,,UCH,,,detected VMS (bit counted),,,
r,,WaterstationModulDetected,FwsModulDetected,,,,"8100",,,UCH,,,detected VPM-W (bit counted),,,
r,,BoilerCount,Anzahl Heizgeräte,,,,"1C00",,,UCH,,,active boiler in the system,,,
r;wi,,BoilerSwitchSteps,Kesselstufen,,,,"3500",,,UCH,,,Eingestellte Anzahl von Kesselstufen,,,
r,,SourceType,SourceType,,,,"4E00",,,UCH,0=noSystem;1=SSR;2=VRC;3=eSys;4=mixedSys,,"noSystem=0, SSR=1, VRC=2, eSys=3, mixedSys=4",,,
# ##### Reglerintern #####,,,,,,,,,,,,,,,,
r,,RoomTemp,Raumisttemp,,,,"0000",,,tempsensor,,,Raumtemperatur,,,
r;wi,,RoomTempOffset,Raumisttemp. Korrekturwert,,,,"1F00",,,temp,,,,,,
r,,RoomTempOffsetSelfWarming,Offset Eigenerwärmung,,,,"2000",,,temp,,,,,,
r;wi,,OutsideTempOffset,Außentemperatur-Abgleich,,,,"2100",,,temp,,,,,,
r;w,,RoomTempHoliday,Raumsollwert im Ferienbetrieb,,,,"2200",,,temp,,,,,,
r;w,,HolidayPeriod,Ferienzeitraum,,,,"4300",,,hfrom;hto;hfrom;hto,,,,,,
r;wi,,ServicePeriod,Wartung,,,,"2B00",,,date,,,,,,
r;wi,,PhoneNumberPart1,Telefonnummer Teil 1,,,,"4200",,,STR:9,,,,,,
r;wi,,PhoneNumberPart2,Telefonnummer Teil 2,,,,"4208",,,STR:9,,,,,,
r;wi,,KeyCodeforConfigMenu,Passwort für das Konfigurationsmenü,,,,"2C00",,,HEX:4,,,,,,
r;wi,,TempFailDetectTime,Temperaturfehlererkennung nach,,,,"3300",,,temp0,,,,,,
r;wi,,LcdContrastPwmValue,LCD Kontrast,,,,"3600",,,UCH,,,Displaykontrast,,,
r,,Time,Uhrzeit,,,,"5F00",,,time,,,,,,
r,,Day,Wochentag,,,,"6000",,,bday,,,,,,
r,,Date,Datum,,,,"6100",,,date,,,,,,
r;w,,SummerWinterTimeAdjust,Sommer/Winterzeit Umstellung,,,,"6700",,,onoff,,,,,,
r,,ClockSwitchSummerWinterDone,Umschaltung Sommer-Winterzeit erfolgt,,,,"6800",,,onoff,,,,,,
r,,InstallationCompleted,Installation abgeschlossen,,,,"6900",,,yesno,,,Installation assistant is done,,,
r,,DisplayType,DisplayTyp,,,,"8D00",,,UCH,,,"display misubishi=0x07, mtek=0x70",,,
r,,ScanPrevention,ScanPrevention,,,,"8400",,,onoff,,,cyclic scan are started,,,
# ##### Kaskadenparameter #####,,,,,,,,,,,,,,,,
r;wi,,BoilerSwitchHyster,Kesselschalthysterese,,,,"2300",,,temp,,,,,,
r;wi,,BoilerTempMax,Maximaltemperatur Wärmeerzeuger,,,,"2400",,,temp,,,,,,
r;wi,,BoilerTempMin,Minimaltemperatur Wärmeerzeuger,,,,"2500",,,temp,,,,,,
r;wi,,StartPowerVantage,Startleistung Warmwasser,,,,"2800",,,UCH,,,Startleistung für Speicherladung. Anzahl der Kesselstufen oder Anzahl der Heizgeräte (je nach System).,,,
r;wi,,SeparationShift,Trennschaltung,,,,"2A00",,,onoff,,,,,,
r;wi,,TurnOnDelay,Einschaltverzögerung,,,,"3000",,,UCH,,,,,,
r;wi,,TurnOffDelay,Ausschaltverzögerung,,,,"3100",,,UCH,,,,,,
r;wi,,BoilerSequence,Kesselfolgeumkehr,,,,"3200",,,onoff,,,Die Kesselfolgeumkehr prüft ob der Unterschied der Ansteuerstunden (nicht die echten Betriebsstunden) zwischen den Heizgeräten 100 Stunden überschreitet und sortiert die Geräte dann neu nach den Ansteuerstunden (Vorlaufsollwert > 20°C),,,
r;wi,,BoilerSequenceChangeTime,Mindestdifferenz für Kesslfolgeumkehr,,,,"3700",,,hours,,,Anzahl der Ansteuerstunden die überschritten sein müssen um eine Neuanordnung der Heizgeräte aus zu lösen. Defaultwert ist 100 Stunden,,,
r,,SequenceOfBoiler,"Aktuelle Kesselfolge wobei links das Gerät steht das als erstes angesteuert wird.Wenn nur ein Gerät an der an der Grundleiterplatte angeschlossen ist, wird es als Gerät 7 angezeigt",,,,"6600",,,HEX:8,,,row of sequence,,,
r,,BoilerHoursB1,Ansteuerstunden Gerät 1,,,,"4C00",,,hoursum,,,,,,
r,,BoilerHoursB2,Ansteuerstunden Gerät 2,,,,"4C08",,,hoursum,,,,,,
r,,BoilerHoursB3,Ansteuerstunden Gerät 3,,,,"4C10",,,hoursum,,,,,,
r,,BoilerHoursB4,Ansteuerstunden Gerät 4,,,,"4C18",,,hoursum,,,,,,
r,,BoilerHoursB5,Ansteuerstunden Gerät 5,,,,"4C20",,,hoursum,,,,,,
r,,BoilerHoursB6,Ansteuerstunden Gerät 6,,,,"4C28",,,hoursum,,,,,,
r,,BoilerHoursB7,Ansteuerstunden Gerät 7,,,,"4C30",,,hoursum,,,,,,
r,,BoilerHoursB8,Ansteuerstunden Gerät 8,,,,"4C38",,,hoursum,,,,,,
# ##### Energiemanager intern #####,,,,,,,,,,,,,,,,
r,,SystemModeStream1,SystemModeStream1,,,,"6E00",,,UCH,0=off;1=heat;2=cool;3=water;4=waterduringheat;5=waterduringcool,,"Off=0, Heating=1, Cooling=2, Dhw=3, DhwDuringCH=4, DhwDuringCooling=5",,,
r,,SystemModeStream2,SystemModeStream2,,,,"6F00",,,UCH,0=off;1=heat;2=cool;3=water;4=waterduringheat;5=waterduringcool,,"Off=0, Heating=1, Cooling=2, Dhw=3, DhwDuringCH=4, DhwDuringCooling=5",,,
r,,SystemModeStream3,SystemModeStream3,,,,"7000",,,UCH,0=off;1=heat;2=cool;3=water;4=waterduringheat;5=waterduringcool,,"Off=0, Heating=1, Cooling=2, Dhw=3, DhwDuringCH=4, DhwDuringCooling=5",,,
r,,SystemDemand1,SystemDemand1,,,,"8800",,,HEX:4,,,"Struct[TIte DesFlowTemp, Mode, CoolingReq]Mode: Off=0, Ch=1, Dhw=2, BoilerOverrun=3, BoilerPrerun=4CoolingReq: Off=0, On=1",,,
r,,HcForceMode,HcForceMode,,,,"7100",,,UCH,,,"ForceComsumDisable=0, ForceComsumNoHeating=1, ForceComsumMaxHeating=2",,,
r,,HwcRequestAsc,DhwRequestAsc,,,,"7200",,,onoff,,,,,,
r,,HcRequestAsc,ChRequestAsc,,,,"7300",,,onoff,,,,,,
r,,FlowTempDesiredAscHwc,FlowSetpointAscDhw,,,,"7400",,,temp,,,,,,
r,,FlowTempDesiredAscHc,FlowSetpointAscCh,,,,"7500",,,temp,,,,,,
r,,SolarLoadingDelayHwc,SolarLoadingDelay_Dhw,,,,"7600",,,minutes0,,,,,,
r,,SolarLoadingDelayHc,SolarLoadingDelay_Ch,,,,"8900",,,minutes0,,,,,,
r,,BufferFlowThresholdOn,BufferFlowThreshold_On,,,,"7700",,,temp,,,,,,
r,,BufferFlowThresholdOff,BufferFlowThreshold_Off,,,,"7800",,,temp,,,,,,
r,,OffsetFlowTempDesiredBufToBoiler,OffsetFlowSetpointBufToBoiler,,,,"7900",,,temp,,,,,,
r,,ASCStatus,ASC_Status,,,,"7A00",,,UCH,0=off;1=heat;2=water,,"ASC_OFF=0, ASC_CH=1, ASC_DHW=2",,,
r,,StorageSensorTop,TankSensorAbove,,,,"7B00",,,temp,,,,,,
r,,StorageSensorMiddle,TankSensorMittel,,,,"7C00",,,temp,,,,,,
r,,StorageSensorBottom,TankSensorBottom,,,,"7D00",,,temp,,,,,,
# ##### Ausgabewerte Heizgeräte #####,,,,,,,,,,,,,,,,
r,,FlowTempDesiredB1,VT Soll Heizgerät 1,,,,"4808",,,temp0,,,,,,
r,,FlowTempDesiredB2,VT Soll Heizgerät 2,,,,"4810",,,temp0,,,,,,
r,,FlowTempDesiredB3,VT Soll Heizgerät 3,,,,"4818",,,temp0,,,,,,
r,,FlowTempDesiredB4,VT Soll Heizgerät 4,,,,"4820",,,temp0,,,,,,
r,,FlowTempDesiredB5,VT Soll Heizgerät 5,,,,"4828",,,temp0,,,,,,
r,,FlowTempDesiredB6,VT Soll Heizgerät 6,,,,"4830",,,temp0,,,,,,
r,,FlowTempDesiredB7,VT Soll Heizgerät 7,,,,"4838",,,temp0,,,,,,
r,,FlowTempDesiredB8,VT Soll Heizgerät 8,,,,"4840",,,temp0,,,,,,
r,,DesiredDegreeB1,DesiredDegreeBoiler_1,,,,"4908",,,percent0,,,modulation in percent,,,
