# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,AMU Wärmepumpe,EHP00 172 Mixer,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*u,,,,,,"B509","29",,,IGN:2,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*[mixer],mc,CfgHeatSinkType,,,,1,,,,,,,
*[fix],mc,CfgHeatSinkType,,,,2,,,,,,,
*[SW],scan,,,SW,,,,,,,,,
# ##### MK: Parameter und Informationen #####,,,,,,,,,,,,,
r;w,,OperatingMode,Betriebsart,,,,"2B00",,,mcmode,,,"Betriebsmodus Heizen (Auto, Eco, Heizen, Absenken, Aus)"
r;wi,,CfgHeatSinkType,Kreis Typ,,,,"3C00",,,mctype,,,Einstellung des Typs für den Heizkreis.- Brennerkreis: Hydraulikplan 1 und 3.- Mischerkreis: Hydraulikplan 2 und 4.- Festwert: Fest eingestellte Vorlauf-Solltemperatur für Tag und für Nacht.
[mixer]r;w,,TempDesired,Raumsolltemperatur,,,,"3200",,,temp1,,,Raumsolltemperatur
[fix]r;w,,TempDesired,Festwert Tag,,,,"3200",,,temp1,,,Festwert Tag
[mixer]r;w,,TempDesiredLow,Absenktemperatur,,,,"3300",,,temp1,,,Absenktemperatur
[fix]r;w,,TempDesiredLow,Festwert Nacht,,,,"3300",,,temp1,,,Festwert Nacht
[mixer]r;w,,HeatingCurve,Heizkurve,,,,"3500",,,curve,,,Die Heizkurve stellt das Verhältnis zwischen Außentemperatur und Vorlaufsolltemperatur dar. Die Einstellung erfolgt für jeden Heizkreis separat.
r;w,,OtShutdownLimit,Außentemp. Abschaltgrenze,,,,"3600",,,desiredtemp,,,AT-Abschaltgrenze: Temperaturgrenze für Abschaltung des Heizbetriebs (Sommer-Funktion)
r;wi,,FlowTempMin,Min. Vorlauftemp.,,,,"3000",,,temp0,,,BMR:Minimum Flow Temperature for circuit
r;w;u,,FlowTempDesired,Vorlaufsolltemperatur,,,,"4600",,,temp1,,,BMR:flow temperature that is actually desired by circuit
r;wi,,FlowTempMax,Max. Vorlauftemp.,,,,"3100",,,temp0,,,BMR:Maximum Flow Temperature for circuit
r;wi,,HcMaxPreHeating,Max. Voraufheizung,,,,"3800",,,hours,,,"Um die Trägheit der Fußbodenheizung zu berücksichtigen, können Sie eine Voraufheizung vor Beginn der programmierten Heizzeit manuell einstellen"
[SW<=339]r;wi,,FloorProtectionLimit,Fußbodenschutz,,,,"7B01",,,desiredtemp,,,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.
[SW>=340]r,,FloorProtectionLimit,Fußbodenschutz,,,,"7B01",,,desiredtemp,,,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.
r;wi,,FloorPavingDryingDay,Estrichtrocknung Tag,,,,"3B00",,,UCH,,,"Sie können den Anfangstag für die Estrichtrocknung wählen, die Temperatur für die Vorlaufsolltemperatur wird automatisch gemäß Estrich trocknungsfunktion aufgerufen."
# ***** Nur für Kühlbetrieb *****,,,,,,,,,,,,,
[SW>=350]r;w,,CoolingOperatingModeHc2,CoolingOperatingMode_HK2,,,,"8C01",,,hwcmode,,,"Kühlungsbetriebsart: Verfügbare Einstellwerte:3=Auto, 1=An, 2= Aus"
[SW>=350]r;wi,,CoolingSupportedHc2,CoolingSupported_HK2,,,,"8601",,,yesno,,,Gibt an ob der entsprechende Heizkreis für den Kühlbetrieb freigegeben ist. HK2 Wert
[SW>=350]r,,Tot24hHc2,Tot_24h_HK2,,,,"8801",,,temp,,,24 Stunden Außentemperaturmittelwert. Heizkreisspezifischer Wert
[SW>=350]r;wi,,CoolingStartOffsetHc2,CoolingStartOffset_HK2,,,,"8701",,,temp1,,,Heizkreisspezifischer Offset auf die eingestellte AT-Abschaltgrenze zur Erzeugung einer Kühlanforderung. HK2 Wert.
[SW>=350]r,,TotAverageTimeHc2,Tot_AverageTime_HK2,,,,"8901",,,hours,,,Heizkreisspezifischer (HK2) Außentemperatur Mittelungszeitraum
