# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,V8100,VR 81,V81 225,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
# ##### Generell #####,,,,,,,,,,,,,
r,,DisplayedRoomTemp,Raumtemperatur Ist,,,,"1B00",,,temp,,,Aktuelle Raumtemperatur
r,,RoomTemp,Raumisttemp,,,,"0000",,,tempsensor,,,raw value current room temperature and sensorstate (without any correction)
r,,DesiredHcRoomTempDesired,Raumsollwert,,,,"1D00",,,temp,,,Aktueller Raumsollwert
r,,HcRoomTempDesiredAdjustable,HCRoomSetPointAdjustable,,,,"1E00",,,yesno,,,room temperature setpoint is currently adjustable
r,,HcActiveSpecialFunction,HCActiveSpecialFunction,,,,"1F00",,,UCH,,,"if unequal zero a special function (e.g. holidays, floor pavement drying …) has been activated"
r;w,,OperatingMode430,OperatingMode430,,,,"0400",,,UCH,0=off;1=manual;2=auto,,operation mode of the heating circuit for 430
# ##### extra #####,,,,,,,,,,,,,
r,,SelectedHc,SelectedHeatCircuit,,,,"1C00",,,UCH,,,number of heating circuit to which this remote control is assigned
r;w,,RoomTempOffset,Raumisttemp. Korrekturwert,,,,"0200",,,temp,,,Korrekturwert der Raumtemperaturanzeige
# ##### Informationen für Entwickler #####,,,,,,,,,,,,,
r,,RoomTempOffsetSelfWarming,Offset Eigenerwärmung,,,,"0100",,,temp,,,room temperature intrinsic heating offset
r,,StackeBUSTaskMax,MaxStackeBUSTask,,,,"0C00",,,UCH,,,maximum number of bytes needed for the eBUS task stack
r,,StackMainTaskMax,MaxStackMainTask,,,,"0D00",,,UCH,,,maximum number of bytes needed for the main task stack
r,,StackLifeCheckTaskMax,MaxStackLifeCheckTask,,,,"0E00",,,UCH,,,maximum number of bytes needed for the life check task stack
r,,Variant,Variante,,,,"0F00",,,UIN;UIN,,,Identifikator zur Variantenerkennung
r,,eBUSCRC,eBUS_CRC,,,,"1000",,,UCH,,,last calculated eBUS CRC
r,,eBUSFifoDiffCntMax,eBUSFifoDiffCntMax,,,,"1100",,,UCH,,,max. eBUS-Fifo Füllstand
r,,EEpromMaxInkonsCnt,EEpromMaxInkonsCnt,,,,"1300",,,UIN,,,Zähler EEPROM Inkonsistenz
r,,POCResetCnt,Netz ein Zähler,,,,"1400",,,UIN,,,Power-On-Resets
r,,WDResetCnt,Watchdog Zähler,,,,"1500",,,UIN,,,Watchdog-Resets
r,,LVResetCnt,LVResetCnt,,,,"1600",,,UIN,,,counter of low voltage reset events
r,,CMResetCnt,CMResetCnt,,,,"1700",,,UIN,,,counter of clock monitor reset events
r,,COMErrorCnt,COMErrorCnt,,,,"1800",,,UIN,,,Fehler eBUS-Kommunikation
r,,VariantDKRefreshCnt,VariantDKRefreshCnt,,,,"1900",,,UCH,,,counts how often variant ID has been corrected
r,,FiFoResetCnt,FiFoResetCnt,,,,"1A00",,,UCH,,,counter how often eBUS Fifo was cleared
