# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
# START Unknown messages every 10 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,vwz,unknownMPoll10sB512h,,,76,B512,0f0001,,,HEX:7,,,Unknown poll every 10 seconds from CTLV2 to VWZ,,,,,,,,,,,,,,,,,,
# End Unknown messages every 10 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# B5 03 Status Live Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,"B503","00",,,,,,,,,,,,,,,,,,,,,,,,
r1,,Statuscode,,,,,03,,,UIN,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,"B511",,,,,,,,,,,,,,,,,,,,,,,,,
r,,State,,,,,07,energy,,UCH,,,,,,energy,,kWh,,onoff,,UCH,0=off;1=on,,,state,,UCH,0x01=ready;0x0b=error;0x09=heating;0x11=cooling;0x81=heating_water,,
*r,,,,,,B514,05,,,IGN:2,,,,,,,,,,,,,,,,,,,,,
# removed all messages that yielded ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,BuildingCircuitPumpPower,,,,,0103FFFF,,,UIN,,%,Building circuit pump power (% of maximum),,,,,,,,,,,,,,,,,,
r,,ThreeWayValve,,,,,0203FFFF,,,UCH,0=heating;1=dhw,,Three way valve (heating/dhw),,,,,,,,,,,,,,,,,,
r,,xUnknown11,,,,,1103FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown12,,,,,1203FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown13,,,,,1303FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown14,,,,,1403FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown15,,,,,1503FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown17,,,,,1703FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown24,,,,,2403FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,SupplyTemp,,,,,2803FFFF,,,temps2,10,°C,Supply temperature (°C),,,,,,,,,,,,,,,,,,
r,,ReturnTemp,,,,,2903FFFF,,,temps2,10,°C,Return temperature (°C),,,,,,,,,,,,,,,,,,
r,,BuildingCircuitWaterPressure,,,,,2A03FFFF,,,UIN,10,bar,Building circuit water pressure (bar),,,,,,,,,,,,,,,,,,
r,,BuildingCircuitFlow,,,,,2B03FFFF,,,UIN,,l/h,Current heating water flow rate (liter/hour),,,,,,,,,,,,,,,,,,
r,,HwcTemp,,,,,2C03FFFF,,,temps2,10,°C,SWW Tank temperature (°C),,,,,,,,,,,,,,,,,,
r,,SperContaktS20,,,,,2E03FFFF,,,UCH,0=open;1=closed,,,,,,,,,,,,,,,,,,,,
r,,xUnknown30,,,,,3003FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown37,,,,,3703FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown38,,,,,3803FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown39,,,,,3903FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,CondensorOutletTemp,,,,,3B03FFFF,,,temps2,10,°C,Condensor outlet temperature (°C),,,,,,,,,,,,,,,,,,
r,,xUnknown3F,,,,,3F03FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown40,,,,,4003FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown43,,,,,4303FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,OutdoorTemp,,,,,4503FFFF,,,temps2,10,°C,Outdoor temperature (°C),,,,,,,,,,,,,,,,,,
r,,xUnknown46,,,,,4603FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,DCFSignalState,,,,,4703FFFF,,,dcfstate,,,DCF signal status,,,,,,,,,,,,,,,,,,
r,,SperContaktS21,,,,,4803FFFF,,,UCH,0=open;1=closed,,,,,,,,,,,,,,,,,,,,
r,,xUnknown55,,,,,5503FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown56,,,,,5603FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown57,,,,,5703FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown58,,,,,5803FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown59,,,,,5903FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown5A,,,,,5A03FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown5D,,,,,5D03FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown60,,,,,6003FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown62,,,,,6203FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown66,,,,,6603FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown67,,,,,6703FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown68,,,,,6803FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown69,,,,,6903FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnknown6A,,,,,6A03FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
