# template name,type / templates,divider / values,unit,comment
cntstarts,BCD:3,,,start counter
cntminutes,BCD,,min,operation minutes
cnthours,BCD:3,,h,operation hours
cntfuel,BCD:4,,,fuel quantity
unit,UCH,0=all;1=l;2=m³,,unit
fueltype,UCH,0=any;1=oil;2=gas,,fuel type
countertype,UCH,0=starts;1=hours1;2=hours2;3=hours3;4=hours4;5=modulating;16=fuelquantity,,type of meter
opdatacyclic,UCH,0x55=stop;0xaa=start,,cyclic transmission
opdatatransfer,UCH,0=stop;1=cyclic;2=event;3=single;3=cyclicandevent,,data transmission
opdataheat,UCH,0x00=off;0x01=none;0x55=hotwater;0xaa=heating;0xcc=emissioncheck;0xdd=qualitycontrol;0xee=controlstop;0x66=hotwaterincontrolstop;0xbb=hotwaterinheating;0x44=controlstopinstage,,heat request
opdataaction,UCH,0x00=none;0x01=stoppump;0x02=startpump;0x03=stopconsumer;0x04=startconsumer,,
desiredtemp,UCH,,°C,desired temperature
outsidetemp,SCH,,°C,outside temperature
percent,D2C,,%,
percent0,UCH,,%,
percent1,D1C,,%,
percent2,D2B,,%,
percents,SCH,,%,
temp,D2C,,°C,temperature
temp0,UCH,,°C,temperature
temp1,D1C,,°C,temperature
temp2,D2B,,°C,temperature
press,D2B,,bar,pressure
btime,BTI,,,time
bdate,BDA,,,date
bday,BDY,,,weekday
id,STR:5,,,device ID
version,PIN,,,version
skip,IGN:1,,,
