# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,recov,recoVair 260,,,,,,,,,,,
*r,,,,,,B509,0d,,,,,,
*w,,,,,,B509,0e,,,,,,
*u,,,,,,B509,29,,,IGN:2,,,
r2;w,,VentilationLevelDay,ventilation intensity day,,,,8a03,,,UCH,,,1-6
r2;w,,VentilationLevelNight,ventilation intensity night,,,,8b03,,,UCH,,,1-6
r2;w,,HeatRecovery,heat recovery,,,,8c03,,,UCH,0=auto;1=on;2=off,,
r9;u,,FrostProtection,frost protection element active,,,,f10c,,,onoff,,,
r2;u,,FlowActual,current volume flow,,,,030e,,,UIN,,m3/h,
r;u,,DesiredTemp,desired temperature,,,,140e,,,temp,,,
r;u,,OutsideAirTemp,outside air temperature,,,,0c0e,,,tempsensor,,,
r;u,,ExitAirTemp,outgoing air temperature,,,,0d0e,,,tempsensor,,,
r;u,,ExhaustAirTemp,exhaust air temperature,,,,b40d,,,tempsensor,,,
r2;u,,HumiWasteAir,relative humidity waste air,,,,8503,,,percent,,,
r;u,,SupplyAirTemp,supply air temperature,,,,b30d,,,tempsensor,,,
r9;u,,BypassPosition,position of bypass flap,,,,0b0e,,,UIN,10,,
*w,,,,,,B522,00,,,,,,
w,,VentDay,Set Ventilation Day,,,,0200FFFF,,,,,,
w,,VentNight,Set Ventilation Night,,,,0100FFFF,,,,,,
w,,VentBoost,Activate Boost Ventilation,,,,0300FFFF,,,,,,
