# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,39200,VRT 392,39200 220,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*[SW],scan,,,SW,,,,,,,,,
# ##### general #####,,,,,,,,,,,,,
r,,DisplayedRoomTemp,DisplayedRoomTemp,,,,"8000",,,temp,,,displayed room temperature
r,,RoomTemp,RaumtemperaturIst,,,,"0000",,,tempsensor,,,raw value current room temperature and sensorstate (without any correction)
r,,OutsideTemp,OutsideTempSensor,,,,"6200",,,tempsensor,,,current outdoor temperature and sensorstate
r;w,,ActualWeekday,ActualWeekday,,,,"5F00",,,bday,,,current day of week
r;w,,Time,Time,,,,"6000",,,time,,,current time
r;w,,Date,Date,,,,"6100",,,date,,,current date
r,,StatusDcf,StatusDcf,,,,"0200",,,dcfstate,,,status of the DCF signal (0x00 = no DCF-Signal detected / no RTC value; 0x01 = DCF-signal detected; 0x02 = DCF-signal is being interpreted; 0x03 = DCF-data valid; 0x04 = RTC-data is valid)
r,,IsInHoliday,Holiday function active,,,,"0B00",,,yesno,,,holidays active
r;w,,Hc1OPMode,HC1_OPMode,,,,"2F00",,,UCH,0=off;1=manual;2=auto,,operation mode of the heating circuit
r;w,,Hc1NightTemp,HC1_NightSetTemp,,,,"3000",,,temp1,,,lowering temperature setpoint of the heating circuit
r;w,,Hc1ManualOPRoomTempDesired,HC1_ManualOPRoomSetpoint,,,,"3200",,,temp1,,,room setpoint in operation mode manual of the heating circuit
r,,Hc1QuickVetoTemp,HC1_QuickVetoTemp,,,,"3C00",,,temp1,,,manual override setpoint of the heating circuit
r,,Hc1QuickVetoActive,HC1_QuickVetoActive,,,,"3D00",,,yesno,,,manual override of the heating circuit enabled
r;w,,NameHc,Circuits_Name_HC,,,,"3F00",,,STR:10,,,labelling of the heating circuit
r;w,,NameHwc,Circuits_Name_DHW,,,,"3F78",,,STR:10,,,labelling of the domestic hot water circuit
r;w,,HolidayRoomTemp,HolidayRoomSetTemp,,,,"4000",,,D1C,,,"4.5=frostprotect, room setpoint during holidays"
r;w,,HolidayStartPeriod,HolidayStartPeriod,,,,"1100",,,date,,,start date of holidays
r;w,,HolidayEndPeriod,HolidayEndPeriod,,,,"1200",,,date,,,end date of holidays
r;w,,HwcOPMode,DHW_OPMode,,,,"4200",,,UCH,0=off;1=manual;2=auto,,operation mode of the domestic hot water circuit
r;w,,HwcTempDesired,DHW_DesiredTemp,,,,"4400",,,temp1,,,setpoint of domestic hot water circuit
r,,HwcQuickVetoTemp,DHW_QuickVetoTemp,,,,"4500",,,temp1,,,manual override setpoint for the domestic hot water circuit
r,,HwcQuickVetoActive,DHW_QuickVetoActive,,,,"4300",,,yesno,,,manual override of the domestic hot water circuit enabled
r;w,,HwcManualOPTempDesired,DHW_ManualOPSetpoint,,,,"4C00",,,temp1,,,setpoint of domestic hot water circuit in manual operation mode
r;w,,SummerWinterTimeAdjust,SummerWinterTimeAdjust,,,,"5300",,,onoff,,,enable automatic switching over to daylight saving's time (when a DCF receiver is connected to the BMU the value is set fix to ON)
[SW>=125]r,,DisplayedHwcStorageTemp,DisplayedDHWTankTemperature,,,,"9E00",,,temp1,,,display of the storage's temperature in C4 (also in case of an SP1 error)
r,,DisplayedHc1RoomTempDesired,DisplayedHK1RoomSetpoint,,,,"9600",,,temp1,,,"0= >5°C, currently displayed room temperature setpoint"
# ##### extra #####,,,,,,,,,,,,,
r;wi,,RoomTempCorrection,RoomTempCorrection,,,,"5700",,,calibrations,,,room temperature correction
r;wi,,Hc12stepanalogCtrl,HC1_2stepanalogCtrl,,,,"3600",,,UCH,0=two-point control;1=analogue control,,two-point / analogue control
