# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,70000,VRC 700,700 110,,,,,,,,,,
# ##### Generell #####,,,,,,,,,,,,,
*r,,,,,,B524,02000000,,,IGN:4,,,
*w,,,,,,B524,02010000,,,,,,
*wi,#install,,,,,B524,02010000,,,,,,
r;w,,ContinuosHeating,continuos heating,,,,0200,,,tempv,,,"-26=off, when the outside temperature falls below this threshold temperature the continuous heating function is started (off <=> function is disabled)"
r;w,,FrostOverRideTime,frost delay time,,,,0300,,,hoursum2,,,delay before frost protection is activated
r;w,,ManualCooling,Manual cooling,,,,0600,,,UIN,,,"number of days of manual cooling (max. 99, 0=off, set temp via z1CoolingTemp)"
r;wi,,GlobalSystemOff,Global System OFF,,,,0700,,,yesno,,,For switching system off
r;w,,HwcParallelLoading,hwc parallel loading,,,,0A00,,,onoff,,,heating and hot water parallel
r;w,,MaxRoomHumidity,max room humidity,,,,0E00,,,UIN,,,maximum room humidity
r;w,,AdaptHeatCurve,adaptive heat curve,,,,1400,,,yesno,,,automatic correction of configured heat curve
r;w,,MaxCylinderChargeTime,maximale Speicherladezeit,,,,1700,,,minutes2,,,maximum cylinder charging time
r;w,,HwcLockTime,hwc lock time,,,,1800,,,minutes2,,,Sperrzeit WW-Bedarf
r;w,,PumpAdditionalTime,pump additional time,,,,1B00,,,minutes2,,,Ladepumpe Nachlaufzeit
r;w,,CylinderChargeHyst,hysteresis cylinder charge,,,,2700,,,calibrationv,,,Hysterese Speicherladung
r;w,,CylinderChargeOffset,offset cylinder charge,,,,2900,,,calibrationv,,,Speicherlad. Offset
r;w,,MaintenanceDate,next maintenance,,,,2C00,,,date,,,Datum nächste Wartung
r;w,,Date,date,,,,3400,,,date,,,Aktuelles Datum
r;w,,Time,time,,,,3500,,,HTI,,,Aktuelle Uhrzeit
r;w,,HydraulicScheme,system schema,,,,3600,,,UIN,,,Systemschema
#r;w,,Unknown38,(constant 21),,,,3800,,,tempv,,,unknown value
r,,WaterPressure,water pressure,,,,3900,,,pressv,,,Wasserdruck
r;w,,SolarYieldTotal,total solar yield,,,,3D00,,,energy4,,,Solarertrag gesamt
r;w,,YieldTotal,total environmental yield,,,,3E00,,,energy4,,,Umweltertrag gesamt
r;w,,VentilationDay,day ventilation speed,,,,4200,,,UIN,,,Ventilation speed during day
r;w,,VentilationNight,night ventilation,,,,4300,,,UIN,,,Ventilation speed during night
r;w,,HwcMaxFlowTempDesired,hwc max flow temp desired,,,,4600,,,tempv,,,maximum flow temperature setpoint of Hwc
r,,SystemFlowTemp,system flow temp,,,,4B00,,,tempv,,,Systemvorlauf
r;w,,MultiRelaySetting,multifunction relay setting,,,,4D00,,,mamode,,,
r;w,,PrFuelSumHcThisMonth,this months fuel consumption heating,,,,4E00,,,energy4,,,Aktueller Monat Brennstoffverbrauch Heizung
r;w,,PrEnergySumHcThisMonth,this months energy consumption heating,,,,4F00,,,energy4,,,Aktueller Monat Stromverbrauch Heizung
r;w,,PrEnergySumHwcThisMonth,this months energy consumption hot water,,,,5000,,,energy4,,,Aktueller Monat Stromverbrauch hot water
r;w,,PrFuelSumHwcThisMonth,this months fuel consumption hot water,,,,5100,,,energy4,,,Aktueller Monat Brennstoffverbrauch hot water
r;w,,PrFuelSumHcLastMonth,last months fuel consumption heating,,,,5200,,,energy4,,,Letzter Monat Brennstoffverbrauch Heizung
r;w,,PrEnergySumHcLastMonth,last months energy consumption heating,,,,5300,,,energy4,,,Letzter Monat Stromverbrauch Heizung
r;w,,PrEnergySumHwcLastMonth,last months energy consumption hot water,,,,5400,,,energy4,,,Letzter Monat Stromverbrauch hot water
r;w,,PrFuelSumHwcLastMonth,last months fuel consumption hot water,,,,5500,,,energy4,,,Letzter Monat Brennstoffverbrauch hot water
r;w,,PrFuelSumHc,total fuel consumption heating,,,,5600,,,energy4,,,Brennstoffverbrauch Heizung gesamt
r;w,,PrEnergySumHc,total energy consumption heating,,,,5700,,,energy4,,,Stromverbrauch Heizung gesamt
r;w,,PrEnergySumHwc,total energy consumption hot water,,,,5800,,,energy4,,,Stromverbrauch hot water gesamt
r;w,,PrFuelSumHwc,total fuel consumption hot water,,,,5900,,,energy4,,,Brennstoffverbrauch hot water gesamt
r;w,,PrEnergySum,total energy consumption,,,,5C00,,,energy4,,,Dieses Jahr Stromverbrauch gesamt
r;w,,PrFuelSum,total fuel consumption,,,,5D00,,,energy4,,,Dieses Jahr Brennstoffverbrauch gesamt
#r;w,,Unknown67,(VR70 konfig 1),,,,6700,,,tempv,,,unknown value
#r;w,,Unknown68,(VR70 konfig 1),,,,6800,,,tempv,,,unknown value
r;w,,OpModeEffect,op mode effect,,,,6900,,,zonesel,,,selection which heating circuit is affected by changing parameters in the basic display
r;w,,Installer1,installer name 1,,,,6C00,,,shortname,,,installer's name
r;w,,Installer2,installer name 2,,,,6D00,,,shortname,,,installer's name
r;w,,PhoneNumber1,phone number 1,,,,6F00,,,shortphone,,,installer's telephone number
r;w,,PhoneNumber2,phone number 2,,,,7000,,,shortphone,,,installer's telephone number
r;w,,HolidayStartPeriod,holiday start period,,,,7100,,,hfrom,,,start date of holidays
r;w,,HolidayEndPeriod,holiday end period,,,,7200,,,hto,,,end date of holidays
r,,DisplayedOutsideTemp,outside temperature,,,,7300,,,tempv,,,Außentemperatur
r;w,,SFMode,SF mode,,,,7400,,,sfmode,,,
r;w,,KeyCodeforConfigMenu,code for installer menu,,,,7600,,,UIN,,,000-999; code for the installer's menues
r;w,,OpMode,operation mode,,,,7b00,,,opmode,,,operation mode of all/configured zone(s) matching OpModeEffect
r;w,,OpModeCooling,operation mode for cooling,,,,7c00,,,opmode,,,operation mode for cooling of all/configured zone(s)
r;w,,OpModeVentilation,operation mode for ventilation,,,,1600,,,opmode,,,operation mode for ventilation of all/configured zone(s)
r;w,,HolidayTemp,holiday temperature,,,,8200,,,tempv,,,holiday setpoint
r;w,,BankHolidayStartPeriod,bank holiday start period,,,,8300,,,hfrom,,,start date of bank holidays
r;w,,BankHolidayEndPeriod,bank holiday end period,,,,8400,,,hto,,,end date of bank holidays
#r;w,,Unknown85,(constant 0/inf),,,,8500,,,tempv,,,unknown value
r;w,,OutsideTempAvg,average outside temperature,,,,9500,,,tempv,,,gerundete mittlere Außentemperatur (alle 3h aktualisiert)
r,,MaintenanceDue,maintenance due,,,,9600,,,yesno,,,zeigt an ob die Wartung fällig ist
r,,HwcStorageTempTop,hwc storage temperature top,,,,9D00,,,tempv,,,"Temp.fühler WW, oben"
r,,HwcStorageTempBottom, storage temperature bottom,,,,9E00,,,tempv,,,"Temp.fühler WW, unten"
r,,HcStorageTempTop,hc storage temperature top,,,,9F00,,,tempv,,,"Temp.fühler Hz, oben"
r,,HcStorageTempBottom,hc storage temperature bottom,,,,A000,,,tempv,,,"Temp.fühler Hz, unten"
# ##### hot water circuit #####,,,,,,,,,,,,,
*r,,,,,,B524,02000100,,,IGN:4,,,
*w,,,,,,B524,02010100,,,,,,
r;w,,HwcOpMode,hwc operation mode,,,,0300,,,opmode,,,operation mode of Hwc
r;w,,HwcTempDesired,hwc temperature desired,,,,0400,,,tempv,,,setpoint of domestic hot water circuit
r,,HwcStorageTemp,hwc storage temperature,,,,0500,,,tempv,,,Speicheristtemperatur
r,,HwcFlowTemp,hwc flow temperature,,,,0800,,,tempv,,,desired flow temp for Hwc
r;w,,HwcHolidayStartPeriod,hwc holiday start period,,,,0900,,,hfrom,,,start date of holidays
r;w,,HwcHolidayEndPeriod,hwc holiday end period,,,,0A00,,,hto,,,end date of holidays
r;w,,HwcBankHolidayStartPeriod,hwc bank holiday start period,,,,0B00,,,hfrom,,,start date of bank holidays
r;w,,HwcBankHolidayEndPeriod,hwc bank holiday end period,,,,0C00,,,hto,,,end date of bank holidays
r;w,,HwcSFMode,hwc SF mode,,,,0D00,,,sfmode,,,
# ##### heating circuit 1 #####,,,,,,,,,,,,,
*r,,,,,,B524,02000200,,,IGN:4,,,
*w,,,,,,B524,02010200,,,,,,
r,,Hc1CircuitType,CircuitType heating circuit 1,,,,0200,,,mctype;IGN:1,,,
#r;w,,Hc1Unknown04,(constant 30) temperature heating circuit 1,,,,0400,,,tempv,,,unknown value for Hc1
r,,Hc1ActualFlowTempDesired,ActualFlowTempDesired heating circuit 1,,,,0700,,,tempv,,,current flow temperature setpoint of Hc1
r,,Hc1FlowTemp,FlowTemp heating circuit 1,,,,0800,,,tempv,,,current flow temperature of Hc1
#r;w,,Hc1Unknown09,(constant 60) temperature,,,,0900,,,tempv,,,unknown value for Hc1
r;w,,Hc1ExcessTemp,ExcessTemp heating circuit 1,,,,0B00,,,calibrationv,,,excess temperature of Hc1 (flow temperature's setpoint is increased by this value to keep the mixing valve in its control range)
#r;w,,Hc1Unknown0c,(constant 65) temperature heating circuit 1,,,,0C00,,,tempv,,,unknown value for Hc1
#r;w,,Hc1Unknown0d,(constant 65) temperature heating circuit 1,,,,0D00,,,tempv,,,unknown value for Hc1
r;w,,Hc1AutoOffMode,AutoOffMode heating circuit 1,,,,0E00,,,offmode,,,operation of Hc1 during the lowering time; no influence if room temperature modulation is set to thermostat
r;w,,Hc1HeatCurve,HeatCurve heating circuit 1,,,,0F00,,,EXP,,,heating curve of Hc1
r;w,,Hc1MaxFlowTempDesired,MaxFlowTempDesired heating circuit 1,,,,1000,,,tempv,,,maximum flow temperature setpoint (end emphasis) of Hc1
#r;w,,Hc1Unknown11,(constant 20) temperature heating circuit 1,,,,1100,,,tempv,,,unknown value for Hc1
r;w,,Hc1MinFlowTempDesired,MinFlowTempDesired heating circuit 1,,,,1200,,,tempv,,,minimum flow temperature setpoint (end emphasis) of Hc1
r;w,,Hc1SummerTempLimit,summer outside switchoff temperature heating circuit 1,,,,1400,,,tempv,,,if outside temperature > summer limit => heating is OFF;applies to comfort and night setback setpoint
r;w,,Hc1RoomTempSwitchOn,RoomTempSwitchOn heating circuit 1,,,,1500,,,rcmode,,,room temperature modulation of Hc1
r,,Hc1MixerMovement,MixerMovement heating circuit 1,,,,1A00,,,EXP,,,"status of mixer (<0 closing, >0 opening)"
r,,Hc1HeatCurveAdaption,HeatCurveAdaption heating circuit 1,,,,1C00,,,EXP,,,adaption applied to heating curve of Hc1
r;w,,Hc1Status,Status heating circuit 1,,,,1B00,,,UCH,,,status of zone 1
r;w,,Hc1PumpStatus,PumpStatus heating circuit 1,,,,1E00,,,UIN,,,pump status of zone 1
# ##### heating circuit 2 #####,,,,,,,,,,,,,
*r,,,,,,B524,02000201,,,IGN:4,,,
*w,,,,,,B524,02010201,,,,,,
r,,Hc2CircuitType,CircuitType heating circuit 2,,,,0200,,,mctype;IGN:1,,,
#r;w,,Hc2Unknown04,(constant 30) temperature heating circuit 2,,,,0400,,,tempv,,,unknown value for Hc2
r,,Hc2ActualFlowTempDesired,ActualFlowTempDesired heating circuit 2,,,,0700,,,tempv,,,current flow temperature setpoint of Hc2
r,,Hc2FlowTemp,FlowTemp heating circuit 2,,,,0800,,,tempv,,,current flow temperature of Hc2
#r;w,,Hc2Unknown09,(constant 60) temperature,,,,0900,,,tempv,,,unknown value for Hc2
