# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,Heat pump AMU,EHP00 172 DHW,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*[SW],scan,,,SW,,,,,,,,,
# ##### DHW: Parameters and information #####,,,,,,,,,,,,,
r;w,,OperatingMode,OperatingMode,,,,"2B00",,,hwcmode,,,Operating mode for the DHWcircuit
r;wi,,StorageTempDesiredStop,Tank_Setpoint_Stop,,,,"8200",,,temp,,,DHW temperature at which loading stops
r;wi,,StorageTempDesiredStart,Tank_Setpoint_Start,,,,"8300",,,temp,,,DHW temperature at which loading starts
r;wi,,LegioProtectionEnabled,LegioProtectionEnabled,,,,"4000",,,yesno,,,BMR:enables/disables the anti-legionella feature
[SW>=337]r;wi,,LegioProtectionDay,LegioProtectionDay,,,,"7C01",,,bday,,,"Legionella protection day (0-6:mo-so, 7:off). Displayed as abbreviations. Additional parameter has to be set for activation or deactivation."
r;wi,,LegionellaStartTime,Legionella_Start_Time,,,,"6700",,,time2,,,start time for legionella protection (different from BMR)
[SW>=407]r;wi,,Hc1PumpSpeedLayeredStorage,CH1P_PumpSpeed_layered_tank,,,,"C101",,,percent0,,,CH pump speed setpoint while shiftloading DHW tank [%]
[SW>=407]r;wi,,Hc1PumpSpeedCoilStorage,CH1P_PumpSpeed_coil_tank,,,,"C201",,,percent0,,,CH pump speed setpoint while loading DHW tank with coils [%]
[SW>=407]r;wi,,HwcStorageIsCoil,DHW_Tank_is_coil,,,,"CD01",,,yesno,,,DHW tank is shift loading type if no
[SW>=415]r;wi,,TappingDetectionLimit,TappingDetectionLimit,,,,"E801",,,UCH,,,"turns on backup heater, if temperature drops below this value; 0=function is off"
!include,hwcmode.inc,,,,,,,,,,,,
!include,timer.inc,,,,,,,,,,,,
!include,iotesthp.inc,,,,,,,,,,,,
!include,errors.inc,,,,,,,,,,,,
!include,quick.inc,,,,,,,,,,,,
