# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,recov,recoVair 260,,,,,,,,,,,
# ##### Generell #####,,,,,,,,,,,,,
*r,,,,,,B513,04,,,IGN:2,,,
*w,,,,,,B509,0e,,,,,,
r;w,recov,VentIntensityDay,Lueftungsintensitaet Tag auslesen,,,,8a03,,,UCH,,,
r;w,recov,VentIntensityNight,Lueftungsintensitaet Nacht auslesen,,,,8b03,,,UCH,,,
r;w,recov,VentHeatRecovery,Waermerueckgewinnung auslesen,,,,8c03,,,UCH,0=auto;1=on;2=off,,
r;w,recov,FilterChange,Days to filter change,,,,350e,,,UIN,,Days,
r;w,recov,maintenance,Days to maintence,,,,360e,,,UIN,,Days,
#r,recov,DayKwh,Yield today kwh / 10,,,,560e,,,ULG,10,Kwh,
#r,recov,YesterdayKwh,Yield yesterday kwh / 1,,,,570e,,,ULG,10,Kwh,
#r,recov,MonthKwh,Yield month kwh / 10,,,,580e,,,ULG,10,Kwh,
#r,recov,YearKwh,Yield year kwh,,,,590e,,,ULG,,Kwh,
#r,recov,TotalKwh,Total yield kwh,,,,5a0e,,,ULG,,Kwh,
r;w,recov,InstallationHeight,Installation height in m,,,,1a0e,,,UIN,,m,
r;w,recov,Disbalance,Dissbalance extract air%,,,,1b0e,,,SCH,,%,
r;w,recov,VolumeFlow,Nominal volume flow ,,,,1c0e,,,UIN,,m³/h,
r;w,recov,RedVolumeFlow,Red.ventilation% to NL,,,,1d0e,,,UCH,,%,
r;w,recov,IntensVolumeFlow,Intensive ventilation% to NL,,,,1e0e,,,UCH,,%,
r;w,recov,WTTyp,WTTyp,,,,250e,,,UCH,0=Standard;1=Etalphie,
r;w,recov,FrostProtectionType,Frost protection type,,,,260e,,,UCH,0=none;1=electric;2=hydraulically,,
r;w,recov,GroundCollector,Ground collector,,,,280e,,,UCH,0=no;1=yes,,
r;w,recov,BypassDiffTemp,BypassDiffTemp,,,,2a0e,,,temp,,°C,
r;w,recov,PressureSwitch,Pressure switch,,,,2b0e,,,UCH,0=no;1=yes,,
r;w,recov,StepSwitch,Step switch,,,,2c0e,,,UCH,0=no;1=yes,,
r;w,recov,AirQualitySens,Air quality sensor,,,,2d0e,,, UCH,0=none;1=1Sensor;2=2Sensors,,
r;w,recov,MinCO2,min CO2 value,,,,2e0e,,,UIN,,ppm,
r;w,recov,MaxCO2,max CO2 value,,,,2f0e,,,UIN,,ppm,
r;w,recov,MinHum,min humidity %,,,,300e,,,UCH,,,
r;w,recov,MaxHum,max humidity %,,,,310e,,,UCH,,,
r,recov,Bypass,ByPass flap,,,,0a0e,,,UCH,0=on;01=mid;02=off,,
r;w,recov,FanStage,Fan Level,,,,150e,,,UCH,0=low;1=auto;2=mid;3=high,,
r,recov,BypassPosition,Bypass Position,,,,0b0e,,,UCH,,,
,,,,,,,,,,,,,
# ##### Weitere #####,,,,,,,,,,,,,
*r,,,,,,B509,29,,,IGN:2,,,
*w,,,,,,B509,,,,,,,
#r,recov,BypassPosition,Position der Bypass-Klappe,,,,0b0e,,,UIN,10,,
r,recov,TempOutsideAir,Temperatur Aussenluft,,,,0c0e,,,tempsensor,,,
r,recov,TempOutgoingAir,Temperatur Fortluft,,,,0d0e,,,tempsensor,,,
r,recov,TempWasteAir,Temperatur Abluft,,,,b40d,,,tempsensor,,,
r,recov,TempInletAir,Temperatur Zuluft,,,,b30d,,,tempsensor,,,
r,recov,HumiWasteAir,Luftfeuchtigkeit Zuluft,,,,8503,,,percent,,,
r,recov,FrostProtection,Frostschutzelement aktiv,,,,f10c,,,onoff,,,
r;w,recov,PreferredTemp,Wunschtemperatur,,,,140e,,,temp,,°C,
r,recov,FlowActual,aktueller Volumenstrom,,,,040e,,,UIN,,m3/h,
,,,,,,,,,,,,,
# includes,,,,,,,,,,,,,
!include,errors.inc,,,,,,,,,,,,
