# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,V6100,VR 61,V61 219,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*[SW],scan,,,SW,,,,,,,,,
# ##### general #####,,,,,,,,,,,,,
[SW<202]r;w,,InternalOperatingMode430,InternalOperatingMode430,,,,"3100",,,UCH,0=off;1=manual;2=auto,,operation mode of the second heating circuit for 430
[SW>=202]r;w,,InternalOperatingMode470,InternalOperatingMode470,,,,"3100",,,UCH,2=auto;3=on;4=night;5=summer,,"operation mode of the second heating circuit for 470"
r;w,,TempDesiredLow,DesiredLowTemperature,,,,"1300",,,temp1,,,lowering temperature setpoint of the second heating circuit
r;w,,TempDesiredHigh,DesiredHighTemperature,,,,"3800",,,temp1,,,day temperature setpoint of the second heating circuit,,,
r;w,,HolidayTempDesired,DesiredHolidayTemperature,,,,"1400",,,D1C,,,"4.5=frostprotect, holiday temperature of the second heating circuit"
r;w,,Hc2ManualOPRoomTempDesired,HC2_ManualOPRoomSetpoint,,,,"3400",,,temp1,,,room setpoint in operation mode manual of the second heating circuit
r,,Hc2QuickVetoTemp,HC2_QuickVetoTemp,,,,"3200",,,temp1,,,manual override setpoint of the second heating circuit
r,,DisplayedRoomTempDesired,DisplayedRoomSetpoint,,,,"4800",,,temp,,,
r,,SunMoonInfo,SunMoonInfo,,,,"4700",,,UCH,,,"(2 = sun, 4 = moon)"
# ##### extra #####,,,,,,,,,,,,,
r,,Flow1Sensor,Flow1Sensor,,,,"0000",,,tempsensor,,,second heating circuit's flow temperature and sensorstate
r,,BoilerCircuitPump,BurnerCircuitPump,,,,"2000",,,onoff,,,first heating circuit (burner circuit) pump's state
r,,CirPump,CirculationPump,,,,"0100",,,onoff,,,control state of the circulation respectively loading pump (functionality of the pump depends on the configuration)
r,,Hc1PumpKol1PP1Port,Hk1P_Kol1P_P1_Port,,,,"4200",,,onoff,,,first heating circuit pump's state
r,,Hc2PumpAlPort,Hk2P_Al_Port,,,,"4300",,,onoff,,,second heating circuit (mixer circuit) pump's state
r,,Mixer1DutyCycle,Mixer1DutyCycle,,,,"0200",,,percents,,,"velocity by which the mixer is driven to its end position (positive value: end position is open, negative value: end position is shut)"
r,,Mixer1State,Mixer1State,,,,"0300",,,UCH,,,mixer's state
r,,Hc2CircuitType,HC2_CircuitType,,,,"1E00",,,UCH,0=disabled;1=mixing;2=zone,,type of the second heating circuit
r;wi,,FlowTempMin,MinFlowTemp,,,,"1000",,,temp1,,,lower limitation of the second heating circuit's flow temperature
r;wi,,FlowTempMax,MaxFlowTemp,,,,"1100",,,temp1,,,upper limitation of the second heating circuit's flow temperature
r;wi,,HeatingCurve,Heating curve,,,,"1500",,,curve,,,heating curve of the second heating circuit
r;wi,,Hc2RoomControlMode,HC2_RoomControlMode,,,,"3500",,,UCH,0=off;1=modulating;2=thermostat,,room temperature modulation of the second heating circuit
r;wi,,Hc2SummerOffset,HC2_SummerOffset,,,,"3700",,,calibration1,,,"summer offset of the second heating circuit (if outside temperature > room setpoint + summer offset => heating is OFF; applies to comfort and night setback setpoint; no influence if room temperature modulation is set to ""thermostat"")"
r;wi,,AutoOffMode,AutoOffMode,,,,"1F00",,,UCH,0=frostprotection;1=lowering;2=eco,,operation during the auto-off period
r,,HcParallelStorageFillingEnabled,HcParallelTankFillingEnabled,,,,"2D00",,,onoff,,,enable parallel tank loading
r,,FlowTempDesired,Flow setpoint,,,,"2200",,,temp1,,,flow temperature setpoint of the second heating circuit
r;wi,,FloorPavingDryingDay,FloorPavingDryingDay,,,,"1A00",,,UCH,,,active day of the floor pavement drying function
r,,FloorPavingDryingTemp,FloorPavingDryingTemperature,,,,"0400",,,temp1,,,flow temperature setpoint for the current day of floor pavement drying
