# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,SDR_P,auroMATIC 560,168 168 Disabled,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
r;wi,,Storage1Sensor,Speicherfühler 1,,,,"0000",,,tempsensor,,,
r;wi,,Storage2Sensor,Speicherfühler 2,,,,"0100",,,tempsensor,,,
r;wi,,Storage3Sensor,Speicherfühler 3,,,,"0200",,,tempsensor,,,
r;wi,,Coll1Sensor,Kollektorfühler 1,,,,"0300",,,tempsensor,,,
r;wi,,Coll2Sensor,Kollektorfühler 2,,,,"0400",,,tempsensor,,,
r;wi,,YieldSensor,Ertragsfühler,,,,"0500",,,tempsensor,,,
r;wi,,CollPump1,Status Kollektorpumpe 1,,,,"0600",,,onoff,,,
r;wi,,CollPump1ActualPower,akt. Leistung Koll.-Pumpen,,,,"0700",,,HEX:2,,,
r;wi,,CollPump2,Status Kollektorpumpe 2,,,,"0800",,,onoff,,,
r;wi,,ThreeWayValve1,"Umschaltventil Heizen/Warmwasser, UV1",,,,"0900",,,onoff,,,
r;wi,,LegioPump,Status Legionellenpumpe,,,,"0A00",,,onoff,,,
r;wi,,CirPump,Zirkulationspumpe,,,,"0B00",,,onoff,,,
r;wi,,ElectronicCartridge,Status E-Patrone,,,,"0C00",,,onoff,,,
r;wi,,C1C2,Status C1/C2,,,,"0D00",,,onoff,,,
r;wi,,BypassValve,Bypass-Ventil,,,,"0E00",,,onoff,,,
r;wi,,ActualTempDesired,Solltemperatur [°C],,,,"1400",,,temp1,,,
r;wi,,OperatingMode,Betriebsart,,,,"1500",,,mcmode,,,
r;wi,,Weekday,Wochentag,,,,"1600",,,bday,,,
r;wi,,Time,Uhrzeit,,,,"1700",,,time,,,
r;wi,,SolarYieldKw,Solarertrag,,,,"1E00",,,UIN,,,
r;wi,,CollPumpHRuntime,Laufzeit Solarpumpe,,,,"1F00",,,UIN;UIN,,,
r;wi,,Date,Datum,,,,"2000",,,date,,,
r;wi,,IsInHoliday,Urlaub,,,,"2800",,,UCH,,,
r;wi,,IsInParty,Partyfunktion,,,,"2900",,,onoff,,,
r;wi,,IsInSingleHwcLoading,einmalige Speicherladung,,,,"2A00",,,onoff,,,
r;wi,,HydraulicScheme,Hydraulikplan,,,,"3D00",,,UCH,,,
r;wi,,SolHwcMaxLoadTemp,Max. Temp. Solarspeicher [°C],,,,"3E00",,,HEX:2,,,
r;wi,,SolEnableDiffTemp,Einschaltdiff. Solarspeicher [K],,,,"3F00",,,HEX:2,,,
r;wi,,SolDisableDiffTemp,Ausschaltdiff. Solarspeicher [K],,,,"4000",,,HEX:2,,,
r;wi,,LegioProtectionEnabled,Legionellenschutz,,,,"4100",,,UCH,,,
r;wi,,StartTimeFillingMode,Startzeit Füllmodus (tFIL),,,,"4200",,,UCH,,,
r;wi,,StartTimeOperatingMode,Startzeit Betriebsmodus (tOP),,,,"4300",,,UCH,,,
r;wi,,NumCollPanels,Anzahl Kollektoren,,,,"4400",,,UCH,,,
r;wi,,SolarPumpBlockingTime,Blockierzeit Solarpumpen (tBLK),,,,"4500",,,UCH,,,
r;wi,,HwcLoadingDelay,Nachladeverzögerung,,,,"4600",,,onoff,,,
r;wi,,SolarFlowRate,Volumenstrom Solarkreis [l/h],,,,"4700",,,UIN,,,
r;wi,,SolarEDEnable,Solarpumpen ED-St.,,,,"4800",,,onoff,,,
r;wi,,ResetSolarYieldKw,Rücksetzen Solarertrag,,,,"4900",,,onoff,,,
r;wi,,ResetOperatingTimes,Rücksetzen Betriebsstunden,,,,"4A00",,,onoff,,,
r;wi,,SolarPumpPower,Leistung Solarpumpe [%],,,,"4B00",,,power,,,
r;wi,,DisableAutoSync,Deaktivierung Autosync,,,,"5100",,,onoff,,,
r;wi,,SolEnableDiffTempMin,min. Einschaltdiff. Solarspeicher [K],,,,"5200",,,HEX:2,,,
r;wi,,SolEnableDiffTempMax,max. Einschaltdiff. Solarspeicher [K],,,,"5300",,,HEX:2,,,
