# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,UIH00,CI,UIH00 169,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
*ws,#service,,,,,"B509","0E",,,,,,
*[SW=202-349],scan,,,SW,,202-349,,,,,,,
*[SW=350-363],scan,,,SW,,350-363,,,,,,,
*[SW>=364],scan,,,SW,,>=364,,,,,,,
*[SW>=202],scan,,,SW,,>=202,,,,,,,
*[SW<=345],scan,,,SW,,<=345,,,,,,,
*[SW>=220],scan,,,SW,,>=220,,,,,,,
*[SW>=250],scan,,,SW,,>=250,,,,,,,
*[SW>=362],scan,,,SW,,>=362,,,,,,,
# ##### Energieertrag #####,,,,,,,,,,,,,
[SW=202-349]r,,ThisYearsYieldEnergyMonth1,Ertrag Januar dieses Jahres,,,,"8400",,,energy,,,Ertrag Januar dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth2,Ertrag Februar dieses Jahres,,,,"8408",,,energy,,,Ertrag Februar dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth3,Ertrag März dieses Jahres,,,,"8410",,,energy,,,Ertrag März dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth4,Ertrag April dieses Jahres,,,,"8418",,,energy,,,Ertrag April dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth5,Ertrag Mai dieses Jahres,,,,"8420",,,energy,,,Ertrag Mai dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth6,Ertrag Juni dieses Jahres,,,,"8428",,,energy,,,Ertrag Juni dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth7,Ertrag Juli dieses Jahres,,,,"8430",,,energy,,,Ertrag Juli dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth8,Ertrag August dieses Jahres,,,,"8438",,,energy,,,Ertrag August dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth9,Ertrag September dieses Jahres,,,,"8440",,,energy,,,Ertrag September dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth10,Ertrag Oktober dieses Jahres,,,,"8448",,,energy,,,Ertrag Oktober dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth11,Ertrag November dieses Jahres,,,,"8450",,,energy,,,Ertrag November dieses Jahres
[SW=202-349]r,,ThisYearsYieldEnergyMonth12,Ertrag Dezember dieses Jahres,,,,"8458",,,energy,,,Ertrag Dezember dieses Jahres
[SW=202-349]r,,LastYearsYieldEnergyMonth1,LastYearsEarnedEnergy month 1,,,,"8500",,,energy,,,last year: earnd energy of month 1
[SW=202-349]r,,LastYearsYieldEnergyMonth2,LastYearsEarnedEnergy month 2,,,,"8508",,,energy,,,last year: earnd energy of month 2
[SW=202-349]r,,LastYearsYieldEnergyMonth3,LastYearsEarnedEnergy month 3,,,,"8510",,,energy,,,last year: earnd energy of month 3
