# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,EHP00,AMU Wärmepumpe,EHP00 172 DHW,,,,,,,,,,,,,
*r,hwc,,,,,"B509","0D",,,,,,,,,
*w,hwc,,,,,"B509","0E",,,,,,,,,
*wi,hwc#install,,,,,"B509","0E",,,,,,,,,
*[SW>=337],scan,,,SW,,>=337,,,,,,,,,,
*[SW>=407],scan,,,SW,,>=407,,,,,,,,,,
*[SW>=415],scan,,,SW,,>=415,,,,,,,,,,
# ##### DHW: Parameter und Informationen #####,,,,,,,,,,,,,,,,
r;w,,OperatingMode,Betriebsart,,,,"2B00",,,hwcmode,,,"Betriebsmodus Warmwasser (Auto, Ein, Aus)",,,
r;wi,,StorageTempDesiredStop,Max. Warmwassertemp,,,,"8200",,,temp,,,"Anzeige maximale Warmwassertemperatur, erfolgt nur, wenn die Zusatzheizung für Warmwasser freigeschaltet ist! Ohne Zusatzheizung wird die Warmwasser-Temperatur nur durch die Drucksensor-Regelabschaltung begrenzt (ca. 58 °C Speichertemperatur).",,,
r;wi,,StorageTempDesiredStart,Min. Warmwassertemp,,,,"8300",,,temp,,,"Min. Warmwasser, Starttemperatur für die Nachladung des Warmwasserspeichers.",,,
r;wi,,LegioProtectionEnabled,Legionellenschutz,,,,"4000",,,yesno,,,"Der Legionellenschutz wird, wenn eine Zusatzheizung aktiviert ist, bei „AN“ Mittwochs zur eingestellten Uhrzeit durch die Zusatzheizung ausgeführt",,,
[SW>=337]r;wi,,LegioProtectionDay,Legionellenschutztag,,,,"7C01",,,bday,,,Legionellenschutztag (0-6:Mo-So; 7:Aus). Anzeige als Kürzel. Aktivierung des Legionellenschutz über einen weiteren Parameter.,,,
r;wi,,LegionellaStartTime,Startzeit Legionellenschutz,,,,"6700",,,time2,,,"Startzeit des Legionellenschutzes wenn aktiviert, immer Mittwochs",,,
[SW>=407]r;wi,,Hc1PumpSpeedLayeredStorage,CH1P_PumpSpeed_layered_tank,,,,"C101",,,percent0,,,CH pump speed setpoint while shiftloading DHW tank [%],,,
[SW>=407]r;wi,,Hc1PumpSpeedCoilStorage,CH1P_PumpSpeed_coil_tank,,,,"C201",,,percent0,,,CH pump speed setpoint while loading DHW tank with coils [%],,,
[SW>=407]r;wi,,HwcStorageIsCoil,DHW_Tank_is_coil,,,,"CD01",,,yesno,,,DHW tank is shift loading type if no,,,
[SW>=415]r;wi,,TappingDetectionLimit,TappingDetectionLimit,,,,"E801",,,UCH,,,"turns on backup heater, if temperature drops below this value; 0=function is off",,,
# DHW: Betriebsart,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B504",,,,,,,,,,
r,,Mode,Betriebsart,,,,01,,,temp0;hwcmode;IGN:2;HEX;IGN;onoff;IGN,,,,,,
r,,Status,Status,,,,0D,,,temp0;onoff;temp;temp0,,,,,,
# DHW: Zeitfenster,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B504",,,,,,,,,,
*w,hwc,,,,,"B505","09",,,,,,,,,
r,,Timer.Monday,Zeitfenster Montag,,,,02,,,timer,,,,,,
r,,Timer.Tuesday,Zeitfenster Dienstag,,,,03,,,timer,,,,,,
r,,Timer.Wednesday,Zeitfenster Mittwoch,,,,04,,,timer,,,,,,
r,,Timer.Thursday,Zeitfenster Donnerstag,,,,05,,,timer,,,,,,
r,,Timer.Friday,Zeitfenster Freitag,,,,06,,,timer,,,,,,
r,,Timer.Saturday,Zeitfenster Samstag,,,,07,,,timer,,,,,,
r,,Timer.Sunday,Zeitfenster Sonntag,,,,08,,,timer,,,,,,
w,,Timer.Monday,Zeitfenster Montag,,,,01,,,timer,,,,,,
w,,Timer.Tuesday,Zeitfenster Dienstag,,,,02,,,timer,,,,,,
w,,Timer.Wednesday,Zeitfenster Mittwoch,,,,03,,,timer,,,,,,
w,,Timer.Thursday,Zeitfenster Donnerstag,,,,04,,,timer,,,,,,
w,,Timer.Friday,Zeitfenster Freitag,,,,05,,,timer,,,,,,
w,,Timer.Saturday,Zeitfenster Samstag,,,,06,,,timer,,,,,,
w,,Timer.Sunday,Zeitfenster Sonntag,,,,07,,,timer,,,,,,
# Aktuelle(r) Fehler,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B503","00",,,,,,,,,
r,,currenterror,Aktuelle Fehler,,,,01,,,errors,,,,,,
# Fehlerhistorie,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B503","01",,,,,,,,,
*wi,hwc#install,,,,,"B503","02",,,,,,,,,
r,,errorhistory,Fehlerhistorie,,,,01,index,m,UCH,,,,,,errorhistory
wi,,clearerrorhistory,Fehlerhistorie: löschen,,,,01,cleared,s,yesno,,,,,,
