# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,MC2,VR 60/3,306782<<<< 163 Mixer,,,,,,,,,,,,,
*r,mc,,,,,"B509","0D",,,,,,,,,
*w,mc,,,,,"B509","0E",,,,,,,,,
*wi,mc#install,,,,,"B509","0E",,,,,,,,,
# ##### Statistics #####,,,,,,,,,,,,,,,,
r,,StatPowerOn,StatPowerOn,,,,"CC00",,,UIN,,,,,,
r,,StatOperatingHours,StatOperatingHours,,,,"CD00",,,UIN,,,,,,
r,,StatMonthOfInstallation,StatMonthOfInstallation,,,,"CE00",,,UCH,,,,,,
r,,StatYearOfInstallation,StatYearOfInstallation,,,,"CF00",,,UCH,,,,,,
r,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,,"D000",,,UCH,,,,,,
r,,StatRTOSErrorcode,StatRTOSErrorcode,,,,"D100",,,UIN,,,,,,
r,,StatRestarts,StatRestarts,,,,"D200",,,UIN,,,,,,
r,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,,"D300",,,UIN,,,,,,
# ##### MK1: Daten #####,,,,,,,,,,,,,,,,
r,,FlowTempDesired,Vorlaufsolltemperatur,,,,"4600",,,temp1,,,Desired flow temperature of MK1,,,
r,,FlowTemp,VF1 Sensor,,,,"0100",,,tempsensor,,,Vorlauftemperatur,,,
r,,OutsideTemp,Außentemp. Sensor,,,,"0600",,,tempsensor,,,current outside temperature (valid only if a sensor is connected to the VR60),,,
r,,TeleSwitch,TeleSwitch,,,,"0A00",,,onoff,,,State of the Teleswitch,,,
r,,IsInHoliday,Ferienprogramm aktiv,,,,"2700",,,UCH,,,Every bit of this byte represents a heating circuit; holiday function can be started by setting the HC's corresponding bit,,,
r,,IsInParty,Partyfunktion aktiv,,,,"4E00",,,UCH,,,Every bit of this byte represents a heating circuit; if bit is set the party function is activated for the corresponding HC,,,
r,,CleaningLady,Sparfunktion,,,,"4B00",,,UCH,,,saving function is activated until read value * 1/2 h,,,
r,,IsInStorageFilling,Speicherladung aktiv,,,,"4700",,,yesno,,,heating circuit is locked because of ongoing tank loading unless parallel loading has been activated,,,
r,,MixerDutyCycle,ED Mischer,,,,"0E00",,,SCH,,,"Teleswitch,Pumpe,Zirkulationspumpe,WW Anforderung,WW Freigabe",,,
r,,HcPumpPort,HK2-P,,,,"9100",,,onoff,,,Status of mixer cicuit pump on MK1P,,,
# ##### MK1: Konfiguration #####,,,,,,,,,,,,,,,,
