# template name,type / templates,divider / values,unit,comment
temps,SCH,,°C,Temperatur
temps2,SIN,,°C,Temperatur
press,FLT,,bar,Druck
date,HDA:3,,,Datum
day,BDY,,,Wochentag
daysel,UCH,0=selected;1=Mo-Fr;2=Sa-So;3=Mo-So,,Tage
days,UCH,,,Tage
time,VTI,,,Zeit
time2,VTM,,,Zeit
minutes,ULG,120,min,Minuten
minutes0,UCH,,min,Minuten
minutes2,UIN,,min,Minuten
hoursum,ULG,,h,Stunden
hoursum2,UIN,,h,Stunden
hours,UCH,,h,Stunden
hours1,D1C,,h,Stunden
hour,UCH,,h,Stunde
seconds,ULG,2,s,Sekunden
seconds0,UCH,,s,Sekunden
seconds2,UIN,,s,Sekunden
seconds4,ULG,,s,Sekunden
calibration,D2C,,K,
calibration0,UCH,,K,
calibration1,D1C,,K,
calibrations,SCH,2,K,
integral,SIN,,°min,
mcmode,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Mischer Modus
mctype,UCH,0=uninitialized;1=mixer;2=fixed;3=3;4=4,,Mischer Typ
hwcmode,UCH,0=disabled;1=on;2=off;3=auto,,Warmwasser Modus
status,UCH,,,Status
onoff,UCH,0=off;1=on,,
yesno,UCH,0=no;1=yes,,
errorok,UCH,0=ok;1=error,,
sensor,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
tempsensor,temp;sensor,,,
tempmirror,UIN,,,
tempmirrorsensor,temp;tempmirror;sensor,,,
presssensor,press;sensor,,,
pressm,ULG,,mbar,Druck
pressm2,UIN,,mbar,Druck
uin100,UIN,100,,
curve,UIN,100,,Heizkurve
phase1,BI0,0=missing;1=present,,Status Phase 1
phase2,BI1,0=missing;1=present,,Status Phase 2
phase3,BI2,0=missing;1=present,,Status Phase 3
phase,phase1;phase2;phase3,,,
code,PIN,,,
error,UIN,,,Fehlernummer
errors,error;error;error;error;error,,,
errorhistory,status;time2;date;error,,,
from,TTM,,,von
to,TTM,,,bis
slot,from;to,,,Slot von/bis
slot1-3,slot;slot;slot,,,Slots 1-3
timer,slot1-3;daysel,,,
backtype,UCH,0=not present;1=externalheat;2=externalwater;3=externalheatandwater;4=internalheatandwater,,
backmode,UCH,0=no backup;1=withbackup;2=onlybackup,,
power,UCH,,kW,
energy,UIN,,kWh,
energy4,ULG,,kWh,
cntstarts,ULG,,,Anzahl Starts
cntstarts2,UIN,,,Anzahl Starts
pumppow,UCH,0=0;1=1;2=2;3=3;4=4;5=5;6=6;7=off,,Pumpenleistung
pumpstate,UCH,0=off;1=on;2=overrun,,Pumpenstatus
dcfstate,UCH,0=nosignal;1=ok;2=sync;3=valid,,DCF Empfängerstatus
phaseok,UCH,0=error;7=ok,,Phasenstatus
switchvalve,UCH,0=heat;1=water,,Ventilposition
hfrom,HDA:3,,,Ferienzeitraum von
hto,HDA:3,,,Ferienzeitraum bis
holiday,hfrom;hfrom;hto;hto,,,Ferienzeitraum 1 von; 2 von; 1 bis; 2 bis
hpstatus,UCH,0=off;3=heat;6=standby;7=otshutdown;8=water,,Heizstatus
frequency,UIN,,Hz,Frequenz
