# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,sol00,VR 68,sol 210 DHW,,,,,,,,,,,,,
*r,hwc,,,,,"B509","0D",,,,,,,,,
*w,hwc,,,,,"B509","0E",,,,,,,,,
*wi,hwc#install,,,,,"B509","0E",,,,,,,,,
*[SW>=201],scan,,,SW,,>=201,,,,,,,,,,
# ##### DHW: Generell #####,,,,,,,,,,,,,,,,
r;w,,TempDesired,Solltemperatur,,,,"1300",,,temp1,,,desired temperature (day temperature) for DHW,,,
r;wi,,LegioStartDay,Starttag Legionellenschutz,,,,"4E00",,,UCH,0=Mon;1=Tue;2=Wed;3=Thu;4=Fri;5=Sat;6=Sun;7=off;8=Mon-Sun,,Start day for legio protection,,,
r;wi,,LegioStartTime,Startzeit Legionellenschutz,,,,"4F00",,,UCH,,,Start time for legio protection,,,
r,,SolarGainPressLowDelay,SolarGain_LP_Delay,,,,"5D00",,,yesno,,,Set TRUE for LP delay in case of solar gain,,,
r,,IsInHoliday,Ferienprogramm aktiv,,,,"0B00",,,yesno,,,TRUE if holiday is active,,,
r,,IsInBankHoliday,IsInBankHoliday,,,,"5F00",,,yesno,,,TRUE if BankHoliday is active,,,
r,,IsInSystemOff,IsInSystemOff,,,,"6000",,,yesno,,,TRUE if SystemOff is active,,,
# ##### DHW: Warmwasser #####,,,,,,,,,,,,,,,,
r;w,,OperatingMode430,OperatingMode430,,,,"0F00",,,UCH,,,"Operating mode of solar DHW circuit for 430 (1 = auto, 2 = manual, 3 = off)",,,
#TODO: duplicate addr 0F00: @15[0F00]=uchar [],,,,,,,,,,,,,,,,
[SW>=201]r,,OperatingMode470,OperatingMode470,,,,"0F00",,,UCH,,,"Operating mode of solar DHW circuit for 470 (1 = auto, 3 = off, 4 = on)",,,
r,,FlowTempDesired,Vorlaufsolltemperatur,,,,"1600",,,temp1,,,Vorlaufsolltemperatur berechnet von VR68,,,
