# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,SOLSY,auroMATIC 620/3,0020080463 163 Solar,,,,,,,,,,,,,
*r,sc,,,,,"B509","0D",,,,,,,,,
*w,sc,,,,,"B509","0E",,,,,,,,,
*ws,sc#service,,,,,"B509","0E",,,,,,,,,
# ##### Statistics #####,,,,,,,,,,,,,,,,
r,,StatPowerOn,StatPowerOn,,,,"CC00",,,UIN,,,,,,
r,,StatOperatingHours,StatOperatingHours,,,,"CD00",,,UIN,,,,,,
r,,StatMonthOfInstallation,StatMonthOfInstallation,,,,"CE00",,,UCH,,,,,,
r,,StatYearOfInstallation,StatYearOfInstallation,,,,"CF00",,,UCH,,,,,,
r,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,,"D000",,,UCH,,,,,,
r,,StatRTOSErrorcode,StatRTOSErrorcode,,,,"D100",,,UIN,,,,,,
r,,StatRestarts,StatRestarts,,,,"D200",,,UIN,,,,,,
r,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,,"D300",,,UIN,,,,,,
# ##### SOLAR: Daten #####,,,,,,,,,,,,,,,,
r,,Storage1Sensor3,SP1 Sensor,,,,"0000",,,tempsensor,,,Temperature of SP1 sensor,,,
r,,Storage2Sensor3,SP2 Sensor,,,,"0200",,,tempsensor,,,Temperature of SP2 sensor,,,
r,,Storage3Sensor3,SP3 Sensor,,,,"0500",,,tempsensor,,,Temperature of SP3 sensor,,,
r,,CollPumpHRuntime1,Laufzeit KOL1-P,,,,"6E00",,,hoursum2,,,Overall runtime of COL1 pump,,,
r,,CollPumpHRuntime2,Laufzeit KOL2-P,,,,"6E08",,,hoursum2,,,Overall runtime of COL2 pump,,,
r;w,,YieldSensor,ERTRAG Sensor,,,,"0800",,,tempsensor,,,"Temperature of ""Ertrag"" sensor",,,
r,,Coll1Sensor,KOL1 Sensor,,,,"0900",,,tempsensor,,,Temperature of COL1 sensor,,,
r,,Storage4Sensor3,TD1 Sensor,,,,"1400",,,tempsensor,,,Temperature of SP4 sensor,,,
r,,SumBackflowSensor,TD2 Sensor,,,,"0700",,,tempsensor,,,Temperature of TD2 sensor,,,
r,,Coll2Sensor,KOL2 Sensor,,,,"1500",,,tempsensor,,,Temperature of COL2 sensor,,,
r,,SolarCollPumpED1,KOL1-P PWM,,,,"6700",,,percent0,,,Percantage of power COL1 pump is running actually,,,
