# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,recov,recoVair 260,,,,,,,,,,,
# ##### Generell #####,,,,,,,,,,,,,
*r,,,,,,B513,,,,IGN:2,,,
*w,,,,,,B509,,,,,,,
r1,recov,VentIntensityDay,Read Ventilation Intensity Day,,,,048a03,,,UCH,,,
r1,recov,VentIntensityNight,Read Ventilation Intensity Night,,,,048b03,,,UCH,,,
r5,recov,VentHeatRecovery,Read Heat Recovery,,,,048c03,,,UCH,0=auto;1=an;2=aus,,
w,recov,SetVentIntensityDay1,Set Ventilation Intensity Day 1,,,,0e8a0301,,,,,,
w,recov,SetVentIntensityDay2,Set Ventilation Intensity Day 2,,,,0e8a0302,,,,,,
w,recov,SetVentIntensityDay3,Set Ventilation Intensity Day 3,,,,0e8a0303,,,,,,
w,recov,SetVentIntensityDay4,Set Ventilation Intensity Day 4,,,,0e8a0304,,,,,,
w,recov,SetVentIntensityDay5,Set Ventilation Intensity Day 5,,,,0e8a0305,,,,,,
w,recov,SetVentIntensityDay6,Set Ventilation Intensity Day 6,,,,0e8a0306,,,,,,
w,recov,SetVentIntensityNight1,Set Ventilation Intensity Night 1,,,,0e8b0301,,,,,,
w,recov,SetVentIntensityNight2,Set Ventilation Intensity Night 2,,,,0e8b0302,,,,,,
w,recov,SetVentIntensityNight3,Set Ventilation Intensity Night 3,,,,0e8b0303,,,,,,
w,recov,SetVentIntensityNight4,Set Ventilation Intensity Night 4,,,,0e8b0304,,,,,,
w,recov,SetVentIntensityNight5,Set Ventilation Intensity Night 5,,,,0e8b0305,,,,,,
w,recov,SetVentIntensityNight6,Set Ventilation Intensity Night 6,,,,0e8b0306,,,,,,
w,recov,SetVentHeatRecoveryAuto,Set Heat Recovery Auto,,,,0e8c0300,,,,,,
w,recov,SetVentHeatRecoveryOn,Turn On Heat Recovery,,,,0e8c0301,,,,,,
w,recov,SetVentHeatRecoveryOff,Turn Off Heat Recovery,,,,0e8c0302,,,,,,
w,recov,SetVentDay,Set Ventilation Day,,,B522,000200FFFF,,,,,,
w,recov,SetVentNight,Set Ventilation Night,,,B522,000100FFFF,,,,,,
w,recov,SetVentBoost,Activate Boost Ventilation,,,B522,000300FFFF,,,,,,
# ##### Weitere #####,,,,,,,,,,,,,
*r,,,,,,B509,,,,IGN:2,,,
*w,,,,,,B509,,,,,,,
r3,recov,BypassPosition,Position of Bypass Flap,,,,290b0e,,,UIN,10,,
r1,recov,TempOutsideAir,Outside Air Temperature,,,,290c0e,,,tempsensor,,,
r1,recov,TempOutgoingAir,Outgoing Air Temperature,,,,290d0e,,,tempsensor,,,
r1,recov,TempWasteAir,Waste Air Temperature,,,,29b40d,,,tempsensor,,,
r1,recov,TempInletAir,Inlet Air Temperature,,,,29b30d,,,tempsensor,,,
r1,recov,HumiWasteAir,Relative Humidity Waste Air,,,,298503,,,percent,,,
r9,recov,FrostProtection,Frost Protection Element Active,,,,29f10c,,,onoff,,,
r9;w,recov,PreferredTemp,Desired Temperature,,,,29140e,,,temp,,,
r1,recov,FlowActual,Current Volume Flow,,,,29030e,,,UIN,,m3/h,
