# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,EHP00,Heat pump AMU,EHP00 172 DHW,,,,,,,,,,,,,
*r,hwc,,,,,"B509","0D",,,,,,,,,
*w,hwc,,,,,"B509","0E",,,,,,,,,
*wi,hwc#install,,,,,"B509","0E",,,,,,,,,
*[SW>=337],scan,,,SW,,>=337,,,,,,,,,,
*[SW>=407],scan,,,SW,,>=407,,,,,,,,,,
*[SW>=415],scan,,,SW,,>=415,,,,,,,,,,
# ##### DHW: Parameters and information #####,,,,,,,,,,,,,,,,
r;w,,OperatingMode,OperatingMode,,,,"2B00",,,hwcmode,,,Operating mode for the DHWcircuit,,,
r;wi,,StorageTempDesiredStop,Tank_Setpoint_Stop,,,,"8200",,,temp,,,DHW temperature at which loading stops,,,
r;wi,,StorageTempDesiredStart,Tank_Setpoint_Start,,,,"8300",,,temp,,,DHW temperature at which loading starts,,,
r;wi,,LegioProtectionEnabled,LegioProtectionEnabled,,,,"4000",,,yesno,,,BMR:enables/disables the anti-legionella feature,,,
[SW>=337]r;wi,,LegioProtectionDay,LegioProtectionDay,,,,"7C01",,,bday,,,"Legionella protection day (0-6:mo-so, 7:off). Displayed as abbreviations. Additional parameter has to be set for activation or deactivation.",,,
r;wi,,LegionellaStartTime,Legionella_Start_Time,,,,"6700",,,time2,,,start time for legionella protection (different from BMR),,,
[SW>=407]r;wi,,Hc1PumpSpeedLayeredStorage,CH1P_PumpSpeed_layered_tank,,,,"C101",,,percent0,,,CH pump speed setpoint while shiftloading DHW tank [%],,,
[SW>=407]r;wi,,Hc1PumpSpeedCoilStorage,CH1P_PumpSpeed_coil_tank,,,,"C201",,,percent0,,,CH pump speed setpoint while loading DHW tank with coils [%],,,
[SW>=407]r;wi,,HwcStorageIsCoil,DHW_Tank_is_coil,,,,"CD01",,,yesno,,,DHW tank is shift loading type if no,,,
[SW>=415]r;wi,,TappingDetectionLimit,TappingDetectionLimit,,,,"E801",,,UCH,,,"turns on backup heater, if temperature drops below this value; 0=function is off",,,
# DHW: Operation mode,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B504",,,,,,,,,,
r,,Mode,Operation mode,,,,01,,,temp0;hwcmode;IGN:2;HEX;IGN;onoff;IGN,,,,,,
r,,Status,Status,,,,0D,,,temp0;onoff;temp;temp0,,,,,,
# DHW: Periods,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B504",,,,,,,,,,
*w,hwc,,,,,"B505","09",,,,,,,,,
r,,Timer.Monday,Periods Monday,,,,02,,,timer,,,,,,
r,,Timer.Tuesday,Periods Tuesday,,,,03,,,timer,,,,,,
r,,Timer.Wednesday,Periods Wednesday,,,,04,,,timer,,,,,,
r,,Timer.Thursday,Periods Thursday,,,,05,,,timer,,,,,,
r,,Timer.Friday,Periods Friday,,,,06,,,timer,,,,,,
r,,Timer.Saturday,Periods Saturday,,,,07,,,timer,,,,,,
r,,Timer.Sunday,Periods Sunday,,,,08,,,timer,,,,,,
w,,Timer.Monday,Periods Monday,,,,01,,,timer,,,,,,
w,,Timer.Tuesday,Periods Tuesday,,,,02,,,timer,,,,,,
w,,Timer.Wednesday,Periods Wednesday,,,,03,,,timer,,,,,,
w,,Timer.Thursday,Periods Thursday,,,,04,,,timer,,,,,,
w,,Timer.Friday,Periods Friday,,,,05,,,timer,,,,,,
w,,Timer.Saturday,Periods Saturday,,,,06,,,timer,,,,,,
w,,Timer.Sunday,Periods Sunday,,,,07,,,timer,,,,,,
# Current errors,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B503","00",,,,,,,,,
r,,currenterror,Current errors,,,,01,,,errors,,,,,,
# Error history,,,,,,,,,,,,,,,,
*r,hwc,,,,,"B503","01",,,,,,,,,
*wi,hwc#install,,,,,"B503","02",,,,,,,,,
r,,errorhistory,Error history,,,,01,index,m,UCH,,,,,,errorhistory
wi,,clearerrorhistory,Error history: clear,,,,01,cleared,s,yesno,,,,,,
