# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,sol00,VR 68,sol 210 Solar,,,,,,,,,,,,,
*r,sc,,,,,"B509","0D",,,,,,,,,
*w,sc,,,,,"B509","0E",,,,,,,,,
*wi,sc#install,,,,,"B509","0E",,,,,,,,,
# ##### SOLAR: Solar #####,,,,,,,,,,,,,,,,
r,,Col,KOL,,,,"0400",,,tempsensor,,,value and sensorstate of the collector sensor,,,
r,,SP1,SP1,,,,"0000",,,tempsensor,,,value and sensorstate of upper tank temperature sensor SP1,,,
r,,SP2,SP2,,,,"0100",,,tempsensor,,,value and sensorstate of lower tank temperature sensor SP2,,,
r,,D1Temp,TD1,,,,"0200",,,tempsensor,,,value and sensorstate of middle tank temperature sensor TD1,,,
r,,D2Temp,TD2,,,,"0800",,,tempsensor,,,value and sensorstate of the system's return flow sensor TD2,,,
r,,SolarGain,Sensor Solarertrag,,,,"0300",,,tempsensor,,,value and sensorstate of the solar gain sensor,,,
r,,SolarOperationMode,SolarOperationMode,,,,"3600",,,onoff,,,"solar operation mode (permanently on, off)",,,
r,,CollPump,CollectorPump,,,,"0600",,,onoff,,,collector pump's state,,,
r,,RuntimeCollPump,RuntimeCollectorPump,,,,"2A00",,,hoursum2,,,accumulated runtime of the collector pump,,,
r,,RuntimeCollPumpSeconds,RuntimeCollectorPumpSeconds,,,,"2900",,,UIN,,,runtime in seconds base for runtime in hours,,,
r;wi,,KickFunction,KickFunction,,,,"3200",,,onoff,,,enable kick function,,,
r,,ColKickPumpTime,ColKickPumpTime,,,,"3B00",,,UCH,,sec,time pump is running when collector kick function is activated,,,
r,,ColKickTempDelta,ColKickTempDelta,,,,"3C00",,,temp0,,,temperature difference necessary for activating the pump kick,,,
r;wi,,FlowRate,FlowRate,,,,"2D00",,,SIN,10,l/min,chosen flow rate of the collector pump (to calculate solar gain),,,
r,,SolarCollPumpDcIntegrator,SolarCollPumpDcIntegrator,,,,"1900",,,SIN,,,integral part of the solar collector pump's control if duty ratio control is active,,,
r;wi,,MaximalTemp,MaximalTemperature,,,,"2600",,,temp0,,,solar storage 1 maximum temperature for solar charge,,,
r;wi,,TempDifferenceOn,TempDifferenceEIN,,,,"2400",,,temp0,,,solar difference control's switch on temperature of storage 1,,,
r;wi,,TempDifferenceOff,TempDifferenceAUS,,,,"2500",,,temp0,,,solar difference control's switch off temperature of storage 1,,,
r;wi,,MaximalTemp2,MaximalTemperature2,,,,"2630",,,temp0,,,maximum temperature for solar charge of storage 2,,,
r;wi,,TempDifferenceOn2,TempDifferenceEIN2,,,,"2430",,,temp0,,,solar difference control's switch on temperature of storage 2,,,
r;wi,,TempDifferenceOff2,TempDifferenceAUS2,,,,"2530",,,temp0,,,solar difference control's switch off temperature of storage 2,,,
r;wi,,EDFunction,EDFunktion,,,,"3400",,,onoff,,,enable duty ratio control,,,
r,,SolarCollPumpED,SolarCollectorPumpED,,,,"2800",,,percent0,,,percentage of 'pump is on' during one minute (if duty ratio control is enabled),,,
r;wi,,ScProtectionLimit,SolarCircuitProtectionLimit,,,,"3000",,,desiredtemp,,,switch off temperature for collector protection (109 <=> off),,,
r,,ScProtectionHysteresis,SolarCircuitProtectionHysteresis,,,,"3100",,,calibration0,,,temperature hysteresis for activating solar pump after collector protection,,,
r,,ScProtectionTime,SolarCircuitProtectionTime,,,,"3E00",,,UCH,,sec,time for which KOL temperature has to exceed the protection temperature to enter solar circuit protection mode,,,
r;wi,,EnableScProtection,EnableSolarCircuitProtection,,,,"5900",,,onoff,,,enable solar circuit protection,,,
r,,FrostProtectionEnabled,FrostProtectionEnabled,,,,"5A00",,,yesno,,,set TRUE to enable solar frost protection,,,
r,,FrostProtectionLimit,FrostProtectionLimit,,,,"5B00",,,temps2,,,temperature level for activating solar frost protection,,,
r;w,,ResetSolarGain,ResetSolarGain,,,,"3500",,,yesno,,,reset solar gain,,,
r,,SumSolarGainDayBefore,SumSolarGain_day_before,,,,"4C00",,,energy4,,,sum of yesterday's solar gain,,,
r,,SumSolarGain,SumSolarGain,,,,"3300",,,energy4,,,accumulated solar gain,,,
r,,SolarYieldThisYear1,SolarYieldThisYear_1,,,,"3F00",,,energy,,,this year's solar yield january,,,
r,,SolarYieldThisYear2,SolarYieldThisYear_2,,,,"3F08",,,energy,,,this year's solar yield february,,,
r,,SolarYieldThisYear3,SolarYieldThisYear_3,,,,"3F10",,,energy,,,this year's solar yield march,,,
r,,SolarYieldThisYear4,SolarYieldThisYear_4,,,,"3F18",,,energy,,,this year's solar yield april,,,
r,,SolarYieldThisYear5,SolarYieldThisYear_5,,,,"3F20",,,energy,,,this year's solar yield may,,,
r,,SolarYieldThisYear6,SolarYieldThisYear_6,,,,"3F28",,,energy,,,this year's solar yield june,,,
r,,SolarYieldThisYear7,SolarYieldThisYear_7,,,,"3F30",,,energy,,,this year's solar yield july,,,
r,,SolarYieldThisYear8,SolarYieldThisYear_8,,,,"3F38",,,energy,,,this year's solar yield august,,,
r,,SolarYieldThisYear9,SolarYieldThisYear_9,,,,"3F40",,,energy,,,this year's solar yield september,,,
r,,SolarYieldThisYear10,SolarYieldThisYear_10,,,,"3F48",,,energy,,,this year's solar yield october,,,
r,,SolarYieldThisYear11,SolarYieldThisYear_11,,,,"3F50",,,energy,,,this year's solar yield november,,,
r,,SolarYieldThisYear12,SolarYieldThisYear_12,,,,"3F58",,,energy,,,this year's solar yield december,,,
r,,SolarYieldLastYear1,SolarYieldLastYear_1,,,,"4000",,,energy,,,last year's solar yield january,,,
r,,SolarYieldLastYear2,SolarYieldLastYear_2,,,,"4008",,,energy,,,last year's solar yield february,,,
r,,SolarYieldLastYear3,SolarYieldLastYear_3,,,,"4010",,,energy,,,last year's solar yield march,,,
r,,SolarYieldLastYear4,SolarYieldLastYear_4,,,,"4018",,,energy,,,last year's solar yield april,,,
r,,SolarYieldLastYear5,SolarYieldLastYear_5,,,,"4020",,,energy,,,last year's solar yield may,,,
r,,SolarYieldLastYear6,SolarYieldLastYear_6,,,,"4028",,,energy,,,last year's solar yield june,,,
r,,SolarYieldLastYear7,SolarYieldLastYear_7,,,,"4030",,,energy,,,last year's solar yield july,,,
r,,SolarYieldLastYear8,SolarYieldLastYear_8,,,,"4038",,,energy,,,last year's solar yield august,,,
r,,SolarYieldLastYear9,SolarYieldLastYear_9,,,,"4040",,,energy,,,last year's solar yield september,,,
r,,SolarYieldLastYear10,SolarYieldLastYear_10,,,,"4048",,,energy,,,last year's solar yield october,,,
r,,SolarYieldLastYear11,SolarYieldLastYear_11,,,,"4050",,,energy,,,last year's solar yield november,,,
r,,SolarYieldLastYear12,SolarYieldLastYear_12,,,,"4058",,,energy,,,last year's solar yield december,,,
# ##### SOLAR: general #####,,,,,,,,,,,,,,,,
r,,Weekday,Weekday,,,,"0E00",,,bday,,,current day of week,,,
r,,Date,Date,,,,"0D00",,,date,,,current date,,,
r,,Time,Time,,,,"0C00",,,time,,,current time,,,
r,,HydraulicScheme,Hzdraulic plan,,,,"2100",,,UCH,,,1..8 nur Solar,,,
r,,SystemMode,SystemMode,,,,"3D00",,,onoff,,,"0 = heatpump; 1 = 430 system, must be cyclicly written by the CI",,,
r,,MultifunctionOutput,MultifunctionOutput,,,,"0A00",,,onoff,,,Output of multifunction relay,,,
r;wi,,OMultifunction,O_Multifunction,,,,"3A00",,,onoff,,,"multifunction relay: 0 = 2nd storage, 1 = differential control",,,
r;wi,,MAPreferredStorage,MAPreferredStorage,,,,"3700",,,UCH,,,prefered storage,,,
r;wi,,TempDifferenceOnTD12,TempDifferenceOnTD12,,,,"4200",,,temp0,,,temperature difference for the multifunction-output relay to switch on,,,
r;wi,,TempDifferenceOffTD12,TempDifferenceOffTD12,,,,"4300",,,temp0,,,temperature difference for the multifunction-output relay to switch off,,,
r,,PumpAntiLockingFlags,PumpAntiLockingFlags,,,,"0900",,,UIN,,,each set bit represents a pump that has not run in the last 24h,,,
r,,InitCircuit,InitCircuit,,,,"1800",,,yesno,,,true if DHW and CP circuits are in init phase,,,
